
Species,lambda,loggf,chi,EW_12175,EW_42241,EW_42149,EW_41743,EW_42795,EW_40789,EW_41460,EW_42096,EW_40993,EW_42324,EW_12729
Ca I,6122.22,-0.386,1.886,46,89,44,66,,24,49,89,52,57,
Ca I,6162.17,-0.167,1.899,72,122,35,96,,43,,70,,61,69
Fe I,6137.69,-1.403,2.588,41,148,48,65,,43,,,66,,86
Fe I,6151.62,-3.299,2.176,,62,,,,,,,,,
Fe I,6173.34,-2.880,2.223,,96,,52,,,,,65,,
Fe I,6180.20,-2.586,2.727,,38,,13,,,,,30,,
Fe I,6200.31,-2.437,2.608,,75,,,,14,,,,,
Fe I,6213.43,-2.482,2.223,,92,25,35,,,,,49,,65
Fe I,6219.28,-2.433,2.198,,111,,58,,,,,40,,
Fe I,6232.64,-1.223,3.654,,59,,,,,,,,,
Fe I,6246.32,-0.733,3.602,,87,,,,,,,,,
Fe I,6252.56,-1.687,2.404,50,149,,81,,,,71,,,98
Fe I,6265.13,-2.550,2.176,,124,,83,,,,43,,,
Fe I,6270.23,-2.464,2.858,,42,,,,,,,,,
Fe I,6301.50,-0.718,3.654,,119,,42,,,,,,,
Fe I,6302.49,-0.973,3.686,,57,,,,,,,,,
Fe I,6322.69,-2.426,2.588,,97,,40,,,,,,,
Fe I,6335.33,-2.177,2.198,36,121,,91,27,,,58,51,,50
Fe I,6336.82,-0.856,3.686,,83,,,,,,,33,,
Fe I,6355.03,-2.350,2.845,,55,,,,,,,,,
Fe I,6393.60,-1.432,2.433,69,138,,109,35,39,,65,68,,85
Fe II,6149.26,-2.841,3.899,,30,,,,,,,,,
Fe II,6247.56,-2.435,3.892,,40,,,,,,,,,
