Name,Simbad_Identifier,l_[Fe/H],[Fe/H],l_[C/Fe],[C/Fe],l_[Na/Fe],[Na/Fe],l_[Mg/Fe],[Mg/Fe],l_[Al/Fe],[Al/Fe],l_[Ca/Fe],[Ca/Fe],l_[Mn/Fe],[Mn/Fe],l_[Ti/Fe],[Ti/Fe],l_[Co/Fe],[Co/Fe],l_[Ni/Fe],[Ni/Fe],l_[Sr/Fe],[Sr/Fe],l_[Ba/Fe],[Ba/Fe]
J163044,SDSS J163044.49+124947.8,,-2.52,,,,0.01,,0.23,,,,-0.01,,,,,,,,,,0.02,,-0.87
J163059,SDSS J163059.32+124725.6,,-2.83,,,,0.02,,0.34,,0.15,,0.29,,,,,,,,,,-0.82,<,0.24
J163104,SDSS J163104.50+124614.4,,-2.53,,-0.34,,0.00,,0.29,,0.23,,0.25,,,,,,0.13,,,,0.08,,-0.47
J163114,SDSS J163114.06+124526.6,,-2.28,,,,-0.15,,-0.06,,0.18,,0.05,,,,,,,,-0.24,,-0.52,,-0.81
LeoIV-S1,SDSS J113255.99-003027.8,,-2.88,,,,0.10,,0.44,,,,,,,,0.26,,,,,<,-0.02,<,-0.98
J113258,SDSS J113258.70-003449.9,,-2.18,,,,0.05,,-0.06,,0.08,,0.05,,,,-0.14,,,,,<,-1.42,<,-1.38
J125713,SDSS J125713.63+341846.9,,-2.58,,,,-0.05,,0.16,,,,,,,,,,,,,,1.32,<,-1.28
BooII-7,SDSS J135801.42+125105.0,,-3.08,,-0.24,,,,0.29,,0.28,,0.25,,0.04,,,,,,,<,-1.32,<,0.32
BooII-15,SDSS J135751.18+125136.9,,-2.98,,-0.10,,0.50,,0.44,,0.28,,0.58,,0.44,,,,,,,<,-2.22,<,-0.28
J132844,SDSS J132844.25+333411.8,,-2.52,,,,,,0.46,,,,0.29,,,,,,,,,,0.62,,-0.14
J132755,SDSS J132755.65+333324.5,,-2.18,,,,,,0.04,,,,-0.10,,,,,,,,,,0.58,,0.36
