Name,Simbad_Identifier,Species,N_lines,l_logepsX,logepsX,e_logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
J100714,SDSS J100714+160154,C-H,1,,8.45,0.20,,0.02,,1.44
J100714,SDSS J100714+160154,Na I,2,,4.79,0.12,,-1.46,,-0.04
J100714,SDSS J100714+160154,Mg I,7,,6.56,0.18,,-1.04,,0.38
J100714,SDSS J100714+160154,Al I,2,,4.37,0.20,,-2.08,,-0.66
J100714,SDSS J100714+160154,Si I,1,,6.48,0.15,,-1.03,,0.39
J100714,SDSS J100714+160154,Ca I,22,,5.36,0.13,,-0.98,,0.44
J100714,SDSS J100714+160154,Sc II,2,,1.68,0.17,,-1.47,,-0.05
J100714,SDSS J100714+160154,Ti I,25,,3.84,0.11,,-1.11,,0.31
J100714,SDSS J100714+160154,Ti II,28,,4.01,0.10,,-0.94,,0.48
J100714,SDSS J100714+160154,Cr I,16,,4.21,0.19,,-1.43,,-0.02
J100714,SDSS J100714+160154,Cr II,2,,4.68,0.10,,-0.96,,0.46
J100714,SDSS J100714+160154,Mn I,5,,3.51,0.21,,-1.92,,-0.50
J100714,SDSS J100714+160154,Fe I,187,,6.08,0.24,,-1.42,,0.00
J100714,SDSS J100714+160154,Fe II,23,,6.08,0.18,,-1.42,,-0.00
J100714,SDSS J100714+160154,Co I,4,,3.65,0.17,,-1.34,,0.08
J100714,SDSS J100714+160154,Ni I,10,,4.79,0.12,,-1.43,,-0.01
J100714,SDSS J100714+160154,Zn I,2,,3.29,0.22,,-1.27,,0.15
J100714,SDSS J100714+160154,Sr II,1,,2.35,0.20,,-0.52,,0.90
J100714,SDSS J100714+160154,Zr II,1,,2.56,0.25,,-0.02,,1.40
J100714,SDSS J100714+160154,Ba II,3,,2.61,0.18,,0.43,,1.85
J100714,SDSS J100714+160154,La II,1,,1.48,0.25,,0.38,,1.80
J100714,SDSS J100714+160154,Eu II,3,,-0.17,0.14,,-0.69,,0.73
J100714,SDSS J100714+160154,Pb I,1,,2.30,0.50,,0.55,,1.97
J100710,SDSS J100710+160623,C-H,2,,6.91,0.20,,-1.52,,0.15
J100710,SDSS J100710+160623,Na I,2,,4.31,0.10,,-1.93,,-0.26
J100710,SDSS J100710+160623,Mg I,5,,6.39,0.10,,-1.21,,0.47
J100710,SDSS J100710+160623,Al I,1,,3.88,0.25,,-2.57,,-0.90
J100710,SDSS J100710+160623,Si I,1,,6.37,0.15,,-1.14,,0.53
J100710,SDSS J100710+160623,Ca I,25,,5.25,0.23,,-1.09,,0.58
J100710,SDSS J100710+160623,Sc II,7,,1.61,0.12,,-1.54,,0.13
J100710,SDSS J100710+160623,Ti I,26,,3.66,0.15,,-1.29,,0.38
