Species,lambda,chi,loggf,EW,logepsX
Fe I,3743.36,0.99,-0.785,215.5,5.29
Fe I,3787.88,1.01,-0.859,177.6,5.03
Fe I,3849.97,1.01,-0.871,202.6,5.27
Fe I,3865.52,1.01,-0.982,163.1,4.93
Fe I,3917.18,0.99,-2.155,121.6,5.24
Fe I,3949.95,2.18,-1.251,98.0,5.21
Fe I,4076.63,3.21,-0.529,64.3,4.99
Fe I,4114.44,2.83,-1.303,52.2,5.11
Fe I,4132.06,1.61,-0.675,170.0,5.32
Fe I,4132.90,2.85,-1.006,57.8,4.92
Fe I,4143.87,1.56,-0.511,154.0,4.84
Fe I,4147.67,1.49,-2.104,95.8,5.09
Fe I,4157.78,3.42,-0.403,58.6,5.00
Fe I,4175.64,2.85,-0.827,88.5,5.31
Fe I,4181.75,2.83,-0.371,107.2,5.25
Fe I,4182.38,3.02,-1.180,41.1,5.01
Fe I,4184.89,2.83,-0.869,64.9,4.87
Fe I,4187.04,2.45,-0.548,102.1,4.82
Fe I,4187.79,2.42,-0.554,116.4,5.11
Fe I,4195.33,3.33,-0.492,62.6,5.05
Fe I,4199.09,3.05,0.155,105.4,4.93
Fe I,4202.03,1.49,-0.708,151.9,4.89
Fe I,4216.18,0.00,-3.356,129.4,5.24
Fe I,4222.21,2.45,-0.967,89.6,4.97
Fe I,4227.43,3.33,0.266,112.7,5.32
Fe I,4233.60,2.48,-0.604,94.1,4.74
Fe I,4238.81,3.40,-0.233,60.6,4.83
Fe I,4250.12,2.47,-0.405,109.0,4.83
Fe I,4337.05,1.56,-1.695,107.0,4.97
Fe I,4375.93,0.00,-3.031,131.3,4.89
Fe I,4415.12,1.61,-0.615,162.4,5.04
Fe I,4427.31,0.05,-2.924,157.2,5.34
Fe I,4430.61,2.22,-1.659,62.7,4.87
Fe I,4442.34,2.20,-1.255,95.6,5.04
Fe I,4447.72,2.22,-1.342,83.6,4.91
Fe I,4489.74,0.12,-3.966,101.0,5.28
Fe I,4494.56,2.20,-1.136,98.9,4.97
Fe I,4528.61,2.18,-0.822,130.7,5.30
Fe I,4592.65,1.56,-2.449,84.4,5.20
Fe I,4595.36,3.30,-1.758,10.1,5.11
Fe I,4602.94,1.49,-2.209,99.9,5.17
Fe I,4630.12,2.28,-2.587,28.0,5.26
Fe I,4647.43,2.95,-1.351,45.2,5.13
Fe I,4733.59,1.49,-2.988,62.9,5.27
Fe I,4736.77,3.21,-0.752,65.1,5.14
Fe I,4786.81,3.02,-1.606,25.4,5.09
Fe I,4871.32,2.87,-0.363,107.3,5.09
Fe I,4872.14,2.88,-0.567,92.4,5.03
Fe I,4890.75,2.88,-0.394,102.9,5.04
Fe I,4891.49,2.85,-0.112,112.5,4.92
Fe I,4903.31,2.88,-0.926,80.9,5.17
Fe I,4918.99,2.87,-0.342,95.6,4.83
Fe I,4920.50,2.83,0.068,143.5,5.28
Fe I,4938.81,2.88,-1.077,50.9,4.83
Fe I,4939.69,0.86,-3.340,88.8,5.25
Fe I,4966.09,3.33,-0.871,47.5,5.11
Fe I,4994.13,0.92,-3.080,94.4,5.16
Fe I,5041.76,1.49,-2.203,129.0,5.66
Fe I,5044.21,2.85,-2.038,24.9,5.29
Fe I,5049.82,2.28,-1.355,115.2,5.50
Fe I,5051.63,0.92,-2.795,110.6,5.16
Fe I,5083.34,0.96,-2.958,108.5,5.33
Fe I,5110.41,0.00,-3.760,124.7,5.24
Fe I,5123.72,1.01,-3.068,99.2,5.33
Fe I,5166.28,0.00,-4.195,95.9,5.13
Fe I,5171.60,1.49,-1.793,140.4,5.43
Fe I,5191.45,3.04,-0.551,90.1,5.11
Fe I,5192.34,3.00,-0.421,94.1,5.00
Fe I,5194.94,1.56,-2.090,100.6,5.04
Fe I,5198.71,2.22,-2.135,58.4,5.20
Fe I,5202.34,2.18,-1.838,84.0,5.25
Fe I,5215.18,3.27,-0.871,53.1,5.10
Fe I,5216.27,1.61,-2.150,117.9,5.49
Fe I,5217.39,3.21,-1.070,41.9,5.06
Fe I,5232.94,2.94,-0.058,105.4,4.78
Fe I,5247.05,0.09,-4.946,65.9,5.50
Fe I,5266.55,3.00,-0.386,99.4,5.06
Fe I,5269.54,0.86,-1.321,193.7,5.00
