ID,Wave,Species,ExPot,log(gf),EW,f_EW,logX
SMSS~J000113.96-363337.9,3689.458,26.0,2.94,-0.168,82.3,,5.12
SMSS~J000113.96-363337.9,3753.611,26.0,2.18,-0.89,93.0,,5.25
SMSS~J000113.96-363337.9,3765.539,26.0,3.24,0.482,87.2,,4.92
SMSS~J000113.96-363337.9,3786.677,26.0,1.01,-2.185,96.0,,5.19
SMSS~J000113.96-363337.9,3805.343,26.0,3.3,0.313,74.2,,4.81
SMSS~J000113.96-363337.9,3839.256,26.0,3.05,-0.33,75.1,,5.17
SMSS~J000113.96-363337.9,3842.047,27.0,0.92,-0.77,66.4,,2.7
SMSS~J000113.96-363337.9,3845.169,26.0,2.42,-1.39,52.7,,4.92
SMSS~J000113.96-363337.9,3852.573,26.0,2.18,-1.18,81.8,,5.18
SMSS~J000113.96-363337.9,3881.869,27.0,0.58,-1.13,73.5,,2.82
SMSS~J000113.96-363337.9,3882.291,22.1,1.12,-1.71,81.4,,3.15
SMSS~J000113.96-363337.9,3885.51,26.0,2.42,-1.09,68.6,,5.0
SMSS~J000113.96-363337.9,3904.784,22.0,0.9,0.03,40.2,,2.77
SMSS~J000113.96-363337.9,3917.181,26.0,0.99,-2.155,108.9,,5.41
SMSS~J000113.96-363337.9,3924.526,22.0,0.02,-0.881,38.8,,2.61
SMSS~J000113.96-363337.9,3940.878,26.0,0.96,-2.6,77.0,,4.96
SMSS~J000113.96-363337.9,3949.953,26.0,2.18,-1.251,79.9,,5.17
SMSS~J000113.96-363337.9,3961.52,13.0,0.01,-0.34,137.3,,3.32
SMSS~J000113.96-363337.9,3977.741,26.0,2.2,-1.12,79.0,,5.03
SMSS~J000113.96-363337.9,3986.753,12.0,4.35,-1.03,54.2,,5.67
SMSS~J000113.96-363337.9,3989.76,22.0,0.02,-0.062,77.1,,2.62
SMSS~J000113.96-363337.9,3995.306,27.0,0.92,-0.22,85.3,,2.6
SMSS~J000113.96-363337.9,4001.661,26.0,2.18,-1.9,46.4,,4.99
SMSS~J000113.96-363337.9,4008.928,22.0,0.02,-1.016,42.9,,2.82
SMSS~J000113.96-363337.9,4012.396,22.1,0.57,-1.75,98.6,,2.93
SMSS~J000113.96-363337.9,4020.898,27.0,0.43,-2.07,41.5,,2.83
SMSS~J000113.96-363337.9,4021.866,26.0,2.76,-0.73,65.6,,4.93
SMSS~J000113.96-363337.9,4025.12,22.1,0.61,-1.98,89.7,,2.97
SMSS~J000113.96-363337.9,4028.338,22.1,1.89,-0.96,73.4,,3.08
SMSS~J000113.96-363337.9,4030.753,25.0,0.0,-0.497,,s,2.98
SMSS~J000113.96-363337.9,4032.627,26.0,1.49,-2.38,63.8,,5.02
SMSS~J000113.96-363337.9,4033.062,25.0,0.0,-0.647,,s,2.98
SMSS~J000113.96-363337.9,4034.483,25.0,0.0,-0.843,,s,3.19
SMSS~J000113.96-363337.9,4044.609,26.0,2.83,-1.22,42.6,,4.99
SMSS~J000113.96-363337.9,4053.829,22.1,1.89,-1.21,56.9,,2.94
SMSS~J000113.96-363337.9,4057.505,12.0,4.35,-0.89,67.8,,5.78
SMSS~J000113.96-363337.9,4058.217,26.0,3.21,-1.11,36.2,,5.19
SMSS~J000113.96-363337.9,4062.441,26.0,2.85,-0.86,54.8,,4.92
SMSS~J000113.96-363337.9,4067.271,26.0,2.56,-1.419,57.0,,5.18
SMSS~J000113.96-363337.9,4067.978,26.0,3.21,-0.47,55.4,,4.95
SMSS~J000113.96-363337.9,4070.769,26.0,3.24,-0.79,46.7,,5.12
SMSS~J000113.96-363337.9,4077.714,38.1,0.0,0.167,,s,0.38
SMSS~J000113.96-363337.9,4079.838,26.0,2.86,-1.36,41.1,,5.13
SMSS~J000113.96-363337.9,4095.97,26.0,2.59,-1.48,48.8,,5.09
SMSS~J000113.96-363337.9,4098.176,26.0,3.24,-0.88,39.3,,5.06
SMSS~J000113.96-363337.9,4102.936,14.0,1.91,-3.14,93.2,,5.69
SMSS~J000113.96-363337.9,4109.057,26.0,3.29,-1.56,18.6,,5.3
SMSS~J000113.96-363337.9,4109.802,26.0,2.85,-0.94,52.1,,4.93
SMSS~J000113.96-363337.9,4110.532,27.0,1.05,-1.08,43.5,,2.61
SMSS~J000113.96-363337.9,4114.445,26.0,2.83,-1.303,47.9,,5.18
SMSS~J000113.96-363337.9,4120.207,26.0,2.99,-1.27,36.7,,5.1
SMSS~J000113.96-363337.9,4121.318,27.0,0.92,-0.32,91.7,,2.84
SMSS~J000113.96-363337.9,4121.802,26.0,2.83,-1.45,37.5,,5.11
SMSS~J000113.96-363337.9,4129.72,63.1,0.0,0.22,,s,-2.35
SMSS~J000113.96-363337.9,4134.678,26.0,2.83,-0.649,68.2,,4.98
SMSS~J000113.96-363337.9,4136.998,26.0,3.42,-0.45,46.8,,4.99
