ID,Name,[C/Fe],[C/Fe]c,[C/Fe]f,[Na/Fe],[Na/Fe]c,[Na/Fe]f,Correction_Reference
A,DES J033523-540407,0.65,0.64,1.29,,,,Placco+2014
B,DES J033607-540235,0.40,0.37,0.77,,,,Placco+2014
C,DES J033447-540525,0.20,0.22,0.42,,,,Placco+2014
D,DES J033531-540148,0.20,0.02,0.22,,,,Placco+2014
E,DES J033548-540349,0.50,0.01,0.51,,,,Placco+2014
F,DES J033537-540401,0.15,0.01,0.16,,,,Placco+2014
H,DES J033457-540531,0.35,0.01,0.36,,,,Placco+2014
I,DES J033454-540558,0.85,0.01,0.86,,,,Placco+2014
A,DES J033523-540407,,,,0.30,-0.55,-0.25,Lind+2011
B,DES J033607-540235,,,,0.15,-0.48,-0.33,Lind+2011
C,DES J033447-540525,,,,0.35,-0.58,-0.23,Lind+2011
D,DES J033531-540148,,,,0.97,-0.50,0.47,Lind+2011
E,DES J033548-540349,,,,-0.08,-0.64,-0.72,Lind+2011
F,DES J033537-540401,,,,0.14,-0.54,-0.40,Lind+2011
G,DES J033556-540316,,,,0.48,-0.27,0.21,Lind+2011
H,DES J033457-540531,,,,0.09,-0.63,-0.54,Lind+2011
I,DES J033454-540558,,,,-0.11,-0.34,-0.45,Lind+2011
