Found,DEC_input,RA_input,Query_ID,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,-50:46:41.40,06:41:58.27,MKV0397,[LHT2012] MKV0397,06 41 58.2659,-50 46 41.353,14,14,0.0808,0.0889,90,A,O,2020yCat.1350....0G,,19.595,18.507,,17.234,,,,RGB*,,06 41 58.2659,-50 46 41.353,0.617,0.218,,223.5,1
True,-50:48:42.00,06:42:09.17,MKV0446,[WMO2009] Car-1390,06 42 09.1739,-50 48 41.933,14,14,0.1724,0.1865,90,A,O,2020yCat.1350....0G,,20.324,19.404,,18.3,,,,RGB*_Candidate,,06 42 09.1739,-50 48 41.933,-0.032,0.333,0.0851,222.9,1
True,-50:48:58.00,06:41:58.19,MKV0458,[WMO2009] Car-0724,06 41 58.1926,-50 48 57.951,14,14,0.0877,0.0914,90,A,O,2020yCat.1350....0G,,19.555,18.48,,17.25,,,,RGB*,,06 41 58.1926,-50 48 57.951,0.36,0.067,,225.4,1
True,-50:49:50.00,06:41:58.31,MKV0482,[WMO2009] Car-0725,06 41 58.3003,-50 49 49.957,14,14,0.1296,0.1483,90,A,O,2020yCat.1350....0G,,20.048,19.18,,18.083,17.351,16.814,16.752,RGB*_Candidate,,06 41 58.3003,-50 49 49.957,0.548,0.136,0.0563,239.9,1
True,-50:50:19.70,06:40:42.29,MKV0499,[FBN2016] 57883,06 40 42.3003,-50 50 19.747,14,14,0.1765,0.1883,90,A,O,2020yCat.1350....0G,,20.491,19.423,,17.953,,,,EclBin,,06 40 42.3003,-50 50 19.747,3.51,4.938,0.2568,70.2,1
True,-50:50:48.40,06:41:02.64,MKV0511,[WMO2009] Car-1482,06 41 02.6388,-50 50 48.324,14,14,0.1154,0.1361,90,A,O,2020yCat.1350....0G,,19.963,19.01,,17.831,16.952,16.398,16.324,RGB*_Candidate,,06 41 02.6388,-50 50 48.324,0.955,-0.193,0.0277,230.4,1
True,-50:50:50.60,06:40:46.55,MKV0512,[MOP2000] C130495,06 40 46.55,-50 50 50.5,6,6,,,0,C,O,2009AJ....137.3100W,,20.246,19.373,,18.281,17.531,16.959,16.845,RGB*_Candidate,,06 40 46.55,-50 50 50.5,,,,224.0,1
True,-50:51:00.50,06:41:46.00,MKV0514,[WMO2009] Car-0123,06 41 45.9985,-50 51 00.501,14,14,0.0827,0.077,90,A,O,2020yCat.1350....0G,,19.31,18.19,,16.889,16.321,15.532,15.563,RGB*,,06 41 45.9985,-50 51 00.501,0.418,0.248,0.0632,-36.7328,1
True,-50:51:01.60,06:40:45.44,MKV0516,[WMO2009] Car-1954,06 40 45.4385,-50 51 01.498,14,14,0.1341,0.1373,90,A,O,2020yCat.1350....0G,,20.086,19.204,,18.08,17.308,16.725,16.66,RGB*_Candidate,,06 40 45.4385,-50 51 01.498,0.675,-0.006,,225.5,1
True,-50:51:07.90,06:42:35.73,MKV0523,[LHT2012] MKV0523,06 42 35.73,-50 51 07.9,6,6,,,0,D,O,2012A&A...538A.100L,,20.421,19.307,,17.913,,,,Star,,06 42 35.73,-50 51 07.9,,,,76.5,1
True,-50:51:17.30,06:42:16.11,MKV0533,[LHT2012] MKV0533,06 42 16.11,-50 51 17.3,6,6,,,0,D,O,2012A&A...538A.100L,,18.63,17.719,,16.569,15.833,15.311,15.184,Star,,06 42 16.11,-50 51 17.3,,,,91.1,1
True,-50:51:19.70,06:41:18.58,MKV0535,[LHT2012] MKV0535,06 41 18.58,-50 51 19.7,6,6,,,0,D,O,2012A&A...538A.100L,,18.737,17.804,,16.657,15.932,15.386,15.225,Star,,06 41 18.58,-50 51 19.7,,,,56.9,1
True,-50:51:22.40,06:40:42.18,MKV0537,[LHT2012] MKV0537,06 40 42.18,-50 51 22.4,6,6,,,0,D,O,2012A&A...538A.100L,,18.693,17.73,,16.509,,,,Star,,06 40 42.18,-50 51 22.4,,,,144.1,1
