Name,Simbad_Identifier,System,RA_hms,DEC_dms,Vmag,Imag,Jmag,Hmag,Kmag,Vel,e_Vel,Memb
MKV0397,[LHT2012] MKV0397,Carina,06:41:58.27,-50:46:41.40,18.460,17.240,,,,231.4,1.5,
MKV0446,[WMO2009] Car-1390,Carina,06:42:09.17,-50:48:42.00,19.350,18.320,,,,223.4,1.2,
MKV0458,[WMO2009] Car-0724,Carina,06:41:58.19,-50:48:58.00,18.440,17.250,,,,227.1,1.2,
MKV0482,[WMO2009] Car-0725,Carina,06:41:58.31,-50:49:50.00,19.140,18.090,17.351,16.814,16.752,236.8,3.6,
MKV0499,[FBN2016] 57883,Carina,06:40:42.29,-50:50:19.70,19.310,17.899,,,,65.8,3.8,non-member
MKV0511,[WMO2009] Car-1482,Carina,06:41:02.64,-50:50:48.40,18.980,17.840,16.952,16.398,16.324,233.7,2.9,
MKV0512,[MOP2000] C130495,Carina,06:40:46.55,-50:50:50.60,19.180,18.140,17.531,16.959,16.845,229.8,1.9,
MKV0514,[WMO2009] Car-0123,Carina,06:41:46.00,-50:51:00.50,18.170,16.910,16.032,15.402,15.266,221.9,1.3,
MKV0516,[WMO2009] Car-1954,Carina,06:40:45.44,-50:51:01.60,19.180,18.160,17.308,16.725,16.660,228.1,0.4,
MKV0523,[LHT2012] MKV0523,Carina,06:42:35.73,-50:51:07.90,19.280,17.958,,,,71.6,2.4,non-member
MKV0533,[LHT2012] MKV0533,Carina,06:42:16.11,-50:51:17.30,17.690,16.570,15.833,15.311,15.184,87.7,1.9,non-member
MKV0535,[LHT2012] MKV0535,Carina,06:41:18.58,-50:51:19.70,17.780,16.690,15.932,15.386,15.225,54.6,1.5,non-member
MKV0537,[LHT2012] MKV0537,Carina,06:40:42.18,-50:51:22.40,17.780,16.521,,,,142.2,1.6,non-member
MKV0542,[FBN2016] 110885,Carina,06:41:59.48,-50:51:42.90,19.240,18.200,17.371,16.774,16.738,218.5,1.2,
MKV0550,[WMO2009] Car-1420,Carina,06:42:08.99,-50:52:00.20,19.330,18.290,17.484,16.838,16.874,228.9,1.7,
MKV0555,[WMO2009] Car-1383,Carina,06:41:03.94,-50:52:05.50,19.340,18.340,17.475,16.942,16.759,229.7,0.7,
MKV0556,[MOP2000] C130594,Carina,06:42:22.26,-50:52:09.50,19.190,18.070,17.301,16.741,16.631,220.1,2.2,
MKV0558,[MOP2000] C170809,Carina,06:40:54.75,-50:52:11.60,17.980,16.570,15.673,15.059,14.921,63.0,1.7,non-member
MKV0560,[WMO2009] Car-0354,Carina,06:42:25.71,-50:52:12.30,18.820,17.720,,,,38.2,2.6,non-member
MKV0563,[FBN2016] 97801,Carina,06:40:40.23,-50:52:20.50,18.890,17.665,,,,210.0,1.3,
MKV0569,[LHT2012] MKV0571,Carina,06:41:40.16,-50:52:33.40,19.120,18.010,17.160,16.569,16.495,231.9,0.3,
MKV0571,2MASS J06412511-5052479,Carina,06:40:35.78,-50:52:37.60,18.130,17.041,,,,11.5,4.1,non-member
MKV0576,[LHT2012] MKV0577,Carina,06:41:25.13,-50:52:47.90,18.740,17.580,16.766,16.213,16.016,226.8,0.8,
MKV0577,[FBN2016] 73112,Carina,06:41:45.03,-50:52:49.00,18.920,17.770,17.005,16.402,16.350,217.9,0.7,
MKV0584,[MOP2000] C130959,Carina,06:41:05.69,-50:52:59.60,19.210,18.230,17.446,16.934,16.864,228.6,0.8,
MKV0587,[MOP2000] C130313,Carina,06:41:19.97,-50:53:02.30,19.120,17.790,16.931,16.327,16.193,108.6,2.3,non-member
MKV0592,2MASS J06411769-5053074,Carina,06:40:29.55,-50:53:09.70,18.350,16.780,,,,73.1,1.7,non-member
MKV0596,[LHT2012] MKV0598,Carina,06:41:18.04,-50:53:11.40,18.060,16.720,17.009,16.464,16.366,227.0,0.5,
MKV0598,[LHT2012] MKV0605,Carina,06:42:01.12,-50:53:18.10,19.020,17.870,17.077,16.484,16.379,220.0,1.9,
MKV0605,[FBN2016] 72973,Carina,06:41:47.66,-50:53:28.20,16.720,15.560,14.812,14.259,14.180,3.3,2.7,non-member
MKV0606,[MOP2000] C170814,Carina,06:41:05.46,-50:53:28.60,18.990,17.800,17.067,16.633,16.505,222.9,0.2,
MKV0608,[WMO2009] Car-0074,Carina,06:42:26.10,-50:53:28.80,17.940,16.620,,,,-0.5,1.0,non-member
MKV0614,[MOP2000] C130377,Carina,06:42:37.95,-50:53:37.60,18.720,17.570,,,,229.0,1.7,
MKV0628,[LHT2012] MKV0630,Carina,06:40:35.37,-50:54:07.60,18.210,16.920,,,,220.4,1.7,
MKV0630,[MOP2000] C130838,Carina,06:42:26.76,-50:54:09.90,18.240,17.158,,,,43.3,1.2,non-member
MKV0635,[WMO2009] Car-0212,Carina,06:41:12.83,-50:54:20.00,19.390,18.320,17.573,17.085,16.851,217.4,1.1,
MKV0640,[MOP2000] C171003,Carina,06:40:40.82,-50:54:29.20,18.290,17.041,,,,226.2,1.7,
MKV0641,[LHT2012] MKV0647,Carina,06:42:38.89,-50:54:29.30,18.200,16.640,,,,52.5,2.1,non-member
MKV0647,[WMO2009] Car-1404,Carina,06:40:11.30,-50:54:39.10,18.920,17.380,,,,78.9,5.0,non-member
MKV0652,[WMO2009] Car-0142,Carina,06:41:40.82,-50:54:45.80,18.560,17.370,16.599,16.012,15.848,233.8,1.7,
MKV0668,[MOP2000] C131093,Carina,06:42:09.36,-50:55:14.20,19.100,18.080,17.285,16.697,16.552,222.9,0.8,
MKV0675,[WMO2009] Car-0180,Carina,06:41:26.91,-50:55:23.20,18.650,17.130,16.136,15.519,15.368,67.1,3.2,non-member
MKV0677,[MOP2000] C130934,Carina,06:40:31.12,-50:55:24.50,17.700,16.362,,,,215.0,4.2,
MKV0692,[MCA82] C8,Carina,06:41:18.32,-50:55:39.10,19.110,18.130,17.401,16.935,16.764,226.8,1.0,
MKV0698,[MOP2000] C131424,Carina,06:41:26.09,-50:55:43.70,17.620,16.220,15.203,14.500,14.348,217.1,7.4,
MKV0701,[WMO2009] Car-0076,Carina,06:41:42.51,-50:55:50.20,17.970,16.740,15.942,15.363,15.224,76.0,1.4,non-member
MKV0708,[FBN2016] 101206,Carina,06:42:38.52,-50:56:00.80,18.400,17.290,,,,211.6,1.5,
MKV0713,[MOP2000] C170316,Carina,06:41:45.20,-50:56:04.70,19.060,17.940,17.212,16.691,16.574,236.6,2.3,
MKV0716,[MOP2000] C130408,Carina,06:42:00.50,-50:56:08.50,19.280,18.250,,,,218.3,0.5,
MKV0728,[WMO2009] Car-0165,Carina,06:40:37.63,-50:56:25.40,18.980,17.770,,,,11.7,1.9,non-member
MKV0729,[WMO2009] Car-0078,Carina,06:42:17.45,-50:56:26.30,18.630,17.470,,,,227.7,1.7,
MKV0733,[LHT2012] MKV0735,Carina,06:42:30.38,-50:56:33.30,18.770,17.560,,,,233.2,1.5,
MKV0735,[WMO2009] Car-1494,Carina,06:40:32.97,-50:56:34.50,17.220,16.004,,,,24.4,2.6,non-member
MKV0740,[LHT2012] MKV0743,Carina,06:41:29.08,-50:56:46.50,18.970,17.830,,,,227.8,2.2,
MKV0743,[MOP2000] C121226,Carina,06:41:45.91,-50:56:54.30,19.210,18.120,,,,218.2,0.9,
MKV0770,[MOP2000] C120887,Carina,06:41:12.28,-50:57:25.70,18.320,17.140,16.262,15.688,15.538,220.0,1.6,
MKV0780,[LHT2012] MKV0785,Carina,06:40:57.07,-50:57:44.10,18.610,17.440,16.593,16.014,15.918,228.8,1.8,
MKV0785,[WMO2009] Car-0118,Carina,06:42:24.13,-50:57:54.50,17.360,16.200,15.506,14.966,14.784,16.9,2.7,non-member
MKV0797,[MOP2000] C120338,Carina,06:41:18.32,-50:58:07.60,19.370,18.410,17.540,17.064,17.157,222.1,1.8,
MKV0798,[MOP2000] C120769,Carina,06:40:24.32,-50:58:08.50,18.790,17.450,,,,86.7,2.5,non-member
MKV0812,[LHT2012] MKV0814,Carina,06:40:51.62,-50:58:21.70,19.130,18.050,17.306,16.728,16.617,212.5,4.2,
MKV0814,[WMO2009] Car-0225,Carina,06:42:29.33,-50:58:24.00,17.540,16.448,,,,44.4,1.8,non-member
MKV0825,[WMO2009] Car-0545,Carina,06:40:56.96,-50:58:38.30,18.160,16.850,15.945,15.309,15.167,221.0,4.5,
MKV0832,[WMO2009] Car-0526,Carina,06:42:24.63,-50:58:44.90,19.090,17.718,,,,59.1,1.5,non-member
MKV0840,[MOP2000] C120318,Carina,06:42:02.81,-50:58:59.40,18.230,16.940,16.066,15.448,15.309,223.5,1.4,
MKV0842,[FBN2016] 90977,Carina,06:40:22.51,-50:59:01.90,19.010,17.940,,,,229.7,0.8,
MKV0843,[LHT2012] MKV0844,Carina,06:41:30.01,-50:59:02.40,18.950,17.900,17.099,16.543,16.456,219.5,4.5,
