Name,n_star,Vel,e_Vel
BL038,,62.86,0.74
BL045,,79.54,0.23
BL052,,30.32,1.25
BL061,,82.38,1.12
BL065,,63.86,0.78
BL069,,68.85,2.63
BL070,,60.43,2.85
BL076,,52.83,0.78
BL077,,56.23,1.49
BL079,,56.31,0.56
BL081,,50.58,0.22
BL084,,58.92,0.80
BL085,,88.97,1.17
BL091,,52.79,0.44
BL092,,53.99,0.37
BL094,,47.45,0.43
BL096,,72.90,0.37
BL097,,47.47,0.18
BL100,,55.92,0.46
BL104,,51.36,0.31
BL107,,63.97,0.42
BL109,*,-15.20,0.42
BL112,,53.90,2.36
BL113,,59.21,0.31
BL115,,70.05,0.30
BL119,,56.25,1.95
BL122,,65.88,0.75
BL123,,73.85,0.71
BL125,,58.23,0.77
BL127,,46.60,0.67
BL132,,40.34,0.48
BL135,,45.64,0.57
BL138,,56.52,0.33
BL140,,46.13,0.69
BL141,,76.47,0.35
BL146,,50.01,0.61
BL147,,52.39,0.61
BL148,,65.48,0.65
BL149,,50.70,0.40
BL150,,68.70,1.12
BL151,,41.41,0.58
BL153,,50.68,0.53
BL155,,46.18,0.21
BL156,,30.63,0.55
BL158,,41.26,0.67
BL160,,53.50,0.70
BL163,,41.29,0.48
BL165,,70.01,0.71
BL166,,57.36,0.51
BL168,,75.50,0.78
BL171,,58.27,1.19
BL173,,44.93,1.60
BL180,,72.51,0.21
BL181,,57.46,1.89
BL183,,19.09,0.32
BL185,,55.32,0.44
BL189,,82.78,0.47
BL190,,57.31,0.24
BL195,,39.03,0.46
BL196,,79.09,0.25
BL197,,46.27,1.02
BL198,,45.06,11.29
BL203,,56.40,0.92
BL204,,59.30,0.81
BL205,,59.91,0.27
BL207,,48.82,0.42
BL208,,54.35,0.53
BL210,,51.51,0.32
BL211,,50.35,0.20
BL213,,71.82,0.45
BL216,,66.92,0.26
BL218,,63.33,0.46
BL221,,54.25,0.32
BL227,,52.15,0.67
BL228,,55.00,0.34
BL229,,63.09,0.57
BL231,,63.28,1.11
BL233,,58.91,0.40
BL239,,47.47,0.35
BL242,,39.48,0.55
BL247,,40.40,0.63
BL249,,63.30,0.73
BL250,,42.06,0.36
BL251,,55.14,0.45
BL253,,67.48,0.39
BL254,,73.05,0.26
BL257,,56.51,0.36
BL258,,49.41,0.79
BL260,,61.11,0.70
BL261,,71.35,1.27
BL262,,47.72,0.52
BL266,,52.47,1.43
BL267,,59.04,0.48
BL269,,45.33,0.30
BL273,,63.77,6.18
BL274,,41.22,1.65
BL278,,52.43,0.56
BL279,,67.66,0.73
BL293,,56.83,0.99
BL295,,42.56,0.37
BL298,,62.09,1.43
BL300,,69.67,0.41
BL304,,71.21,0.26
BL311,,50.86,0.23
BL315,,53.15,0.85
BL323,,52.72,1.15
BL325,,18.70,0.80
