Name,lambda,Species,chi,loggf,EW
BL038,6154.23,Na I,2.10,-1.56,38.8
BL038,6160.75,Na I,2.10,-1.26,58.4
BL038,5528.41,Mg I,4.35,-0.36,221.1
BL038,6318.72,Mg I,5.11,-1.97,43.6
BL038,6319.24,Mg I,5.11,-2.21,
BL038,6319.49,Mg I,5.11,-2.43,
BL038,6125.03,Si I,5.62,-1.57,25.0
BL038,6142.48,Si I,5.62,-1.51,
BL038,6145.02,Si I,5.61,-1.37,45.1
BL038,6155.14,Si I,5.62,-0.80,42.5
BL038,6237.33,Si I,5.61,-1.02,26.6
BL038,6243.82,Si I,5.61,-1.27,
BL038,6122.23,Ca I,1.89,-0.32,243.6
BL038,6156.03,Ca I,2.52,-2.39,37.9
BL038,6161.30,Ca I,2.52,-1.27,144.3
BL038,6162.17,Ca I,1.90,-0.32,271.8
BL038,6166.44,Ca I,2.52,-1.14,141.2
BL038,6169.04,Ca I,2.52,-0.80,125.4
BL038,6169.56,Ca I,2.52,-0.48,149.8
BL038,6439.08,Ca I,2.52,0.39,234.7
BL038,6455.60,Ca I,2.52,-1.29,146.3
BL038,6471.67,Ca I,2.52,-0.76,
BL038,6493.79,Ca I,2.52,-0.32,217.7
BL038,6499.65,Ca I,2.52,-0.82,137.9
BL038,6508.84,Ca I,2.52,-2.41,38.6
BL038,5490.16,Ti I,1.46,-0.93,121.8
BL038,5503.90,Ti I,2.58,-0.19,
BL038,6126.22,Ti I,1.07,-1.42,149.2
BL038,6220.50,Ti I,2.68,-0.14,78.1
BL038,6258.10,Ti I,1.44,-0.35,208.0
BL038,6303.77,Ti I,1.44,-1.57,
BL038,6312.24,Ti I,1.46,-1.55,
BL038,6336.10,Ti I,1.44,-1.74,94.4
BL038,6508.12,Ti I,1.43,-2.05,64.6
BL038,6556.08,Ti I,1.46,-1.07,
BL038,6599.13,Ti I,0.90,-2.09,151.6
BL038,6666.53,Ti I,1.46,-1.62,25.9
BL038,5418.77,Ti II,1.58,-2.11,111.6
BL038,6219.94,Ti II,2.06,-2.82,27.2
BL038,6559.58,Ti II,2.05,-2.02,
BL038,6606.95,Ti II,2.06,-2.79,42.2
BL038,6680.13,Ti II,3.09,-1.86,
BL038,6330.09,Cr I,0.94,-2.92,152.6
BL038,5369.96,Fe I,4.37,0.54,146.2
BL038,5383.37,Fe I,4.31,0.50,165.1
BL038,5386.34,Fe I,4.16,-1.74,37.7
BL038,5393.17,Fe I,3.24,-0.92,191.0
BL038,5395.22,Fe I,4.45,-1.73,
BL038,5405.79,Fe I,0.99,-1.85,
BL038,5415.19,Fe I,4.39,0.51,115.7
BL038,5417.04,Fe I,4.42,-1.42,31.2
BL038,5434.53,Fe I,1.01,-2.12,
BL038,5436.30,Fe I,4.39,-1.35,
BL038,5464.29,Fe I,4.14,-1.62,74.9
BL038,5470.09,Fe I,4.45,-1.60,43.2
BL038,5501.48,Fe I,0.96,-3.05,258.9
BL038,5506.79,Fe I,0.99,-2.79,
BL038,5539.29,Fe I,3.64,-2.59,47.1
BL038,5586.77,Fe I,3.37,-0.10,194.0
BL038,6120.26,Fe I,0.91,-5.94,70.3
BL038,6136.62,Fe I,2.45,-1.50,178.0
BL038,6137.00,Fe I,2.20,-2.95,
BL038,6151.62,Fe I,2.18,-3.37,132.7
BL038,6157.75,Fe I,4.07,-1.26,125.5
BL038,6159.38,Fe I,4.61,-1.97,47.8
BL038,6165.36,Fe I,4.14,-1.47,64.4
BL038,6173.34,Fe I,2.22,-2.85,169.3
BL038,6180.20,Fe I,2.73,-2.78,49.8
BL038,6187.99,Fe I,3.94,-1.58,81.4
BL038,6200.31,Fe I,2.61,-2.44,138.8
BL038,6213.43,Fe I,2.22,-2.66,188.6
BL038,6219.29,Fe I,2.20,-2.44,199.9
BL038,6226.74,Fe I,3.88,-2.20,60.2
BL038,6252.57,Fe I,2.40,-1.76,217.9
BL038,6265.13,Fe I,2.18,-2.55,178.1
BL038,6271.28,Fe I,3.32,-2.96,49.7
BL038,6297.80,Fe I,2.22,-2.74,
BL038,6301.50,Fe I,3.65,-0.72,
BL038,6307.85,Fe I,3.64,-3.27,
BL038,6322.69,Fe I,2.59,-2.43,163.0
BL038,6330.85,Fe I,4.73,-1.22,37.8
BL038,6335.33,Fe I,2.20,-2.23,214.5
BL038,6336.82,Fe I,3.69,-1.05,144.3
BL038,6344.15,Fe I,2.43,-2.92,169.6
BL038,6355.04,Fe I,2.84,-2.29,164.2
BL038,6380.75,Fe I,4.19,-1.50,79.5
BL038,6392.54,Fe I,2.28,-3.95,80.1
BL038,6393.61,Fe I,2.43,-1.63,236.5
BL038,6408.03,Fe I,3.69,-1.00,149.0
BL038,6419.96,Fe I,4.73,-0.24,112.8
BL038,6421.36,Fe I,2.28,-2.01,228.9
BL038,6430.86,Fe I,2.18,-1.95,256.5
BL038,6481.87,Fe I,2.27,-2.98,183.4
BL038,6498.94,Fe I,0.96,-4.69,205.1
BL038,6533.93,Fe I,4.55,-1.46,43.4
BL038,6556.81,Fe I,4.79,-1.72,26.7
BL038,6569.22,Fe I,4.73,-0.42,110.3
BL038,6574.23,Fe I,0.99,-5.02,191.0
BL038,6593.88,Fe I,2.43,-2.39,194.6
BL038,6597.56,Fe I,4.79,-1.07,45.3
BL038,6608.03,Fe I,2.28,-3.94,92.1
BL038,6609.12,Fe I,2.56,-2.66,158.0
BL038,6627.54,Fe I,4.54,-1.68,16.9
BL038,6633.76,Fe I,4.56,-0.82,107.4
BL038,6646.93,Fe I,2.60,-3.99,63.5
BL038,6653.85,Fe I,4.15,-2.52,26.6
BL038,5414.08,Fe II,3.22,-3.61,
BL038,5425.25,Fe II,3.20,-3.36,56.9
BL038,6149.25,Fe II,3.89,-2.72,36.3
BL038,6432.68,Fe II,2.89,-3.71,37.7
BL038,6456.39,Fe II,3.90,-2.08,56.4
BL038,5578.73,Ni I,1.68,-2.67,135.0
BL038,5587.87,Ni I,1.93,-2.37,147.1
BL038,5589.37,Ni I,3.90,-1.15,25.0
BL038,5593.75,Ni I,3.90,-0.79,41.1
BL038,6128.97,Ni I,1.68,-3.39,94.8
BL038,6130.14,Ni I,4.27,-0.98,17.1
BL038,6177.25,Ni I,1.83,-3.60,72.6
BL038,6186.72,Ni I,4.11,-0.90,40.7
BL038,6204.61,Ni I,4.09,-1.15,
BL038,6223.99,Ni I,4.10,-0.97,24.2
BL038,6230.10,Ni I,4.11,-1.20,45.7
BL038,6322.17,Ni I,4.15,-1.21,21.0
BL038,6327.60,Ni I,1.68,-3.09,110.9
BL038,6378.26,Ni I,4.15,-0.82,29.4
BL038,6384.67,Ni I,4.15,-1.00,22.9
BL038,6482.80,Ni I,1.94,-2.85,110.5
BL038,6586.32,Ni I,1.95,-2.79,137.0
BL038,6598.61,Ni I,4.24,-0.93,
BL038,6635.14,Ni I,4.42,-0.75,
BL038,5402.78,Y II,1.84,-0.51,52.0
BL038,6141.73,Ba II,0.70,-0.08,265.7
BL038,6496.91,Ba II,0.60,-0.38,259.7
BL038,6320.43,La II,0.17,-1.56,90.7
BL038,6390.46,La II,0.32,-1.40,71.4
BL038,5416.38,Nd II,0.86,-0.98,17.2
BL038,5431.54,Nd II,1.12,-0.47,65.0
BL038,5485.71,Nd II,1.26,-0.12,40.7
BL038,6645.13,Eu II,1.37,0.20,85.0
BL045,6154.23,Na I,2.10,-1.56,
BL045,6160.75,Na I,2.10,-1.26,
BL045,5528.41,Mg I,4.35,-0.36,195.6
BL045,6318.72,Mg I,5.11,-1.97,
BL045,6319.24,Mg I,5.11,-2.21,27.0
BL045,6319.49,Mg I,5.11,-2.43,
BL045,6125.03,Si I,5.62,-1.57,24.7
BL045,6142.48,Si I,5.62,-1.51,
BL045,6145.02,Si I,5.61,-1.37,
BL045,6155.14,Si I,5.62,-0.80,38.5
BL045,6237.33,Si I,5.61,-1.02,
BL045,6243.82,Si I,5.61,-1.27,
BL045,6122.23,Ca I,1.89,-0.32,219.3
BL045,6156.03,Ca I,2.52,-2.39,
BL045,6161.30,Ca I,2.52,-1.27,97.1
BL045,6162.17,Ca I,1.90,-0.32,248.2
BL045,6166.44,Ca I,2.52,-1.14,97.5
BL045,6169.04,Ca I,2.52,-0.80,121.0
BL045,6169.56,Ca I,2.52,-0.48,131.0
BL045,6439.08,Ca I,2.52,0.39,199.4
BL045,6455.60,Ca I,2.52,-1.29,102.4
BL045,6471.67,Ca I,2.52,-0.76,
BL045,6493.79,Ca I,2.52,-0.32,166.2
BL045,6499.65,Ca I,2.52,-0.82,101.5
BL045,6508.84,Ca I,2.52,-2.41,
BL045,5490.16,Ti I,1.46,-0.93,83.7
BL045,5503.90,Ti I,2.58,-0.19,41.0
BL045,6126.22,Ti I,1.07,-1.42,110.7
BL045,6220.50,Ti I,2.68,-0.14,45.9
BL045,6258.10,Ti I,1.44,-0.35,139.2
BL045,6303.77,Ti I,1.44,-1.57,61.1
BL045,6312.24,Ti I,1.46,-1.55,
BL045,6336.10,Ti I,1.44,-1.74,48.9
BL045,6508.12,Ti I,1.43,-2.05,27.1
BL045,6556.08,Ti I,1.46,-1.07,104.7
BL045,6599.13,Ti I,0.90,-2.09,81.6
BL045,6666.53,Ti I,1.46,-1.62,
BL045,5418.77,Ti II,1.58,-2.11,107.9
BL045,6219.94,Ti II,2.06,-2.82,15.0
BL045,6559.58,Ti II,2.05,-2.02,48.3
BL045,6606.95,Ti II,2.06,-2.79,30.2
BL045,6680.13,Ti II,3.09,-1.86,
BL045,6330.09,Cr I,0.94,-2.92,108.7
BL045,5369.96,Fe I,4.37,0.54,154.2
BL045,5383.37,Fe I,4.31,0.50,143.0
BL045,5386.34,Fe I,4.16,-1.74,62.7
BL045,5393.17,Fe I,3.24,-0.92,191.9
BL045,5395.22,Fe I,4.45,-1.73,22.3
BL045,5405.79,Fe I,0.99,-1.85,
BL045,5415.19,Fe I,4.39,0.51,155.6
BL045,5417.04,Fe I,4.42,-1.42,27.9
BL045,5434.53,Fe I,1.01,-2.12,
BL045,5436.30,Fe I,4.39,-1.35,
BL045,5464.29,Fe I,4.14,-1.62,41.2
BL045,5470.09,Fe I,4.45,-1.60,21.8
BL045,5501.48,Fe I,0.96,-3.05,236.3
BL045,5506.79,Fe I,0.99,-2.79,273.2
BL045,5539.29,Fe I,3.64,-2.59,41.0
BL045,5586.77,Fe I,3.37,-0.10,203.2
BL045,6120.26,Fe I,0.91,-5.94,67.7
