Name,Sppecies,lambda,chi,loggf,l_EW,EW,SNR,min
CC06122,Fe I,5302.3,3.28,-0.88,,153.5,17,26
CC06122,Fe I,5307.37,1.61,-2.912,,183.0,17,26
CC06122,Fe I,5324.19,3.21,-0.1,,186.5,17,26
CC06122,Fe I,5332.9,1.56,-2.78,,,,
CC06122,Fe I,5339.93,3.27,-0.72,,139.5,17,26
CC06122,Fe I,5364.86,4.45,0.228,,124.0,17,26
CC06122,Fe I,5367.48,4.42,0.443,,128.3,17,26
CC06122,Fe I,5369.96,4.37,0.536,,129.5,17,26
CC06122,Fe I,5371.5,0.96,-1.644,,,,
CC06122,Fe I,5383.37,4.31,0.645,,145.7,17,26
CC06122,Fe I,5389.48,4.42,-0.4,,,,
CC06122,Fe I,5393.17,3.24,-0.92,,183.5,17,26
CC06122,Fe I,5397.13,0.91,-1.982,,,,
CC06122,Fe I,5400.51,4.37,-0.15,,109.5,17,26
CC06122,Fe I,5405.77,0.99,-1.852,,,,
CC06122,Fe I,5410.92,4.47,0.398,,135.7,17,26
CC06122,Fe I,5415.2,4.39,0.643,,137.3,17,26
CC06122,Fe I,5417.04,4.42,-1.42,,35.3,17,26
CC06122,Fe I,5424.07,4.32,0.52,,160.5,17,26
CC06122,Fe I,5429.7,0.96,-1.881,,,,
CC06122,Fe I,5434.52,1.01,-2.126,,,,
CC06122,Fe I,5445.05,4.39,-0.02,,117.5,17,26
CC06122,Fe I,5446.92,0.99,-1.914,,,,
CC06122,Fe I,5464.28,4.14,-1.402,,,,
CC06122,Fe I,5497.52,1.01,-2.825,,,,
CC06122,Fe I,5501.46,0.96,-3.046,,,,
CC06122,Fe I,5506.79,0.99,-2.789,,,,
CC06122,Fe I,5569.62,3.42,-0.54,,153.3,17,26
CC06122,Fe I,5576.09,3.43,-1.0,,153.7,17,26
CC06122,Fe I,5586.76,3.37,-0.144,,186.0,17,26
CC06122,Fe I,5624.54,3.42,-0.755,,,,
CC06122,Fe I,5686.53,4.55,-0.45,,,,
CC06122,Fe I,5701.54,2.56,-2.143,,134.7,17,26
CC06122,Fe I,5956.69,0.86,-4.498,,181.7,17,26
CC06122,Fe I,6003.03,3.88,-1.11,,88.7,17,26
CC06122,Fe I,6024.05,4.55,-0.11,,99.3,17,26
CC06122,Fe I,6027.05,4.07,-1.089,,79.0,17,26
CC06122,Fe I,6056.01,4.73,-0.45,,46.0,17,26
CC06122,Fe I,6065.48,2.61,-1.41,,185.0,17,26
CC06122,Fe I,6078.5,4.79,-0.37,,36.3,17,26
CC06122,Fe I,6082.72,2.22,-3.548,,85.0,17,26
CC06122,Fe I,6102.18,4.84,-0.516,,67.5,17,26
CC06122,Fe I,6120.26,0.91,-5.94,,43.3,17,26
CC06122,Fe I,6137.69,2.59,-1.346,,169.0,17,26
CC06122,Fe I,6151.62,2.18,-3.371,,105.3,17,26
CC06122,Fe I,6157.75,4.07,-1.26,,70.7,17,26
CC06122,Fe I,6165.36,4.14,-1.473,,,,
CC06122,Fe I,6173.34,2.22,-2.85,,131.7,17,26
CC06122,Fe I,6180.2,2.73,-2.649,,92.7,17,26
CC06122,Fe I,6187.99,3.94,-1.58,,51.0,17,26
CC06122,Fe I,6200.31,2.61,-2.373,,139.3,17,26
CC06122,Fe I,6213.43,2.22,-2.481,,144.0,17,26
CC06122,Fe I,6219.28,2.2,-2.448,,149.0,17,26
CC06122,Fe I,6229.23,2.84,-2.9,,62.7,17,26
CC06122,Fe I,6230.74,2.56,-1.276,,,,
CC06122,Fe I,6232.65,3.65,-1.223,,99.3,17,26
CC06122,Fe I,6240.65,2.22,-3.173,,94.7,17,26
CC06122,Fe I,6246.32,3.6,-0.733,,,,
CC06122,Fe I,6252.56,2.4,-1.767,,184.0,17,26
CC06122,Fe I,6254.26,2.28,-2.443,,148.0,17,26
CC06122,Fe I,6265.13,2.18,-2.54,,159.3,17,26
CC06122,Fe I,6280.62,0.86,-4.387,,172.0,17,26
CC06122,Fe I,6297.79,2.22,-2.64,,156.7,17,26
CC06122,Fe I,6301.5,3.65,-0.72,,128.0,17,26
CC06122,Fe I,6302.49,3.69,-1.15,,92.5,17,26
CC06122,Fe I,6311.51,2.83,-3.22,,47.0,17,26
CC06122,Fe I,6322.68,2.59,-2.469,,118.5,17,26
CC06122,Fe I,6335.33,2.2,-2.177,,173.7,17,26
CC06122,Fe I,6336.82,3.69,-1.05,,100.0,17,26
CC06122,Fe I,6344.15,2.43,-2.877,,113.3,17,26
CC06122,Fe I,6355.03,2.84,-2.291,,97.0,17,26
CC06122,Fe I,6380.74,4.19,-1.375,,35.5,17,26
CC06122,Fe I,6392.54,2.28,-3.95,,42.5,17,26
CC06122,Fe I,6393.61,2.43,-1.576,,176.0,17,26
CC06122,Fe I,6408.03,3.69,-1.0,,115.7,17,26
CC06122,Fe I,6411.65,3.65,-0.717,,135.0,17,26
CC06122,Fe I,6419.96,4.73,-0.24,,76.0,17,26
CC06122,Fe I,6421.35,2.28,-2.014,,169.7,17,26
CC06122,Fe I,6430.85,2.18,-1.946,,195.0,17,26
CC06122,Fe I,6481.87,2.27,-3.01,,119.7,17,26
CC06122,Fe I,6494.98,2.4,-1.239,,215.0,17,26
CC06122,Fe I,6498.94,0.96,-4.689,,150.3,17,26
CC06122,Fe I,6518.37,2.83,-2.297,,96.3,17,26
CC06122,Fe I,6533.93,4.55,-1.46,,,,
CC06122,Fe I,6569.22,4.73,-0.42,,66.5,17,26
CC06122,Fe I,6574.23,0.99,-5.022,,120.3,17,26
CC06122,Fe I,6581.22,1.48,-4.68,,78.0,17,26
CC06122,Fe I,6592.91,2.73,-1.47,,168.3,17,26
CC06122,Fe I,6593.87,2.43,-2.366,,155.7,17,26
CC06122,Fe I,6597.56,4.79,-1.07,,,,
CC06122,Fe I,6608.03,2.28,-3.94,,41.7,17,26
CC06122,Fe I,6609.11,2.56,-2.661,,114.0,17,26
CC06122,Fe I,6627.54,4.54,-1.68,,23.5,17,26
CC06122,Fe I,6633.75,4.56,-0.799,,,,
CC06122,Fe I,6663.44,2.42,-2.479,,151.7,17,26
CC06122,Fe I,6677.99,2.69,-1.42,,194.3,17,26
CC06122,Fe I,6750.15,2.42,-2.621,,131.3,17,26
CC06122,Fe II,5414.08,3.22,-3.61,,,,
CC06122,Fe II,5425.25,3.2,-3.36,,,,
CC06122,Fe II,5534.85,3.24,-2.92,,,,
CC06122,Fe II,5991.38,3.15,-3.74,,27.3,17,26
CC06122,Fe II,6149.25,3.89,-2.72,,41.3,17,26
CC06122,Fe II,6238.38,3.89,-2.67,,41.0,17,26
CC06122,Fe II,6247.56,3.89,-2.36,,58.0,17,26
CC06122,Fe II,6369.46,2.89,-4.02,,,,
CC06122,Fe II,6416.93,3.89,-2.79,,33.3,17,26
CC06122,Fe II,6432.68,2.89,-3.71,,45.3,17,26
CC06122,Fe II,6456.39,3.9,-2.08,,60.5,17,26
CC06122,Fe II,6516.08,2.89,-3.45,,55.3,17,26
CC06122,O I,6300.31,0.0,-9.75,,37.3,17,26
CC06122,Na I,5688.21,2.1,-0.37,,67.0,17,26
CC06122,Mg I,5528.41,4.34,-0.48,,204.5,17,26
CC06122,Mg I,5711.09,4.35,-1.728,,93.0,17,26
CC06122,Al I,6696.03,3.14,-1.57,<,25.0,17,26
CC06122,Si I,6142.48,5.62,-1.51,,,,
CC06122,Si I,6155.14,5.62,-0.8,,37.3,17,26
CC06122,Si I,6237.33,5.61,-1.02,,,,
CC06122,Si I,6244.48,5.61,-1.27,,,,
CC06122,Ca I,5349.47,2.71,-0.31,,,,
CC06122,Ca I,5581.97,2.52,-0.555,,106.7,17,26
CC06122,Ca I,5588.75,2.52,0.21,,157.7,17,26
CC06122,Ca I,5590.12,2.52,-0.571,,101.0,17,26
CC06122,Ca I,5594.47,2.52,0.097,,,,
CC06122,Ca I,5598.49,2.52,-0.087,,177.0,17,26
CC06122,Ca I,5857.45,2.93,0.23,,154.0,17,26
CC06122,Ca I,5601.28,2.53,-0.523,,103.7,17,26
CC06122,Ca I,6102.73,1.88,-0.79,,161.5,17,26
CC06122,Ca I,6122.23,1.89,-0.32,,197.7,17,26
CC06122,Ca I,6161.3,2.52,-1.27,,72.0,17,26
CC06122,Ca I,6162.17,1.9,-0.09,,212.5,17,26
CC06122,Ca I,6166.44,2.52,-1.14,,68.3,17,26
CC06122,Ca I,6169.04,2.52,-0.8,,97.3,17,26
CC06122,Ca I,6169.56,2.52,-0.48,,125.0,17,26
CC06122,Ca I,6439.08,2.52,0.39,,166.7,17,26
CC06122,Ca I,6449.81,2.52,-0.502,,,,
CC06122,Ca I,6455.6,2.52,-1.29,,58.5,17,26
CC06122,Ca I,6471.67,2.52,-0.76,,113.7,17,26
CC06122,Ca I,6493.79,2.52,-0.32,,132.3,17,26
CC06122,Ca I,6499.65,2.52,-0.82,,92.7,17,26
CC06122,Ca I,6717.68,2.71,-0.61,,115.7,17,26
CC06122,Sc II,5318.37,1.36,-2.01,,30.3,17,26
CC06122,Sc II,5526.79,1.77,0.03,,124.3,17,26
CC06122,Sc II,5641.0,1.5,-1.13,,69.5,17,26
CC06122,Sc II,5657.91,1.51,-0.6,,,,
CC06122,Sc II,5667.16,1.5,-1.31,,,,
