Name,Teff,e_Teff,logg,M/H,Vmic
CC06122,4284,60,0.68,-1.5,2.3
CC06486,4524,62,1.07,-2.0,1.95
CC06975,4563,84,1.18,-1.8,2.3
CC07452,4437,65,0.87,-1.3,2.3
CC07889,4675,55,1.31,-2.3,2.3
CC08447,4418,72,0.93,-1.5,2.15
CC08469,4337,68,0.81,-1.5,2.25
CC08615,4651,84,1.28,-1.7,2.4
CC08695,4337,89,0.84,-1.3,2.1
CC08788,4695,82,1.34,-1.5,2.45
CC09000,4230,116,0.67,-1.8,2.4
CC09179,4561,87,1.15,-1.8,1.85
CC09225,4438,93,0.95,-1.6,2.15
CC09226,4619,76,1.19,-1.5,1.9
CC09430,4509,74,1.1,-2.1,1.95
CC09507,4652,63,1.2,-1.7,2.15
CC09633,4487,80,0.93,-2.2,2.4
CC09869,4459,74,1.01,-1.3,2.1
CC09929,4515,73,1.19,-1.5,2.1
CC10038,4486,73,1.08,-1.2,1.95
CC10194,4352,98,0.8,-1.7,2.05
CC10318,4359,69,0.89,-1.5,2.1
CC10414,4442,66,1.01,-1.4,2.3
CC10686,4312,73,0.76,-1.6,2.05
CC10690,4486,78,1.04,-1.9,2.25
CC10802,4587,72,1.3,-1.3,2.0
CC10944,4425,69,0.85,-1.9,2.4
CC11217,4279,78,0.69,-1.4,2.3
CC11388,4454,81,0.93,-1.5,2.45
CC11560,4514,68,1.06,-1.5,2.2
CC12038,4551,73,1.19,-1.6,1.95
CC12039,4412,65,0.84,-1.6,2.35
