Found,Name,Query_ID,RA_input,DEC_input,MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,FLUX_U,FLUX_B,FLUX_V,FLUX_R,FLUX_I,FLUX_J,FLUX_H,FLUX_K,OTYPE,SP_TYPE,RA_2,DEC_2,PMRA,PMDEC,PLX_VALUE,RV_VALUE,SCRIPT_NUMBER_ID
True,BD+02:3375,BD +02 3375,,,BD+02  3375,17 39 45.5948,+02 24 59.606,14,14,0.0122,0.0103,90,A,O,2020yCat.1350....0G,10.18,10.4,9.92,9.47,9.12,8.799,8.537,8.498,ChemPec*,A5,17 39 45.5948,+02 24 59.606,-365.856,75.156,9.8386,-397.26,1
True,BD+03:740,BD +03 740,,,BD+03   740,05 01 16.6226,+04 06 37.021,14,14,0.0202,0.0117,90,A,O,2020yCat.1350....0G,9.97,10.17,9.7,9.6,,8.795,8.532,8.516,HorBranch*,sdF0,05 01 16.6226,+04 06 37.021,155.302,-146.26,5.8932,174.52,1
True,BD+06:0648,BD +06 0648,,,BD+06   648,04 13 13.1126,+06 36 01.768,14,14,0.015,0.012,90,A,O,2020yCat.1350....0G,,10.27,9.09,8.58,,6.562,5.905,5.798,ChemPec*,K0,04 13 13.1126,+06 36 01.768,30.224,-38.218,0.8875,-143.37,1
True,BD+10:2495,BD +10 2495,,,BD+10  2495,12 59 19.9306,+09 14 35.634,14,14,0.0265,0.0162,90,A,O,2020yCat.1350....0G,,10.44,9.73,,,8.13,7.691,7.571,SB*,G0,12 59 19.9306,+09 14 35.634,-45.183,31.422,1.7856,258.9,1
True,BD+17:3248,BD +17 3248,,,BD+17  3248,17 28 14.4690,+17 30 35.847,14,14,0.0094,0.0097,90,A,O,2020yCat.1350....0G,,10.02,9.34,,,7.876,7.391,7.338,HorBranch*,KIIvw,17 28 14.4690,+17 30 35.847,-47.611,-22.366,1.2357,-146.668,1
True,BD+23:3130,BD +23 3130,,,BD+23  3130,17 32 41.6247,+23 44 11.625,14,14,0.007,0.0094,90,A,O,2020yCat.1350....0G,,,8.9,8.6,,7.42,7.026,6.952,ChemPec*,G0III,17 32 41.6247,+23 44 11.625,-332.74,-88.094,3.4089,-283.38,1
True,BD+24:1676,BD +24 1676,,,BD+24  1676,07 30 41.2662,+24 05 10.248,14,14,0.0158,0.0123,90,A,O,2020yCat.1350....0G,,11.15,10.7,10.4,,9.811,9.545,9.541,ChemPec*,F,07 30 41.2662,+24 05 10.248,162.379,-233.155,3.9637,-237.09,1
True,BD+44:493,BD +44 493,,,BD+44   493,02 26 49.7390,+44 57 46.523,14,14,0.0188,0.0154,90,A,O,2020yCat.1350....0G,,9.63,9.11,9.073,,7.659,7.269,7.202,ChemPec*,CEMP-no,02 26 49.7390,+44 57 46.523,118.221,-32.068,4.8661,-150.445,1
True,BD-01:2582,BD -01 2582,,,BD-01  2582,11 53 37.3231,-02 00 36.728,14,14,0.0163,0.0112,90,A,O,2020yCat.1350....0G,,10.29,9.6,,,8.126,7.717,7.598,RGB*,CEMP-s,11 53 37.3231,-02 00 36.728,-18.452,-121.539,2.5761,2.63,1
True,BD-04:3208,BD -04 3208,,,BD-04  3208,12 07 15.0721,-05 44 01.612,14,14,0.0163,0.0134,90,A,O,2020yCat.1350....0G,,10.4,9.99,,,9.064,8.798,8.739,HighPM*,A7,12 07 15.0721,-05 44 01.612,-279.963,-228.345,5.7114,57.93,1
True,BD-18:0271,BD -18 0271,,,BD-18   271,01 37 18.8808,-17 29 03.907,14,14,0.012,0.011,90,A,O,2020yCat.1350....0G,,10.93,9.77,,,7.53,6.914,6.786,ChemPec*,KIIvw,01 37 18.8808,-17 29 03.907,6.442,-25.497,0.3942,-209.56,1
True,BD-18:5550,BD -18 5550,,,BD-18  5550,19 58 49.7371,-18 12 11.140,14,14,0.0233,0.0158,90,A,O,2020yCat.1350....0G,10.18,10.03,9.35,9.04,8.74,7.202,6.721,6.555,ChemPec*,CEMP-no,19 58 49.7371,-18 12 11.140,11.378,-91.305,1.972,-125.08,1
True,BS 16023-046,BPS BS 16023-046,,,2MASS J14005447+2246423,14 00 54.4740,+22 46 42.087,14,14,0.0138,0.0116,90,A,O,2020yCat.1350....0G,14.317,14.548,14.2,,,13.241,13.016,12.964,ChemPec*,,14 00 54.4740,+22 46 42.087,-42.3,-40.677,0.9674,,1
True,BS 16033-008,BPS BS 16033-008,,,2MASS J13055616+2510161,13 05 56.1655,+25 10 16.025,14,14,0.0153,0.0117,90,A,O,2020yCat.1350....0G,,14.42,13.8,13.367,12.943,12.317,11.866,11.803,ChemPec*,,13 05 56.1655,+25 10 16.025,-19.735,-8.969,0.2822,-34.78,1
True,BS 16076-006,BPS BS 16076-006,,,2MASS J12482275+2056440,12 48 22.7519,+20 56 44.029,14,14,0.0174,0.0125,90,A,O,2020yCat.1350....0G,,13.88,13.4,13.115,12.706,12.123,11.753,11.655,ChemPec*,,12 48 22.7519,+20 56 44.029,-26.313,-13.006,0.6004,203.12,1
True,BS 16077-007,BPS BS 16077-007,,,BPS BS 16077-0007,11 35 17.9891,+31 00 23.431,14,14,0.0118,0.0126,90,A,O,2020yCat.1350....0G,,12.79,12.4,12.49,,11.47,11.206,11.173,ChemPec*,,11 35 17.9891,+31 00 23.431,-33.159,-80.975,2.3366,-36.7,1
True,BS 16080-054,BPS BS 16080-054,,,2MASS J16391853+6057426,16 39 18.5345,+60 57 42.547,14,14,0.0106,0.0103,90,A,O,2020yCat.1350....0G,,13.5,12.79,,11.786,11.097,10.632,10.508,ChemPec*,,16 39 18.5345,+60 57 42.547,-3.365,7.402,0.197,-120.3335,1
True,BS 16082-129,BPS BS 16082-129,,,2MASS J13471172+2857471,13 47 11.7175,+28 57 47.212,14,14,0.0097,0.0085,90,A,O,2020yCat.1350....0G,,14.23,13.61,13.013,12.541,11.855,11.402,11.309,ChemPec*,,13 47 11.7175,+28 57 47.212,-14.963,-7.277,0.1684,-89.708298,1
True,BS 16083-172,BPS BS 16083-172,,,BPS BS 16083-0172,14 50 41.4358,+48 45 13.540,14,14,0.0091,0.0111,90,A,O,2020yCat.1350....0G,,13.74,13.13,13.025,12.594,11.99,11.574,11.496,ChemPec*,,14 50 41.4358,+48 45 13.540,-1.36,-21.679,0.6121,,1
True,BS 16084-160,BPS BS 16084-160,,,BPS BS 16084-0160,16 28 50.7923,+54 37 06.886,14,14,0.0126,0.0142,90,A,O,2020yCat.1350....0G,,13.94,13.12,12.63,12.103,11.345,10.838,10.747,ChemPec*,,16 28 50.7923,+54 37 06.886,-1.551,1.913,0.0911,-132.32,1
True,BS 16085-050,BPS BS 16085-050,,,BPS BS 16085-0050,12 37 46.6781,+19 22 49.551,14,14,0.0213,0.0196,90,A,O,2020yCat.1350....0G,12.965,12.93,12.16,11.668,11.186,10.467,10.005,9.935,ChemPec*,,12 37 46.6781,+19 22 49.551,2.366,-11.612,0.2686,-73.97,1
