Name,Instrument,t_exp,Obs.date,Obs.time,HJD,HRV
BD+10 2495,McDonald-Smith/2dCoude,5600,2009/05/06,06:23,2454957.771,250.8
BD+10 2495,McDonald-Smith/2dCoude,3600,2009/06/10,04:31,2454992.69,250.8
BD+29 2356,McDonald-Smith/2dCoude,5400,2009/06/11,05:45,2454993.741,-207.3
BD+30 2611,McDonald-Smith/2dCoude,2700,2009/05/06,07:43,2454957.826,-280.4
BD+30 2611,McDonald-Smith/2dCoude,2300,2009/06/10,05:25,2454992.729,-280.0
BD+30 2611,McDonald-Smith/2dCoude,2500,2009/06/14,07:28,2454996.814,-280.4
CD-36 1052,Magellan-Clay/MIKE,1200,2009/07/04,10:12,2455016.924,304.7
CS 22876-040,Magellan-Clay/MIKE,5800,2009/07/26,07:17,2455038.807,-189.9
CS 22948-093,Magellan-Clay/MIKE,1400,2006/08/03,04:07,2453950.677,367.9
CS 22948-093,Magellan-Clay/MIKE,900,2009/10/26,02:42,2455130.614,360.4
CS 29513-031,Magellan-Clay/MIKE,5400,2006/07/19,09:11,2453935.887,295.7
CS 29513-031,Magellan-Clay/MIKE,1200,2009/07/04,09:44,2455016.909,283.8
CS 29513-031,Magellan-Clay/MIKE,1200,2009/07/25,06:14,2455037.764,283.6
CS 29513-031,Magellan-Clay/MIKE,1200,2009/10/28,01:58,2455132.584,284.1
CS 29513-032,Magellan-Clay/MIKE,3800,2009/07/25,09:04,2455037.882,-215.8
CS 29513-032,Magellan-Clay/MIKE,600,2009/10/26,03:27,2455130.646,-215.4
HD 119516,McDonald-Smith/2dCoude,2700,2009/05/07,06:40,2454958.782,-285.9
HD 128279,Magellan-Clay/MIKE,200,2004/07/14,22:49,2453201.453,-75.7
HD 128279,Magellan-Clay/MIKE,20,2004/06/22,22:57,2453179.46,-76.1
HD 128279,Magellan-Clay/MIKE,90,2004/07/23,22:59,2453210.459,-75.7
HD 128279,Magellan-Clay/MIKE,240,2005/05/31,03:05,2453521.634,-75.3
HD 175305,McDonald-Smith/2dCoude,1500,2009/05/06,11:14,2454957.967,-184.2
HD 237846,McDonald-Smith/2dCoude,6000,2009/06/11,03:30,2454993.643,-303.8
HD 237846,McDonald-Smith/2dCoude,2100,2009/06/14,02:58,2454996.62,-303.5
