JINA_ID,Priority,Ref,Reference,Name,Simbad_Identifier,NLTE,Ncap_key,C_key,MP_key,alpha_key,Loc,System,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Vel,Vel_bibcode,U_mag,B_mag,V_mag,R_mag,I_mag,J_mag,H_mag,K_mag,Teff,logg,Fe/H,Vmic,Li,Be,C,N,O,F,Na,Mg,Al,Si,P,S,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,Sn,Te,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Os,Ir,Pt,Au,Hg,Pb,Bi,Th,U,CaII,TiII,VII,CrII,MnII,FeII,Added_by
7367,,ROE10c,Roederer+2010c,BD-01 0306,BD-01 306,,,,,,,,,02:14:40.2989,-01:12:05.123,,,,,9.6,9.631,9.066,8.712,8.377,7.899,7.589,7.52,,,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,1.05,,,,,,,,,,,,0.12,,,,,-0.27,,,,,,,,,,,,,,,,<1.2,,,,,,,,,,Yelland
7368,,ROE10c,Roederer+2010c,BD-01 2582,BD-01 2582,,,,,,,,,11:53:37.3231,-02:00:36.728,,,,,,10.29,9.6,,,8.126,7.717,7.598,,,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,0.17,,,,,,,,,,,,-0.05,,,,,-1.03,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Yelland
7369,,ROE10c,Roederer+2010c,BD-18 5550,BD-18 5550,,,,,,,,,19:58:49.7371,-18:12:11.140,,,,,10.18,10.03,9.35,9.04,8.74,7.202,6.721,6.555,,,-3.05,,,,,,,,,,,,,,,,,,,,,,,,,1.94,,,,,,,-1.81,,,,,,,,,,,,-2.52,,,,,-2.81,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7370,,ROE10c,Roederer+2010c,BD+01 2916,BD+01 2916,,,,,,,,,14:21:45.2614,+00:46:59.173,,,,,,10.93,9.65,,,7.273,6.566,6.472,,,-1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,,,-0.87,,,,,-1.22,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,Yelland
7371,,ROE10c,Roederer+2010c,BD+04 2621,BD+04 2621,,,,,,,,,12:28:44.6433,+04:01:26.631,,,,,,10.86,9.9,,,8.179,7.688,7.549,,,-2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,-2.29,,,,,-2.63,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7372,,ROE10c,Roederer+2010c,BD+06 0648,BD+06 648,,,,,,,,,04:13:13.1126,+06:36:01.768,,,,,,10.27,9.09,8.58,,6.562,5.905,5.798,,,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,,,,,-0.95,,,,,-1.5,,,,,,,,,,,,,,,,<0.0,,,,,,,,,,Yelland
7373,,ROE10c,Roederer+2010c,BD+08 2856,BD+08 2856,,,,,,,,,14:23:58.1664,+08:01:33.333,,,,,,10.9,10.08,,,8.06,7.53,7.387,,,-2.12,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,,-0.15,,,,,,,,,,,,-1.03,,,,,-1.16,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7374,,ROE10c,Roederer+2010c,BD+10 2495,BD+10 2495,,,,,,SS,Helmi,SB,12:59:19.9306,+09:14:35.634,,,,,,10.44,9.73,,,8.13,7.691,7.571,,,-2.31,,,,,,,,,,,,,,,,,,,,,,,,,2.32,,,,,,,-0.52,,,,,,,,,,,,-1.36,,,,,-1.69,,,,,,,,,,,,,,,,<0.88,,,,,,,,,,Yelland
7375,,ROE10c,Roederer+2010c,BD+17 3248,BD+17 3248,,,,,,,,HB,17:28:14.4690,+17:30:35.847,,,,,,10.02,9.34,,,7.876,7.391,7.338,,,-2.08,,,,,,,,,,,,,,,,,,,,,,,,,2.58,,,,,,,0.04,,,,,,,,,,,,-0.55,,,,,-0.78,,,,,,,,,,,,,,,,<0.27,,,,,,,,,,Yelland
7376,,ROE10c,Roederer+2010c,BD+19 1185,HD 250792,,,,,,,,,06:03:14.8636,+19:21:38.696,,,,,9.89,9.898,9.31,8.954,8.547,8.001,7.695,7.583,,,-1.09,,,,,,,,,,,,,,,,,,,,,,,,,3.38,,,,,,,0.85,,,,,,,,,,,,0.06,,,,,-0.23,,,,,,,,,,,,,,,,0.77,,,,,,,,,,Yelland
7377,,ROE10c,Roederer+2010c,BD+29 2356,BD+29 2356,,,,,,SS,Helmi,RG,13:01:52.4291,+29:11:17.936,,,,,,12.27,11.5,,,9.646,9.116,9.049,,,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,3.05,,,,,,,0.52,,,,,,,,,,,,-0.47,,,,,-0.69,,,,,,,,,,,,,,,,0.35,,,,,,,,,,Yelland
7378,,ROE10c,Roederer+2010c,BD+30 2611,BD+30 2611,,,,,,SS,Helmi,,15:06:53.8282,+30:00:36.941,,,,,11.5,10.37,9.13,,,6.882,6.203,6.094,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,0.41,,,,,,,,,,,,-0.24,,,,,-0.36,,,,,,,,,,,,,,,,0.56,,,,,,,,,,Yelland
7379,,ROE10c,Roederer+2010c,BD+52 1601,HD 233891,,,,,,,,,11:59:59.0578,+51:46:17.597,,,,,,9.63,8.82,,,7.159,6.694,6.607,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,0.71,,,,,,,,,,,,-0.13,,,,,-0.51,,,,,,,,,,,,,,,,<0.6,,,,,,,,,,Yelland
7380,,ROE10c,Roederer+2010c,BS 16477-003,BPS BS 16477-0003,,,,,,,,,14:32:56.9231,+06:46:06.974,,,,,,14.94,14.22,13.727,13.224,12.518,12.093,11.941,,,-3.36,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7381,,ROE10c,Roederer+2010c,BS 17569-049,BPS BS 17569-0049,,,,,,,,,22:04:58.3605,+04:01:32.135,,,,,14.503,14.263,13.126,13.122,12.259,11.503,10.92,10.853,,,-2.88,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,-0.63,,,,,,,,,,,,-1.4,,,,,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,Yelland
7382,,ROE10c,Roederer+2010c,CD-36 1052,CD-36 1052,,,,,,SS,Helmi,HB,02:47:37.4429,-36:06:27.032,,,,,,10.426,9.982,9.818,9.37,8.849,8.586,8.512,,,-1.79,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,0.34,,,,,,,,,,,,-0.4,,,,,-0.82,,,,,,,,,,,,,,,,<2.47,,,,,,,,,,Yelland
