Name,Species,N,l_logepsX,logepsX,e_logepsX,l_[X/Fe]_LTE,[X/Fe]_LTE,l_[X/Fe]_NLTE,[X/Fe]_NLTE,e_[X/Fe]
J1202-0020,Li I,1,,2.08,0.09,,,,2.02,0.09
J1202-0020,C-H,,<,6.50,,<,+1.03,,,
J1202-0020,C-N,,<,8.00,,<,+3.13,,,
J1202-0020,O I,1,<,7.50,,<,+1.77,,,
J1202-0020,Na I,2,,3.61,0.08,,+0.33,,+0.10,0.04
J1202-0020,Mg I,5,,4.90,0.09,,+0.26,,+0.33,0.06
J1202-0020,Al I,2,,3.05,0.08,,-0.44,,+0.16,0.05
J1202-0020,Si I,1,,4.83,0.10,,+0.28,,,0.07
J1202-0020,Ca I,7,,3.80,0.10,,+0.42,,,0.10
J1202-0020,Sc II,1,,0.59,0.11,,+0.40,,,0.15
J1202-0020,Ti II,10,,2.54,0.08,,+0.55,,,0.13
J1202-0020,V II,3,<,2.30,,<,+1.33,,,
J1202-0020,Cr I,3,,2.62,0.11,,-0.06,,+0.29,0.05
J1202-0020,Mn I,3,,1.97,0.11,,-0.50,,-0.20,0.08
J1202-0020,Fe I,43,,4.50,0.09,,-3.00,,-2.96,0.09
J1202-0020,Fe II,2,,4.70,0.14,,-2.80,,,0.14
J1202-0020,Co I,2,<,2.90,,<,+0.87,,,
J1202-0020,Ni I,3,,3.33,0.11,,+0.07,,,0.05
J1202-0020,Zn I,1,<,2.90,,<,+1.30,,,
J1202-0020,Sr II,2,,0.16,0.10,,+0.25,,+0.25,0.15
J1202-0020,Ba II,2,<,-1.20,,<,-0.42,,,
J1202-0020,Eu II,3,<,-0.40,,<,+2.04,,,
J1208+0024,Li I,1,,2.11,0.11,,,,2.08,0.11
J1208+0024,C-H,,<,6.50,,<,+0.96,,,
J1208+0024,C-N,,<,8.10,,<,+3.16,,,
J1208+0024,O I,1,<,7.30,,<,+1.50,,,
J1208+0024,Na I,2,,3.46,0.08,,+0.11,,-0.08,0.05
J1208+0024,Mg I,4,,4.91,0.09,,+0.20,,+0.27,0.07
J1208+0024,Al I,2,,2.92,0.08,,-0.64,,-0.04,0.06
J1208+0024,Si I,1,,4.85,0.11,,+0.23,,,0.07
J1208+0024,Ca I,6,,3.85,0.09,,+0.40,,,0.10
J1208+0024,Sc II,1,,0.47,0.11,,+0.21,,,0.13
J1208+0024,Ti II,9,,2.43,0.08,,+0.37,,,0.12
J1208+0024,V II,3,<,2.30,,<,+1.26,,,
J1208+0024,Cr I,3,,2.54,0.10,,-0.21,,+0.14,0.05
J1208+0024,Mn I,3,,1.99,0.12,,-0.55,,-0.25,0.10
J1208+0024,Fe I,48,,4.57,0.09,,-2.93,,-2.89,0.09
J1208+0024,Fe II,3,,4.68,0.14,,-2.82,,,0.14
J1208+0024,Co I,2,<,2.80,,<,+0.70,,,
J1208+0024,Ni I,3,,3.38,0.12,,+0.05,,,0.06
J1208+0024,Zn I,1,<,2.90,,<,+1.23,,,
J1208+0024,Sr II,2,,0.18,0.10,,+0.20,,+0.20,0.15
J1208+0024,Ba II,2,<,-1.05,,<,-0.34,,,
J1208+0024,Eu II,3,<,-0.30,,<,+2.07,,,
