StarID,Species,[X/Fe],e_[X/Fe]
432,[O I/Fe II],0.14,
432,Ce II,0.03,
432,Mg I,-0.05,0.12
432,V I,,
432,Co I,-0.34,0.19
432,La II,0.20,0.18
432,Zn I,-0.26,
432,[Fe II/Fe I],0.06,0.17
432,Ti I,-0.12,0.14
432,Ba II,0.19,
432,Si I,0.00,0.21
432,Sc II,-0.30,
432,Y II,-0.53,0.16
432,Ca I,0.01,0.14
432,Cu I,-1.03,
432,Ni I,-0.45,0.12
432,Cr II,,
432,Al I,,
432,S I,,
432,[Fe I/H],-0.89,0.12
432,Na I,,
432,Mn I,-0.30,
432,Nd II,0.17,0.25
628,La II,0.88,0.11
628,[Fe I/H],-0.28,0.13
628,Al I,,
628,Ti I,-0.30,0.20
628,Mn I,-0.28,
628,Ba II,0.41,
628,Si I,0.03,0.16
628,Ni I,-0.36,0.15
628,Sc II,-0.70,
628,Y II,-0.24,0.19
628,Ca I,-0.25,0.20
628,[O I/Fe II],-0.10,
628,Cu I,-0.87,
628,S I,,
628,Zn I,,
628,Co I,-0.49,0.14
628,V I,-0.37,0.21
628,Na I,-0.24,0.15
628,Nd II,0.40,0.23
628,[Fe II/Fe I],0.01,0.17
628,Mg I,-0.14,0.18
628,Ce II,0.27,0.11
628,Cr II,,
635,Ti I,-0.53,0.18
635,Ni I,-0.45,0.19
635,Y II,-0.29,0.18
635,Si I,-0.07,0.16
635,Cr II,-0.05,
635,Mn I,-0.43,
635,[Fe II/Fe I],0.05,0.21
635,Ba II,-0.04,
635,[O I/Fe II],-0.08,
635,Ce II,0.21,0.19
635,Nd II,0.15,0.24
635,Ca I,-0.20,0.15
635,Cu I,-0.80,
635,V I,-0.58,0.14
635,Na I,-0.57,0.12
635,Zn I,,
635,[Fe I/H],-0.36,0.12
635,S I,,
635,Mg I,-0.12,0.18
635,La II,0.34,0.30
635,Al I,,
635,Co I,-0.54,0.18
635,Sc II,-0.41,
656,S I,,
656,Ca I,-0.03,0.22
656,Na I,-0.22,0.14
656,Zn I,-0.31,
