Name,Species,logepsX_sun,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe]
M30-D,Fe I,7.52,,-2.30,0.01,,,
M30-D,Fe II,7.52,,-2.32,0.04,,,
M30-D,O I,8.83,,,,,+0.26,0.11
M30-D,Na I,6.33,,,,,+0.27,0.08
M30-D,Mg I,7.58,,,,,+0.52,0.09
M30-D,Al I,6.47,,,,,+1.13,0.08
M30-D,Si I,7.55,,,,,+0.50,0.11
M30-D,Ca I,6.36,,,,,+0.36,0.04
M30-D,Sc II,3.10,,,,,-0.14,0.11
M30-D,Ti I,4.99,,,,,+0.15,0.05
M30-D,Ti II,4.99,,,,,+0.23,0.09
M30-D,Cr I,5.67,,,,,-0.25,0.08
M30-D,Mn I,5.39,,,,,-0.45,0.10
M30-D,Co I,4.92,,,,,+0.18,0.11
M30-D,Ni I,6.25,,,,,+0.01,0.11
M30-D,Cu I,4.21,,,,,-0.68,0.11
M30-D,Zn I,4.60,,,,,+0.14,0.11
M30-D,Y II,2.24,,,,,-0.39,0.06
M30-D,Ba II,2.13,,,,,-0.29,0.11
M30-D,Nd II,1.50,,,,,-0.11,0.08
M30-D,La II,1.22,,,,,-0.14,0.17
M30-D,Eu II,0.51,,,,,+0.24,0.11
M68-53,Fe I,7.52,,-2.21,0.02,,,
M68-53,Fe II,7.52,,-2.24,0.04,,,
M68-53,O I,8.83,,,,,+0.19,0.10
M68-53,Na I,6.33,,,,,+0.21,0.10
M68-53,Mg I,7.58,,,,,+0.50,0.11
M68-53,Al I,6.47,,,,,,
M68-53,Si I,7.55,,,,,+0.66,0.13
M68-53,Ca I,6.36,,,,,+0.29,0.05
M68-53,Sc II,3.10,,,,,-0.02,0.14
M68-53,Ti I,4.99,,,,,+0.08,0.05
M68-53,Ti II,4.99,,,,,+0.14,0.07
M68-53,Cr I,5.67,,,,,-0.32,0.10
M68-53,Mn I,5.39,,,,,-0.48,0.10
M68-53,Co I,4.92,,,,,+0.18,0.14
M68-53,Ni I,6.25,,,,,-0.04,0.14
M68-53,Cu I,4.21,,,,,-0.78,0.14
M68-53,Zn I,4.60,,,,,-0.09,0.14
M68-53,Y II,2.24,,,,,-0.65,0.07
M68-53,Ba II,2.13,,,,,-0.29,0.08
M68-53,Nd II,1.50,,,,,-0.10,0.10
