Name,Species,D_Teff,D_logg,D_Vmic,D_[Fe/H],e_tot
M68-6023,Fe I,+0.09,0.00,-0.05,0.01,0.10
M68-6023,Fe II,-0.02,-0.02,-0.05,-0.01,0.06
M68-6023,CH,+0.05,-0.04,0.00,0.00,0.06
M68-6023,Na I,+0.08,+0.01,-0.03,0.01,0.09
M68-6023,Mg I,+0.08,+0.02,-0.03,0.01,0.09
M68-6023,Ca I,+0.08,+0.01,-0.04,0.01,0.09
M68-6023,Sc II,+0.02,-0.01,-0.05,-0.01,0.06
M68-6023,Ti I,+0.09,+0.01,-0.04,0.01,0.10
M68-6023,Ti II,+0.02,-0.01,-0.05,-0.01,0.06
M68-6023,V I,+0.06,0.00,-0.03,0.01,0.07
M68-6023,Cr I,+0.10,+0.01,-0.05,0.01,0.11
M68-6023,Mn I,+0.10,0.00,-0.07,0.01,0.12
M68-6023,Co I,+0.10,+0.01,-0.08,0.01,0.13
M68-6023,Ni I,+0.09,+0.01,-0.05,0.01,0.11
M68-6023,Zn I,+0.01,0.00,-0.02,0.00,0.02
M68-6023,Sr II,+0.04,-0.01,-0.08,0.01,0.09
M68-6023,Y II,+0.02,-0.01,-0.03,-0.01,0.04
M68-6023,Zr II,+0.02,-0.02,-0.02,-0.01,0.03
M68-6023,Ba II,+0.04,-0.02,-0.09,-0.01,0.10
M68-6023,Eu II,+0.03,-0.02,-0.09,-0.01,0.10
