Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],e_[X/H],l_[X/Fe],[X/Fe],e_[X/Fe],D_Teff,D_logg,D_Vmic,D_M/H,e_logepsX
CetII-J0117,C-H,4,,+5.85,,-2.61,0.18,,-0.31,0.18,0.29,-0.08,0.01,0.10,0.10
CetII-J0117,Na I,2,,+4.02,,-2.12,0.26,,+0.17,0.25,0.26,-0.08,-0.14,-0.03,0.00
CetII-J0117,Mg I,4,,+5.69,,-1.93,0.17,,+0.36,0.18,0.15,-0.07,-0.07,0.00,0.18
CetII-J0117,Al I,2,,+3.79,,-2.63,0.42,,-0.33,0.41,0.25,-0.11,-0.11,-0.01,0.46
CetII-J0117,Si I,3,,+5.86,,-1.71,0.24,,+0.59,0.24,0.18,-0.03,-0.06,-0.00,0.28
CetII-J0117,K I,2,,+3.50,,-1.49,0.26,,+0.81,0.25,0.19,-0.03,-0.09,-0.02,0.09
CetII-J0117,Ca I,20,,+4.38,,-2.03,0.10,,+0.23,0.11,0.15,-0.03,-0.06,-0.01,0.11
CetII-J0117,Sc II,6,,+0.61,,-2.61,0.19,,-0.31,0.19,0.04,0.09,-0.07,0.03,0.10
CetII-J0117,Ti I,14,,+2.64,,-2.52,0.23,,-0.23,0.22,0.25,-0.03,-0.05,-0.02,0.23
CetII-J0117,Ti II,23,,+2.93,,-2.23,0.17,,+0.06,0.18,0.06,0.10,-0.11,0.04,0.28
CetII-J0117,V I,2,,+1.64,,-2.30,0.19,,-0.01,0.18,0.17,-0.02,-0.01,-0.04,0.00
CetII-J0117,V II,3,,+1.98,,-1.93,0.17,,+0.37,0.18,-0.02,0.12,-0.02,0.03,0.00
CetII-J0117,Cr I,9,,+3.13,,-2.59,0.14,,-0.30,0.14,0.24,-0.03,-0.08,-0.02,0.08
CetII-J0117,Cr II,2,,+3.29,,-2.36,0.12,,-0.07,0.13,-0.03,0.11,-0.02,0.02,0.00
CetII-J0117,Mn I,5,,+2.97,,-2.48,0.23,,-0.18,0.22,0.20,-0.02,-0.08,-0.04,0.10
CetII-J0117,Fe I,95,,+5.21,,-2.29,0.08,,,,0.07,-0.01,0.04,0.01,0.24
CetII-J0117,Fe II,7,,+5.39,,-2.22,0.15,,,,-0.01,0.12,0.01,0.03,0.10
CetII-J0117,Co I,4,,+2.73,,-2.37,0.32,,-0.07,0.31,0.25,0.00,-0.11,-0.04,0.00
CetII-J0117,Ni I,12,,+4.12,,-2.19,0.13,,+0.09,0.13,0.17,-0.01,-0.04,-0.01,0.17
CetII-J0117,Zn I,1,,+2.27,,-2.29,0.15,,+0.01,0.15,0.06,0.07,-0.02,0.02,0.00
CetII-J0117,Sr II,1,,-1.52,,-4.39,0.43,,-2.10,0.43,0.07,0.12,-0.18,0.01,0.00
CetII-J0117,Ba II,1,,-2.34,,-4.52,0.39,,-2.23,0.39,0.09,0.10,0.01,0.09,0.10
CetII-J0117,Eu II,1,<,-1.92,<,-2.44,,<,-0.33,,,,,,
