Table 5 
Abundance Uncertainties Due to Atmospheric Parameters


			DeltaT ${}_{\mathrm{eff}}$(K)	Delta$\mathrm{log}g$	Deltav ${}_{t}$	Delta[M/H]		
Star	[X/Fe]	sigma ^a	+100 K	+0.3 dex	+0.2 km s^-1	-0.25 dex	Total	
SMSS J055746.51-575057.4	C I	0.02	+0.09	-0.08	+0.04	-0.06	+0.14	
T ${}_{\mathrm{eff}}$ = 5404 K	Na I	0.03	+0.02	-0.08	-0.02	-0.01	+0.09	
$\mathrm{log}g$ = 3.05	Mg I	0.03	-0.01	-0.05	+0.03	+0.00	+0.07	
[Fe/H] = -2.50	Al I	0.20	+0.01	+0.00	+0.00	+0.00	+0.20	
v ${}_{t}$ = 1.45 km s^-1	Si I	0.20	+0.05	-0.12	+0.02	-0.02	+0.24	
	Ca I	0.03	-0.04	+0.00	+0.01	-0.01	+0.05	
	Sc II	0.07	-0.05	+0.12	-0.01	-0.01	+0.15	
	Ti I	0.03	+0.01	+0.01	+0.02	+0.01	+0.04	
	Ti II	0.02	-0.06	+0.11	-0.03	-0.01	+0.13	
	Cr I	0.04	+0.01	-0.01	-0.03	+0.00	+0.05	
	Mn I	0.06	+0.04	-0.03	-0.09	+0.00	+0.12	
	Fe I ^b	0.01	+0.10	-0.02	-0.04	-0.01	+0.11	
	Fe II ^b	0.03	+0.01	+0.12	-0.03	-0.02	+0.13	
	Co I	0.04	+0.02	+0.01	-0.02	+0.00	+0.05	
	Ni I	0.04	+0.01	-0.01	-0.05	+0.00	+0.07	
	Zn I	0.20	-0.06	+0.08	+0.03	+0.00	+0.23	
	Sr II	0.04	+0.00	+0.02	-0.07	-0.01	+0.08	
	Ba II	0.10	-0.03	+0.10	-0.06	-0.01	+0.16	
	Eu II	0.20	-0.07	+0.11	+0.05	+0.01	+0.24	
SMSS J004037.56-515025.2	C I	0.13	+0.20	-0.09	+0.00	-0.02	+0.26	
T ${}_{\mathrm{eff}}$ = 4468 K	Na I	0.11	+0.00	+0.01	-0.04	+0.00	+0.12	
$\mathrm{log}g$ = 0.55	Mg I	0.04	-0.02	-0.05	-0.05	+0.01	+0.08	
[Fe/H] = -3.83	Al I	0.20	-0.01	-0.07	-0.07	+0.00	+0.22	
v ${}_{t}$ = 2.45 km s^-1	Si I	0.20	+0.00	+0.01	+0.01	-0.01	+0.20	
	Ca I	0.02	-0.05	+0.02	+0.02	-0.01	+0.06	
	Sc II	0.20	-0.04	+0.11	+0.00	-0.01	+0.23	
	Ti I	0.04	+0.01	+0.01	+0.03	+0.00	+0.05	
	Ti II	0.02	-0.05	+0.12	+0.00	+0.00	+0.13	
	Cr I	0.03	+0.02	-0.03	-0.04	+0.00	+0.06	
	Mn I	0.16	+0.03	-0.01	+0.00	+0.00	+0.16	
	Fe I ^b	0.01	+0.13	-0.05	-0.03	-0.01	+0.14	
	Fe II ^b	0.03	+0.04	+0.09	-0.01	+0.00	+0.10	
	Co I	0.03	+0.02	-0.02	-0.02	+0.00	+0.05	
	Ni I	0.04	+0.01	-0.03	-0.05	+0.00	+0.07	
	Zn I	0.20	-0.07	+0.09	+0.03	-0.01	+0.23	
	Sr II	0.03	-0.02	+0.09	-0.07	+0.02	+0.12	
	Ba II	0.13	-0.03	+0.11	+0.00	-0.01	+0.17	
	Eu II	0.20	-0.14	+0.07	+0.03	-0.02	+0.26	
^a The standard error of the mean of individual line element abundances.
^b These values are [X/H] ratios.
