Found, Query_ID        , RA_input, DEC_input, MAIN_ID                , RA           , DEC          , RA_PREC, DEC_PREC, COO_ERR_MAJA, COO_ERR_MINA, COO_ERR_ANGLE, COO_QUAL, COO_WAVELENGTH, COO_BIBCODE        , FLUX_U, FLUX_B, FLUX_V, FLUX_R, FLUX_I, FLUX_J, FLUX_H, FLUX_K, OTYPE     , SP_TYPE, RA_2         , DEC_2        , PMRA   , PMDEC   , PLX_VALUE, RV_VALUE , SCRIPT_NUMBER_ID
True , BPS CS 22957-022,         ,          , BPS CS 22957-0022      , 00 01 45.4879, -05 49 46.650,      14,       14,       0.0143,       0.0116,            90, A       , O             , 2020yCat.1350....0G,       , 13.95 , 13.34 ,       ,       , 11.809, 11.391, 11.313, ChemPec*  ,        , 00 01 45.4879, -05 49 46.650, 8.261  , -26.429 ,    0.2921, -31.6    ,                1
True , BPS CS 22963-004,         ,          , BPS CS 22963-0004      , 02 56 46.5715, -04 51 17.421,      14,       14,       0.0224,       0.0196,            90, A       , O             , 2020yCat.1350....0G,       , 15.51 , 14.98 ,       ,       , 13.632, 13.236, 13.2  , ChemPec*  ,        , 02 56 46.5715, -04 51 17.421, 21.583 , -2.716  ,    0.182 , 292.4    ,                1
True , BPS CS 31078-018,         ,          , BPS CS 31079-0028      , 03 01 00.6866, +06 16 31.808,      14,       14,       0.0132,       0.0113,            90, A       , O             , 2020yCat.1350....0G,       , 13.9  , 13.211, 12.713, 12.19 , 11.496, 11.071, 10.999, ChemPec*  ,        , 03 01 00.6866, +06 16 31.808, 17.208 , -10.266 ,    0.6778, 81.74    ,                1
True , BPS BS 16928-053,         ,          , BPS BS 16928-0053      , 12 22 28.0240, +34 11 31.690,      14,       14,       0.009 ,       0.0105,            90, A       , O             , 2020yCat.1350....0G,       , 14.38 , 13.54 , 12.886, 12.339, 11.655, 11.144, 11.042, ChemPec*  ,        , 12 22 28.0240, +34 11 31.690, 0.612  , -3.623  ,    0.103 , -82.0    ,                1
True , BPS BS 16929-005,         ,          , BPS BS 16929-0005      , 13 03 29.4751, +33 51 09.242,      14,       14,       0.0122,       0.0071,            90, A       , O             , 2020yCat.1350....0G, 14.109, 14.228, 13.61 , 13.208, 12.766, 12.172, 11.751, 11.669, ChemPec*  , CEMP-no, 13 03 29.4751, +33 51 09.242, -10.952, -4.114  ,    0.3213, -49.0    ,                1
True , BPS CS 30325-028,         ,          , 2MASS J15051979+0617069, 15 05 19.8064, +06 17 06.933,      14,       14,       0.0135,       0.0129,            90, A       , O             , 2020yCat.1350....0G,       , 13.64 , 12.88 , 12.387, 11.893, 11.195, 10.681, 10.619, ChemPec*  , CEMP   , 15 05 19.8064, +06 17 06.933, -11.4  , 3.92    ,    0.2508, -158.0   ,                1
True , BPS CS 30312-059,         ,          , BPS CS 30312-0059      , 15 34 48.8386, -01 23 37.343,      14,       14,       0.0154,       0.013 ,            90, A       , O             , 2020yCat.1350....0G,       , 13.85 , 13.14 , 12.596, 12.065, 11.289, 10.813, 10.696, ChemPec*  ,        , 15 34 48.8386, -01 23 37.343, -21.559, -11.974 ,    0.2802, -152.21  ,                1
True , BPS CS 22884-108,         ,          , BPS CS 22884-0108      , 15 49 57.5787, -09 14 09.211,      14,       14,       0.0184,       0.012 ,            90, A       , O             , 2020yCat.1350....0G,       , 14.74 , 14.24 ,       ,       , 12.996, 12.679, 12.588, ChemPec*  ,        , 15 49 57.5787, -09 14 09.211, -17.556, -6.671  ,    1.2514, -27.0    ,                1
True , BPS BS 16084-160,         ,          , BPS BS 16084-0160      , 16 28 50.7923, +54 37 06.886,      14,       14,       0.0126,       0.0142,            90, A       , O             , 2020yCat.1350....0G,       , 13.94 , 13.12 , 12.63 , 12.103, 11.345, 10.838, 10.747, ChemPec*  ,        , 16 28 50.7923, +54 37 06.886, -1.551 , 1.913   ,    0.0911, -132.32  ,                1
True , BPS BS 16080-054,         ,          , 2MASS J16391853+6057426, 16 39 18.5345, +60 57 42.547,      14,       14,       0.0106,       0.0103,            90, A       , O             , 2020yCat.1350....0G,       , 13.5  , 12.79 ,       , 11.786, 11.097, 10.632, 10.508, ChemPec*  ,        , 16 39 18.5345, +60 57 42.547, -3.365 , 7.402   ,    0.197 , -120.3335,                1
