Star,[FeI/H],[FeII/H],logeps(La/Eu),logeps(La II),logeps(Eu II)
HD 018768,-0.65,-0.71,0.52,0.45,-0.07
HD 022879,-0.91,-1.03,0.51,0.21,-0.3
HD 030649,-0.59,-0.714,0.38,0.38,0
HD 038007,-0.4,-0.49,0.52,0.55,0.03
HD 062301,-0.71,-0.77,0.51,0.44,-0.07
HD 078558,-0.49,-0.61,0.34,0.49,0.15
HD 091347,-0.55,-0.66,0.56,0.45,-0.11
HD 114762,-0.75,-0.8,0.44,0.2,-0.24
HD 126512,-0.63,-0.66,0.36,0.42,0.06
HD 159307,-0.76,-0.85,0.62,0.44,-0.18
HD 184499,-0.72,-0.67,0.39,0.38,-0.01
HD 208906,-0.75,-0.82,0.54,0.3,-0.24
HD 221830,-0.56,-0.63,0.38,0.64,0.26
HR 0033,-0.45,-0.56,0.59,0.65,0.06
HR 0219,-0.36,-0.44,0.67,0.82,0.15
HR 0235,-0.28,-0.44,0.7,0.9,0.2
HR 0244,-0.13,-0.29,0.75,0.93,0.18
HR 0366,-0.4,-0.51,0.68,0.82,0.14
HR 0368,-0.31,-0.41,0.63,0.84,0.21
HR 0448,0,-0.14,0.46,0.67,0.21
HR 0458,0.03,-0.08,0.59,0.93,0.34
HR 0483,-0.11,-0.23,0.61,0.91,0.3
HR 0646,-0.35,-0.41,0.73,0.92,0.19
HR 0672,-0.06,-0.23,0.59,0.89,0.3
HR 0720,-0.25,-0.32,0.6,0.71,0.11
HR 0740,-0.32,-0.43,0.65,0.84,0.19
HR 0784,-0.02,-0.11,0.67,1.05,0.38
HR 0962,0.04,-0.05,0.59,0.99,0.4
HR 1101,-0.15,-0.24,0.58,0.82,0.24
HR 1489,-0.03,-0.16,0.58,0.94,0.36
HR 1536,0.04,-0.1,0.44,0.84,0.4
HR 1545,-0.48,-0.67,0.64,0.72,0.08
HR 1673,-0.43,-0.41,0.69,0.82,0.13
HR 1729,-0.14,-0.29,0.57,0.89,0.32
HR 1983,-0.11,-0.19,0.53,0.96,0.43
HR 2047,-0.05,-0.11,0.72,1.13,0.41
HR 2220,-0.05,-0.19,0.66,1.07,0.41
HR 2233,-0.25,-0.37,0.49,0.85,0.36
HR 2493,-0.51,-0.67,0.45,0.47,0.02
HR 2530,-0.49,-0.6,0.44,0.56,0.12
HR 2601,-0.61,-0.7,0.71,0.71,0
HR 2721,-0.33,-0.42,0.51,0.82,0.31
HR 2835,-0.61,-0.7,0.51,0.44,-0.07
HR 2883,-0.77,-0.83,0.41,0.38,-0.03
HR 2906,-0.18,-0.21,,0.92,
HR 2943,-0.11,-0.24,0.51,0.84,0.33
HR 3018,-0.82,-0.91,0.39,0.36,-0.03
HR 3262,-0.27,-0.32,0.51,0.83,0.32
HR 3271,0.02,-0.07,0.42,0.92,0.5
HR 3538,0.04,-0.36,0.59,0.89,0.3
HR 3578,-0.89,-1,0.39,0.36,-0.03
HR 3648,-0.11,-0.17,0.58,0.81,0.23
HR 3775,-0.22,-0.28,0.62,0.98,0.36
HR 3881,0,-0.08,0.51,0.92,0.41
HR 3951,-0.05,-0.24,0.59,0.85,0.26
HR 4039,-0.49,-0.64,0.58,0.66,0.08
HR 4067,0.11,0,0.49,1.06,0.57
HR 4158,-0.3,-0.4,0.44,0.68,0.24
HR 4277,-0.02,-0.09,0.49,0.88,0.39
HR 4533,0.12,-0.04,0.47,0.87,0.4
HR 4540,0.05,-0.07,0.49,0.9,0.41
HR 4657,-0.76,-0.87,0.29,0.24,-0.05
HR 4785,-0.21,-0.27,0.54,0.79,0.25
HR 4845,-0.73,-0.91,0.42,0.17,-0.25
HR 4983,-0.05,-0.16,0.54,0.9,0.36
HR 5011,0.03,-0.08,0.52,1.01,0.49
HR 5019,-0.13,-0.26,0.39,0.67,0.28
HR 5235,0.15,-0.41,0.54,1,0.46
HR 5447,-0.47,-0.56,0.68,0.79,0.11
HR 5723,-0.19,-0.29,0.81,0.96,0.15
HR 5914,-0.48,-0.48,0.44,0.57,0.13
HR 5933,-0.2,-0.27,0.74,0.9,0.16
HR 6458,-0.43,-0.48,0.34,0.57,0.23
HR 7061,-0.16,-0.24,,0.99,
HR 8354,-0.68,-0.73,0.54,0.42,-0.12
HR 8969,-0.26,-0.39,0.47,0.89,0.42
