ID   , Other ID, V_0  , (b-y)_0, Fe/H , T_eff, logg, Vmic, SNR
12175,         , 18.53,    0.78, -3.17,  4370, 0.78, 2.17,  35
42241, Her-2   , 18.53,    0.78, -2.03,  4270, 0.78, 2.17,  36
41082, Her-3   , 18.86,    0.74,      ,  4340, 0.97, 2.10,  23
42149,         , 19.01,    0.66, -2.95,  4540, 1.06, 2.07,  25
41743,         , 19.25,    0.66, -2.42,  4520, 1.19, 2.02,  24
42795,         , 19.32,    0.63, -3.17,  4620, 1.22, 2.01,  23
40789,         , 19.33,    0.63, -2.88,  4600, 1.24, 2.00,  20
41460,         , 19.40,    0.64, -3.10,  4590, 1.27, 1.99,  21
42096,         , 19.40,    0.62, -2.60,  4620, 1.27, 1.99,  20
40993,         , 19.53,    0.63, -2.38,  4600, 1.33, 1.97,  20
42324,         , 19.53,    0.57, -2.70,  4740, 1.33, 1.97,  13
12729,         , 19.65,    0.63, -2.35,  4640, 1.40, 1.94,  12
