Name,I/O,Simbad_Identifier,System,Slit,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg
10_7_442,0,[CSF2018] 10-7-442,Sculptor,1.0,MagE,,RGB,01:00:50.35,-33:52:15.67,15.209808333333333,-33.87101944444444,4752,1.61
10_7_486,0,[CSF2018] 10-7-486,Sculptor,0.7,MagE,,CEMP-s,01:00:45.42,-33:52:14.68,15.189229166666667,-33.87074444444445,4523,1.05
10_7_790,1,[CSF2018] 10-7-790,Sculptor,0.7,MagE,,,01:00:12.64,-33:53:09.36,15.052654166666667,-33.885933333333334,4574,1.23
10_7_923,0,[CSF2018] 10-7-923,Sculptor,1.0,MagE,,RGB,01:00:01.12,-33:59:21.38,15.004679166666667,-33.989272222222226,4666,1.39
10_8_1226,1,[CSF2018] 10-8-1226,Sculptor,1.0,MagE,,,01:00:42.96,-33:47:06.35,15.1789875,-33.78509722222222,4685,1.47
10_8_1566,0,[CSF2018] 10-8-1566,Sculptor,1.0,MagE,,RGB,01:00:33.94,-33:40:08.24,15.141420833333333,-33.668955555555556,4659,1.53
10_8_2714,1,[CSF2018] 10-8-2714,Sculptor,1.0,MagE,,,01:00:14.74,-33:51:18.29,15.061408333333333,-33.85508055555556,5328,3.02
10_8_3804,0,[CSF2018] 10-8-3804,Sculptor,1.0,MagE,,CEMP-s,00:59:58.91,-33:50:53.61,14.995445833333333,-33.848225,4752,1.62
10_8_3810,1,[CSF2018] 10-8-3810,Sculptor,1.0,MagE,,,00:59:58.64,-33:43:29.30,14.99435,-33.724805555555555,5199,2.69
10_8_3963,0,[CSF2018] 10-8-3963,Sculptor,0.7,MagE,,CEMP-s,00:59:56.17,-33:43:04.89,14.984029166666666,-33.718025000000004,4513,1.08
11_1_3334,0,[CSF2018] 11-1-3334,Sculptor,1.0,MagE,,CEMP-s,00:59:49.62,-33:40:41.78,14.9567375,-33.67827222222222,4721,1.62
11_1_4121,0,[CSF2018] 11-1-4121,Sculptor,0.7,MagE,,CEMP-s,00:59:41.05,-33:45:25.28,14.9210375,-33.757022222222226,4579,1.24
11_1_4296,0,[CSF2018] 11-1-4296,Sculptor,1.0,MagE,,RGB,00:59:38.75,-33:46:14.58,14.911454166666667,-33.770716666666665,4720,1.52
11_1_4422,0,[CSF2018] 11-1-4422,Sculptor,1.0,MagE,,RGB,00:59:36.61,-33:40:38.51,14.90255,-33.677363888888884,4810,1.75
11_1_4673,0,[CSF2018] 11-1-4673,Sculptor,1.0,MagE,,RGB,00:59:33.64,-33:49:10.10,14.890145833333333,-33.819472222222224,4570,1.21
11_1_6015,1,[CSF2018] 11-1-6015,Sculptor,1.0,MagE,,,00:59:10.25,-33:45:53.36,14.792725,-33.76482222222222,4824,1.87
11_1_6440,0,[CSF2018] 11-1-6440,Sculptor,0.7,MagE,,CEMP-s,00:59:00.13,-33:38:50.96,14.750533333333333,-33.64748888888889,4605,1.29
11_2_556,0,[CSF2018] 11-2-556,Sculptor,1.0,MagE,,,00:59:37.91,-33:55:26.68,14.90795,-33.924077777777775,4939,2.04
11_2_661,0,[CSF2018] 11-2-661,Sculptor,1.0,MagE,,RGB,00:59:25.63,-33:58:21.42,14.856795833333333,-33.97261666666667,4550,1.16
6_5_1035,0,[CSF2018] 6-5-1035,Sculptor,0.7,MagE,,RGB,01:00:19.33,-33:37:11.74,15.080554166666667,-33.619927777777775,4589,1.27
6_5_1598,0,[CSF2018] 6-5-1598,Sculptor,1.0,MagE,,RGB,00:59:59.09,-33:36:44.90,14.996220833333334,-33.61247222222222,4516,1.08
6_5_505,0,[CSF2018] 6-5-505,Sculptor,1.0,MagE,,CEMP-s,01:00:45.76,-33:38:34.83,15.190679166666667,-33.643008333333334,4706,1.57
6_6_402,1,[CSF2018] 6-6-402,Sculptor,1.0,MagE,,,01:00:00.39,-33:29:15.21,15.001633333333332,-33.48755833333333,4802,1.68
7_4_1992,1,[CSF2018] 7-4-1992,Sculptor,1.0,MagE,,,00:59:42.30,-33:35:47.28,14.926241666666666,-33.59646666666667,4769,1.66
7_4_2408,0,[CSF2018] 7-4-2408,Sculptor,1.0,MagE,,RGB,00:59:30.43,-33:36:05.23,14.876795833333333,-33.60145277777778,4524,1.06
7_4_3280,1,[CSF2018] 7-4-3280,Sculptor,0.7,MagE,,,00:58:37.07,-33:34:08.10,14.654479166666667,-33.56891666666667,5518,3.59
CS29497-034,0,BPS CS 29497-034,Sculptor,0.7,MagE,,,00:41:39.82,-26:18:54.46,10.4159155255559,-26.3151288747604,4900,1.50
