Name,I/O,Simbad_Identifier,System,Slit,Instrument,Ncap_key,Type,RA_hms,DEC_dms,RA_deg,DEC_deg,Teff,logg
10_7_442,1,[CSF2018] 10-7-442,Sculptor,,M2FS,,RGB,01:00:50.35,-33:52:15.67,15.209792,-33.871019,4723,1.62
10_7_486,1,[CSF2018] 10-7-486,Sculptor,,M2FS,S,CEMP-s,01:00:45.41,-33:52:14.68,15.189208,-33.870744,4509,1.14
10_7_570,1,[CSF2018] 10-7-570,Sculptor,,M2FS,,RGB,01:00:36.41,-33:52:19.54,15.151708,-33.872094,4805,1.81
10_7_923,1,[CSF2018] 10-7-923,Sculptor,,M2FS,,RGB,01:00:01.12,-33:59:21.38,15.004667,-33.989272,4641,1.4
10_8_1062,1,[CSF2018] 10-8-1062,Sculptor,,M2FS,,RGB,01:00:48.14,-33:42:13.32,15.200583,-33.7037,4859,1.93
10_8_1072,1,[CSF2018] 10-8-1072,Sculptor,,M2FS,,RGB,01:00:47.83,-33:41:03.17,15.199292,-33.684214,4581,1.3
10_8_1124,1,[CSF2018] 10-8-1124,Sculptor,,M2FS,,RGB,01:00:46.21,-33:42:34.03,15.192542,-33.709453,4539,1.21
10_8_1308,1,[CSF2018] 10-8-1308,Sculptor,,M2FS,,RGB,01:00:40.35,-33:44:14.23,15.168125,-33.737286,4603,1.36
10_8_1325,1,[CSF2018] 10-8-1325,Sculptor,,M2FS,,RGB,01:00:39.72,-33:39:12.42,15.1655,-33.65345,4870,2.03
10_8_1366,1,[CSF2018] 10-8-1366,Sculptor,,M2FS,,Blueward_of_RGB,01:00:38.71,-33:43:16.58,15.161292,-33.721272,5227,2.81
10_8_1463,1,[CSF2018] 10-8-1463,Sculptor,,M2FS,,RGB,01:00:36.46,-33:50:26.67,15.151917,-33.840742,4871,1.96
10_8_1566,1,[CSF2018] 10-8-1566,Sculptor,,M2FS,,RGB,01:00:33.94,-33:40:08.24,15.141417,-33.668956,4486,1.04
10_8_1615,1,[CSF2018] 10-8-1615,Sculptor,,M2FS,,Blueward_of_RGB,01:00:33.05,-33:43:02.26,15.137708,-33.717294,5151,2.61
10_8_1640,1,[CSF2018] 10-8-1640,Sculptor,,M2FS,,RGB,01:00:32.68,-33:41:05.05,15.136167,-33.684736,4758,1.8
10_8_1731,1,[CSF2018] 10-8-1731,Sculptor,,M2FS,,RGB,01:00:31.00,-33:47:12.23,15.129167,-33.786731,4869,1.96
10_8_1877,1,[CSF2018] 10-8-1877,Sculptor,,M2FS,,RGB,01:00:28.63,-33:46:02.64,15.119292,-33.7674,4607,1.49
10_8_1887,1,[CSF2018] 10-8-1887,Sculptor,,M2FS,,RGB,01:00:28.43,-33:47:41.51,15.118458,-33.794864,4530,1.19
10_8_2028,1,[CSF2018] 10-8-2028,Sculptor,,M2FS,,RGB,01:00:25.95,-33:48:40.71,15.108125,-33.811308,4697,1.53
10_8_2126,1,[CSF2018] 10-8-2126,Sculptor,,M2FS,,RGB,01:00:24.07,-33:45:54.41,15.100292,-33.765114,4620,1.4
10_8_2134,1,[CSF2018] 10-8-2134,Sculptor,,M2FS,S,CEMP-s,01:00:23.71,-33:40:20.40,15.098792,-33.672333,4628,1.41
10_8_2148,1,[CSF2018] 10-8-2148,Sculptor,,M2FS,,RGB,01:00:23.49,-33:41:46.18,15.097875,-33.696161,4785,1.76
10_8_2211,1,[CSF2018] 10-8-2211,Sculptor,,M2FS,,RGB,01:00:22.74,-33:51:22.84,15.09475,-33.856344,4456,1.18
10_8_2558,1,[CSF2018] 10-8-2558,Sculptor,,M2FS,,RGB,01:00:17.03,-33:42:47.26,15.070958,-33.713128,4837,1.88
10_8_2635,1,[CSF2018] 10-8-2635,Sculptor,,M2FS,,RGB,01:00:15.87,-33:45:01.90,15.066125,-33.750528,4616,1.39
10_8_2647,1,[CSF2018] 10-8-2647,Sculptor,,M2FS,,RGB,01:00:15.67,-33:45:59.96,15.065292,-33.766656,4680,1.49
10_8_265,1,[CSF2018] 10-8-265,Sculptor,,M2FS,,RGB,01:01:27.22,-33:45:15.31,15.363417,-33.754253,4671,1.51
10_8_2669,1,[CSF2018] 10-8-2669,Sculptor,,M2FS,,RGB,01:00:15.26,-33:45:49.87,15.063583,-33.763853,4814,1.83
10_8_2730,1,[CSF2018] 10-8-2730,Sculptor,,M2FS,,RGB,01:00:14.49,-33:47:50.49,15.060375,-33.797358,4601,1.35
10_8_2818,1,[CSF2018] 10-8-2818,Sculptor,,M2FS,,RGB,01:00:12.95,-33:42:03.91,15.053958,-33.701086,4532,1.2
10_8_2824,1,[CSF2018] 10-8-2824,Sculptor,,M2FS,,RGB,01:00:12.77,-33:38:53.56,15.053208,-33.648211,4646,1.45
10_8_2908,1,[CSF2018] 10-8-2908,Sculptor,,M2FS,,RGB,01:00:11.72,-33:44:50.34,15.048833,-33.747317,4451,0.99
10_8_2927,1,[CSF2018] 10-8-2927,Sculptor,,M2FS,,RGB,01:00:11.30,-33:39:35.67,15.047083,-33.659908,4527,1.18
10_8_2933,1,[CSF2018] 10-8-2933,Sculptor,,M2FS,,RGB,01:00:11.19,-33:40:38.65,15.046625,-33.677403,4790,1.78
10_8_3045,1,[CSF2018] 10-8-3045,Sculptor,,M2FS,,Blueward_of_RGB,01:00:09.72,-33:47:00.79,15.0405,-33.783553,5100,2.49
10_8_3111,1,[CSF2018] 10-8-3111,Sculptor,,M2FS,,Blueward_of_RGB,01:00:08.86,-33:49:49.67,15.036917,-33.830464,5066,2.65
10_8_3167,1,[CSF2018] 10-8-3167,Sculptor,,M2FS,,RGB,01:00:07.86,-33:47:07.62,15.03275,-33.78545,4672,1.51
10_8_3188,1,[CSF2018] 10-8-3188,Sculptor,,M2FS,,Blueward_of_RGB,01:00:07.66,-33:49:46.99,15.031917,-33.829719,5394,3.32
10_8_320,1,[CSF2018] 10-8-320,Sculptor,,M2FS,,RGB,01:01:22.24,-33:46:21.81,15.342667,-33.772725,4493,1.1
