Name,Teff,e_Teff,logg,e_logg,Vmic,e_Vmic,M/H,e_M/H
LMC-003,4540,158,0.80,0.33,2.90,0.28,-2.97,0.20
LMC-007,,,,,,,,
LMC-008,,,,,,,,
LMC-100,4612,162,1.10,0.32,2.63,0.29,-2.67,0.22
LMC-101,,,,,,,,
LMC-104,4531,155,1.05,0.31,2.89,0.28,-2.56,0.21
LMC-109,4504,155,1.10,0.31,2.58,0.28,-2.85,0.20
LMC-116,,,,,,,,
LMC-119,4315,207,0.80,0.33,2.66,0.28,-4.15,0.20
LMC-124,4531,160,1.10,0.32,2.78,0.29,-2.97,0.21
LMC-202,,,,,,,,
LMC-204,4594,173,0.95,0.36,3.02,0.34,-2.83,0.27
LMC-206,4720,170,1.65,0.34,2.56,0.31,-2.56,0.24
LMC-207,4486,172,0.80,0.30,2.57,0.32,-3.34,0.25
LMC-215,4567,157,0.75,0.35,2.50,0.27,-3.09,0.17
LMC-217,,,,,,,,
LMC-319,4631,150,1.29,0.30,2.05,0.2,-2.69,0.24
LMC-323,4609,150,1.25,0.30,2.08,0.2,-2.10,0.32
LMC-400,4422,150,0.9,0.30,2.26,0.2,-2.85,0.28
LMC-402,4545,150,1.12,0.30,2.14,0.2,-3.20,0.25
LMC-403,4504,150,1.05,0.30,2.18,0.2,-2.55,0.36
LMC-404,4676,150,1.38,0.30,2.01,0.2,-2.42,0.32
LMC-405,4653,150,1.33,0.30,2.04,0.2,-2.50,0.31
LMC-406,4463,150,0.97,0.30,2.22,0.2,-2.22,0.41
LMC-407,4631,150,1.29,0.30,2.05,0.2,-2.01,0.42
LMC-409,4504,150,1.04,0.30,2.18,0.2,-2.63,0.21
LMC-410,4609,150,1.25,0.30,2.07,0.2,-2.64,0.36
LMC-411,4382,150,0.83,0.30,2.3,0.2,-2.79,0.17
LMC-413,4463,150,0.97,0.30,2.22,0.2,-2.37,0.44
LMC-414,4587,150,1.2,0.30,2.1,0.2,-2.30,0.22
LMC-416,4443,150,0.94,0.30,2.24,0.2,-2.48,0.22
