Name,RA_hms,DEC_dms,RA_deg,DEC_deg,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
LMC-003,04:53:37.090,-64:43:57.55,73.404542,-64.732653,Gaia DR3 4663120661281147904,73.40459795664,-64.7326413332,0.0,0.0,9.0,1636148068921376768,4663120661281147904,323634925,0.033,0.0381,-0.0312,0.0376,-0.8291,1.601,1.597,0.039,0.114,0.049,0.0474,0.1937,-0.0328,-0.1461,0.3157,-0.0377,-0.2277,0.1986,-0.2218,0.0358,359,0,358,1,-2.4063,305.17,0.0,0.0,31,false,1.453,,,,,,,,41,25,0.068847,89,0.01515,41.04,1,0,0.91,0,739,4994.31516,2.07738,2404.14,16.441177,0.002792,82,2125.16,7.90869,268.712,17.020063,0.00491,81,4116.61,7.59188,542.239,15.711545,0.004277,1.25,0,3,0,1,0,1.308518,0.578886,0.729632,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999985,5647.9,5600.8,5688.7,4.0497,4.0334,4.0727,-0.4452,-0.4943,-0.4045,2729.747,2588.7065,2828.005,1.1167,1.0901,1.139,0.8958,0.8736,0.9143,0.4843,0.4726,0.4945,PHOENIX,73.40458132898,-64.73264183799,0.633745,0.789799,0.0447,0.095694
LMC-100,04:33:47.361,-67:37:31.51,68.447338,-67.625419,Gaia DR3 4656601347599359744,68.4473362908,-67.62541815521,0.0,0.0,36.0,1636148068921376768,4656601347599359744,428424663,0.0466,0.0492,0.055,0.0456,1.2052,1.956,1.936,0.056,-0.283,0.065,0.1697,0.1326,-0.1572,-0.3837,4.0E-4,-0.335,-0.2775,0.233,-0.1003,0.1001,323,0,323,0,0.4559,343.93,0.124,0.64933,31,false,1.456,,,,,,,,38,26,0.095467,42,0.01514,39.72,0,0,1.017,0,332,3649.32304,2.14864,1698.44,16.781836,0.002829,39,1567.74,7.46086,210.129,17.350357,0.005872,38,2951.71,8.62956,342.046,16.072712,0.004936,1.238,0,0,0,1,0,1.277645,0.568521,0.709124,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,5361.7,5330.1,5395.7,4.1879,4.1711,4.2404,-0.889,-0.9994,-0.8315,2262.2512,2111.2512,2335.3652,0.8483,0.8257,0.8696,0.6784,0.6598,0.6959,0.368,0.3577,0.3774,PHOENIX,68.44731368899,-67.62541689874,0.904625,1.054513,0.1331,0.003839
LMC-104,05:18:01.352,-63:22:26.56,79.505633,-63.374044,Gaia DR3 4664232847351765760,79.50563174943,-63.37404369491,0.0,0.0,122.0,1636148068921376768,4664232847351765760,547562613,0.0303,0.0295,-0.0107,0.0311,-0.3438,2.164,2.122,0.039,0.421,0.04,-0.0559,0.224,-0.0579,-0.1295,0.1726,-0.005,-0.3318,0.1869,-0.3498,-0.2483,273,0,273,0,0.1007,279.87,0.0,0.0,31,false,1.427,,,,,,,,32,24,0.062026,39,0.01285,41.2,1,0,1.003,0,272,8934.08541,5.10113,1751.39,15.809742,0.002824,32,3541.59,11.4104,310.384,16.465546,0.004475,36,7843.03,14.704,533.395,15.011686,0.004293,1.274,0,32,0,36,0,1.453859,0.655804,0.798056,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,79.5056107039,-63.37404556781,0.631687,0.645884,-0.2371,0.002297
LMC-109,04:12:01.964,-66:00:58.36,63.008183,-66.016211,Gaia DR3 4668957624910036992,63.00818402844,-66.01621135354,0.0,0.0,176.0,1636148068921376768,4668957624910036992,1498740980,0.0322,0.0367,-0.0341,0.0359,-0.9506,1.553,1.51,0.042,-0.361,0.047,-0.0188,0.1793,-0.0294,-0.0762,0.1192,-0.0196,-0.1975,0.1338,-0.2463,-0.0688,343,0,342,1,0.9787,378.06,0.066,0.30835,31,false,1.444,,,,,,,,39,27,0.066308,78,0.01102,43.7,1,0,1.037,0,623,5313.92741,2.20397,2411.07,16.373827,0.002792,74,2199.07,8.76128,250.999,16.982943,0.005147,70,4470.15,7.99159,559.357,15.62209,0.004249,1.255,0,1,0,0,0,1.360852,0.609116,0.751737,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999983,,,,,,,,,,,,,,,,,,,,,,,63.00816751581,-66.01620974688,0.669192,0.758405,-0.0634,0.001971
LMC-119,05:51:51.026,-63:56:37.60,87.962608,-63.943778,Gaia DR3 4756487787099363968,87.9626080485,-63.94377832468,0.0,0.0,10.0,1636148068921376768,4756487787099363968,1518716589,0.0338,0.0363,0.0024,0.0335,0.0723,2.218,2.204,0.046,0.25,0.046,0.0267,0.1251,-0.1161,-0.0658,0.1327,-0.0419,-0.4188,0.093,-0.0782,-0.0146,305,0,304,1,-1.7659,268.48,0.0,0.0,31,false,1.465,,,,,,,,35,26,0.066016,39,0.02228,53.71,0,0,0.928,0,319,5756.58199,3.00051,1918.53,16.286955,0.002813,35,2520.57,6.65766,378.597,16.834795,0.004001,32,4648.34,8.77869,529.503,15.579651,0.0043,1.245,0,0,0,2,0,1.255144,0.54784,0.707304,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999983,,,,,,,,,,,,,,,,,,,,,,,87.96258575082,-63.94377943711,0.733752,0.75153,-0.0092,0.001171
LMC-124,06:08:14.982,-62:07:23.33,92.062425,-62.123147,Gaia DR3 5481017880523468800,92.06242348443,-62.12314680753,0.0,0.0,83.0,1636148068921376768,5481017880523468800,785046605,0.0329,0.0276,0.0267,0.0303,0.8838,1.809,1.625,0.044,0.795,0.038,0.0421,0.2231,-0.03,-0.0876,0.1852,-0.0589,-0.1379,0.0461,-0.054,-0.084,343,0,343,0,0.3695,361.51,0.0,0.0,31,false,1.445,,,,,,,,40,25,0.061138,46,0.01163,36.09,0,0,1.013,0,371,6682.2832,2.95932,2258.04,16.125055,0.002797,43,2764.1,13.3679,206.771,16.734657,0.005946,45,5581.31,11.2739,495.066,15.381055,0.00437,1.249,0,0,0,0,0,1.353602,0.609602,0.744,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999987,5784.8,5742.4,5806.7,3.7549,3.7303,3.7762,-0.1204,-0.1591,-0.0947,3035.9563,2951.5027,3130.9888,1.2391,1.2157,1.2525,0.9904,0.9711,1.0017,0.5321,0.5221,0.5385,PHOENIX,92.06240804056,-62.12315034088,0.702758,0.608969,-0.0763,0.002644
LMC-204,04:33:20.143,-68:02:41.87,68.333929,-68.044964,Gaia DR3 4656482806501297792,68.3339280528,-68.04496459832,0.0,0.0,39.0,1636148068921376768,4656482806501297792,781225009,0.0438,0.0441,0.0363,0.045,0.8071,2.346,2.341,0.055,0.151,0.052,0.0409,0.0588,-0.0525,-0.0828,0.2268,-0.0736,-0.1619,0.023,-0.1904,0.0703,310,0,310,0,0.6636,335.61,0.0,0.0,31,false,1.454,,,,,,,,35,24,0.077758,42,0.02314,61.44,0,0,1.026,0,343,3945.61023,2.45767,1605.43,16.69708,0.002837,35,1682.72,10.5801,159.045,17.273512,0.007375,33,3250.33,8.80819,369.012,15.968079,0.00479,1.25,0,1,0,0,0,1.305433,0.576431,0.729002,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999983,5237.2,5195.2,5279.4,4.1565,4.1446,4.1694,-0.7053,-0.7631,-0.6393,2179.2695,2090.1494,2270.4602,0.8734,0.8424,0.903,0.6948,0.6693,0.7193,0.3772,0.3631,0.3903,MARCS,68.33390022767,-68.04496526908,0.885834,0.83427,0.0774,0.002503
LMC-206,05:45:46.652,-65:46:35.40,86.444383,-65.7765,Gaia DR3 4660012685519633920,86.44438392182,-65.7764988638,0.0,0.0,83.0,1636148068921376768,4660012685519633920,387205351,0.04,0.0364,0.0224,0.0382,0.5867,1.785,1.537,0.05,0.908,0.046,0.0247,0.094,-0.1309,0.0857,0.2365,0.1304,-0.2982,0.1369,-0.2343,0.0345,302,0,301,1,0.2233,314.09,0.0,2.3363E-15,31,false,1.447,,,,,,,,34,22,0.069627,50,0.01327,11.15,0,0,1.008,0,395,4898.82674,2.36332,2072.85,16.462137,0.002805,48,2040.43,9.58405,212.898,17.06424,0.005813,45,4099.35,6.80423,602.472,15.716106,0.004187,1.253,0,34,0,32,0,1.348133,0.602102,0.746031,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,5660.0,5511.9,5771.8,3.8985,3.8094,3.9388,-0.3377,-0.4525,-0.2579,2575.3032,2448.8882,2771.263,1.189,1.1111,1.248,0.9499,0.8854,0.9993,0.5127,0.4781,0.539,PHOENIX,86.44436727587,-65.77650290143,0.804935,0.743717,0.0232,0.004311
LMC-207,05:32:54.917,-64:53:09.88,83.228821,-64.886078,Gaia DR3 4660910093171250944,83.22882185524,-64.88607778014,0.0,0.0,160.0,1636148068921376768,4660910093171250944,357356268,0.0402,0.0409,-0.0697,0.0421,-1.6543,1.652,1.632,0.052,0.259,0.05,-0.0131,0.0204,-0.1554,0.0562,0.3579,0.1605,-0.2961,0.2719,-0.1888,-0.1855,271,0,270,1,-0.6629,260.51,0.0,0.0,31,false,1.451,,,,,,,,31,24,0.079564,34,0.009054,153.4,0,0,0.97,0,284,4732.69719,2.75029,1720.8,16.499596,0.002827,32,2013.26,9.03908,222.729,17.078793,0.005617,31,3947.47,9.59289,411.499,15.757099,0.004609,1.259,0,32,0,31,0,1.321693,0.579197,0.742496,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999989,,,,,,,,,,,,,,,,,,,,,,,83.22880476968,-64.88607893079,0.846286,0.81764,-0.1916,0.001528
LMC-215,05:56:37.323,-66:05:17.85,89.155513,-66.088292,Gaia DR3 4755821483055814272,89.15551283456,-66.08829234555,0.0,0.0,110.0,1636148068921376768,4755821483055814272,1153219901,0.0418,0.0387,0.0541,0.0403,1.3426,2.103,1.877,0.055,0.949,0.049,-0.0652,-0.0399,-0.2572,0.0187,0.2062,0.037,-0.2412,0.1117,-0.2458,0.0011,306,0,306,0,-0.9952,289.1,0.0,2.3168E-15,31,false,1.459,,,,,,,,35,26,0.076523,59,0.01054,90.47,0,0,0.959,0,488,4369.42463,2.05062,2130.78,16.586306,0.002802,54,1868.4,6.37021,293.302,17.159868,0.004636,55,3540.16,7.111,497.843,15.875338,0.004363,1.238,0,0,0,0,0,1.284531,0.573563,0.710968,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999985,5677.6,5625.2,5730.8,3.8872,3.8315,3.9367,-0.5847,-0.6182,-0.5393,2751.376,2587.6494,2944.343,1.067,1.0331,1.0986,0.86,0.8317,0.8869,0.4665,0.4511,0.4812,PHOENIX,89.15549225813,-66.08829656461,0.884061,0.792325,-0.0017,0.001267
