MCDONALD, KECK	HST/STIS
SPECIES	Z	log &epsis;⊙a	log &epsis;	σb	Number	[M/Fe]	log &epsis;	σb	Number	[M/Fe]

Ge I	32	3.41	\ldots	\ldots	\ldots	\ldots	0.60	(0.15)	1	-0.72
Sr I	38	2.90	0.90	(0.15)	1	0.09	\ldots	\ldots	\ldots	\ldots
Sr II	38	2.90	1.10	(0.10)	2	0.29	\ldots	\ldots	\ldots	\ldots
Y II	39	2.24	0.04	0.05	11	-0.11	\ldots	\ldots	\ldots	\ldots
Zr II	40	2.60	0.76	0.14	19	0.25	0.65	0.13	5	0.14
Nb II	41	1.42	-0.18	(0.15)	1	0.49	\ldots	\ldots	\ldots	\ldots
Pd I	46	1.69	0.24	0.09	3	0.64	\ldots	\ldots	\ldots	\ldots
Ag I	47	1.24	-0.28	0.11	2	0.57	\ldots	\ldots	\ldots	\ldots
Ba II	56	2.13	0.44	0.11	6	0.40	\ldots	\ldots	\ldots	\ldots
La II	57	1.22	-0.42	0.05	15	0.45	\ldots	\ldots	\ldots	\ldots
Ce II	58	1.55	-0.18	0.06	22	0.36	\ldots	\ldots	\ldots	\ldots
Pr II	59	0.71	-0.71	(0.05)	9	0.67	\ldots	\ldots	\ldots	\ldots
Nd II	60	1.50	-0.07	0.17	40	0.52	\ldots	\ldots	\ldots	\ldots
Sm II	62	1.00	-0.42	0.14	17	0.67	\ldots	\ldots	\ldots	\ldots
Eu II	63	0.51	-0.67	0.05	9	0.91	\ldots	\ldots	\ldots	\ldots
Gd II	64	1.12	-0.26	0.09	15	0.71	\ldots	\ldots	\ldots	\ldots
Tb II	65	0.33	-0.91	(0.05)	5	0.85	\ldots	\ldots	\ldots	\ldots
Dy II	66	1.10	-0.03	0.07	19	0.96	\ldots	\ldots	\ldots	\ldots
Ho II	67	0.50	-0.70	0.17	3	0.89	\ldots	\ldots	\ldots	\ldots
Er II	68	0.93	-0.20	0.06	7	0.96	\ldots	\ldots	\ldots	\ldots
Tm II	69	0.13	-1.07	(0.10)	2	0.89	\ldots	\ldots	\ldots	\ldots
Os I	76	1.45	0.45	(0.10)	2	1.1:	0.47	(0.05)	3	1.11
Ir I	77	1.30	0.30	0.13	3	1.09	\ldots	\ldots	\ldots	\ldots
Pt I	78	1.80	\ldots	\ldots	\ldots	\ldots	0.67	0.07	5	0.96
Au I	79	0.83	\ldots	\ldots	\ldots	\ldots	-0.3:	(0.30)	1	0.8:
Pb I	82	1.85	\ldots	\ldots	\ldots	\ldots	<0.3	0.25	2	<0.5
Th II	90	0.12	-1.18	(0.10)	2	0.79	\ldots	\ldots	\ldots	\ldots
U II	92	-0.07	-2.0:	(0.30)	1	0.0:	\ldots	\ldots	\ldots	\ldots
