Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe]
BD+17 3248,38.1,Sr II,,0.95,
BD+17 3248,39.1,Y II,,0.15,
BD+17 3248,40.1,Zr II,,1.06,
BD+17 3248,56.1,Ba II,,0.75,
BD+17 3248,57.1,La II,,-0.24,
BD+17 3248,58.1,Ce II,,0.0,
BD+17 3248,59.1,Pr II,,-0.7,
BD+17 3248,60.1,Nd II,,0.12,
BD+17 3248,62.1,Sm II,,-0.32,
BD+17 3248,63.1,Eu II,,-0.63,
BD+17 3248,64.1,Gd II,,-0.05,
BD+17 3248,66.1,Dy II,,0.08,
BD+17 3248,67.1,Ho II,,-0.9,
BD+17 3248,68.1,Er II,,0.1,
BD-18 5550,38.1,Sr II,,-1.1,
BD-18 5550,39.1,Y II,<,-2.2,
BD-18 5550,40.1,Zr II,,-1.17,
BD-18 5550,56.1,Ba II,,-1.67,
BD-18 5550,57.1,La II,<,-2.8,
BD-18 5550,58.1,Ce II,<,-1.9,
BD-18 5550,60.1,Nd II,,-2.02,
BD-18 5550,62.1,Sm II,<,-2.0,
BD-18 5550,63.1,Eu II,,-2.75,
BD-18 5550,64.1,Gd II,,-2.2,
BD-18 5550,66.1,Dy II,<,-2.0,
BD-18 5550,67.1,Ho II,,-3.0,
BD-18 5550,68.1,Er II,,-2.25,
BS 16467-062,38.1,Sr II,,-2.65,
BS 16467-062,39.1,Y II,<,-2.2,
BS 16467-062,40.1,Zr II,<,-1.5,
BS 16467-062,56.1,Ba II,<,-2.8,
BS 16467-062,57.1,La II,<,-2.3,
BS 16467-062,58.1,Ce II,<,-1.0,
BS 16467-062,59.1,Pr II,<,-1.75,
BS 16467-062,60.1,Nd II,<,-1.7,
BS 16467-062,62.1,Sm II,<,-1.3,
BS 16467-062,63.1,Eu II,<,-2.5,
BS 16467-062,64.1,Gd II,<,-1.9,
BS 16467-062,66.1,Dy II,<,-1.2,
BS 16467-062,67.1,Ho II,<,-1.8,
BS 16467-062,68.1,Er II,<,-1.7,
BS 16477-003,38.1,Sr II,,-0.38,
BS 16477-003,39.1,Y II,,-1.17,
BS 16477-003,40.1,Zr II,,-0.45,
BS 16477-003,56.1,Ba II,,-1.68,
BS 16477-003,57.1,La II,<,-2.2,
BS 16477-003,58.1,Ce II,<,-1.4,
BS 16477-003,59.1,Pr II,<,-2.25,
BS 16477-003,60.1,Nd II,<,-1.5,
BS 16477-003,62.1,Sm II,<,-1.7,
BS 16477-003,63.1,Eu II,<,-2.6,
BS 16477-003,64.1,Gd II,<,-1.8,
BS 16477-003,66.1,Dy II,<,-1.5,
BS 16477-003,67.1,Ho II,<,-2.3,
BS 16477-003,68.1,Er II,<,-1.9,
BS 17569-049,38.1,Sr II,,0.4,
BS 17569-049,39.1,Y II,,-0.6,
BS 17569-049,40.1,Zr II,,-0.01,
BS 17569-049,56.1,Ba II,,-0.55,
BS 17569-049,57.1,La II,,-1.33,
BS 17569-049,58.1,Ce II,,-1.07,
BS 17569-049,59.1,Pr II,,-1.42,
BS 17569-049,60.1,Nd II,,-0.95,
BS 17569-049,62.1,Sm II,,-0.98,
BS 17569-049,63.1,Eu II,,-1.65,
BS 17569-049,64.1,Gd II,,-1.14,
BS 17569-049,66.1,Dy II,,-1.15,
BS 17569-049,67.1,Ho II,,-1.9,
BS 17569-049,68.1,Er II,,-1.4,
BS 17569-049,69.1,Tm II,,-2.65,
BS 17569-049,70.1,Yb II,,-1.2,
CD-38 245,38.1,Sr II,,-1.93,
CD-38 245,39.1,Y II,,-2.4,
CD-38 245,40.1,Zr II,<,-1.7,
CD-38 245,56.1,Ba II,,-2.82,
CD-38 245,57.1,La II,<,-3.0,
CD-38 245,58.1,Ce II,<,-1.9,
CD-38 245,59.1,Pr II,<,-2.65,
CD-38 245,60.1,Nd II,<,-2.5,
CD-38 245,62.1,Sm II,<,-1.9,
CD-38 245,63.1,Eu II,<,-3.3,
CD-38 245,64.1,Gd II,<,-2.3,
CD-38 245,66.1,Dy II,<,-2.1,
CD-38 245,67.1,Ho II,<,-3.4,
CD-38 245,68.1,Er II,<,-2.4,
CS 22169-035,38.1,Sr II,,-0.15,
CS 22169-035,39.1,Y II,,-1.18,
CS 22169-035,40.1,Zr II,,-0.52,
CS 22169-035,56.1,Ba II,,-2.1,
CS 22169-035,57.1,La II,<,-2.8,
CS 22169-035,58.1,Ce II,<,-1.8,
CS 22169-035,59.1,Pr II,<,-2.15,
CS 22169-035,60.1,Nd II,<,-2.3,
CS 22169-035,62.1,Sm II,<,-2.1,
CS 22169-035,63.1,Eu II,<,-3.2,
CS 22169-035,64.1,Gd II,<,-2.2,
CS 22169-035,66.1,Dy II,<,-3.0,
CS 22169-035,67.1,Ho II,<,-3.2,
CS 22169-035,68.1,Er II,<,-2.4,
CS 22169-035,69.1,Tm II,,-1.84,
CS 22172-002,38.1,Sr II,,-2.2,
CS 22172-002,39.1,Y II,,-2.6,
CS 22172-002,40.1,Zr II,<,-2.0,
CS 22172-002,56.1,Ba II,,-2.9,
CS 22172-002,57.1,La II,<,-2.7,
CS 22172-002,58.1,Ce II,<,-1.7,
CS 22172-002,59.1,Pr II,<,-2.65,
CS 22172-002,60.1,Nd II,<,-2.4,
CS 22172-002,62.1,Sm II,<,-1.8,
CS 22172-002,63.1,Eu II,<,-3.3,
CS 22172-002,64.1,Gd II,,-2.2,
CS 22172-002,66.1,Dy II,<,-2.8,
CS 22172-002,67.1,Ho II,<,-2.9,
CS 22172-002,68.1,Er II,<,-2.4,
CS 22186-025,38.1,Sr II,,-0.15,
CS 22186-025,39.1,Y II,,-1.07,
CS 22186-025,40.1,Zr II,,-0.26,
CS 22186-025,56.1,Ba II,,-0.85,
CS 22186-025,57.1,La II,,-1.64,
CS 22186-025,58.1,Ce II,,-1.15,
CS 22186-025,59.1,Pr II,,-2.05,
CS 22186-025,60.1,Nd II,,-1.22,
CS 22186-025,62.1,Sm II,<,-1.4,
CS 22186-025,63.1,Eu II,,-1.95,
CS 22186-025,64.1,Gd II,,-1.2,
CS 22186-025,66.1,Dy II,,-1.33,
CS 22186-025,67.1,Ho II,,-2.3,
CS 22186-025,68.1,Er II,,-1.52,
CS 22186-025,69.1,Tm II,,-1.36,
CS 22186-025,70.1,Yb II,,-1.8,
CS 22189-009,38.1,Sr II,,-1.47,
CS 22189-009,39.1,Y II,,-2.08,
CS 22189-009,40.1,Zr II,,-1.38,
CS 22189-009,56.1,Ba II,,-2.65,
CS 22189-009,57.1,La II,<,-2.5,
CS 22189-009,58.1,Ce II,<,-1.5,
CS 22189-009,59.1,Pr II,<,-2.55,
CS 22189-009,60.1,Nd II,<,-2.1,
CS 22189-009,62.1,Sm II,<,-1.6,
CS 22189-009,63.1,Eu II,<,-3.0,
CS 22189-009,64.1,Gd II,,-1.25,
CS 22189-009,66.1,Dy II,<,-2.7,
CS 22189-009,67.1,Ho II,<,-2.4,
CS 22189-009,68.1,Er II,<,-2.0,
CS 22873-055,38.1,Sr II,,-0.5,
CS 22873-055,39.1,Y II,,-1.28,
CS 22873-055,40.1,Zr II,,-0.56,
CS 22873-055,56.1,Ba II,,-1.31,
CS 22873-055,57.1,La II,,-2.29,
CS 22873-055,58.1,Ce II,<,-1.5,
CS 22873-055,59.1,Pr II,,-2.55,
CS 22873-055,60.1,Nd II,,-1.78,
CS 22873-055,62.1,Sm II,<,-1.8,
CS 22873-055,63.1,Eu II,,-2.65,
CS 22873-055,64.1,Gd II,,-1.9,
CS 22873-055,66.1,Dy II,,-2.09,
CS 22873-055,67.1,Ho II,<,-3.1,
CS 22873-055,68.1,Er II,,-2.3,
CS 22873-166,38.1,Sr II,,0.13,
CS 22873-166,39.1,Y II,,-0.86,
CS 22873-166,40.1,Zr II,,-0.17,
CS 22873-166,56.1,Ba II,,-1.54,
CS 22873-166,57.1,La II,,-2.57,
CS 22873-166,58.1,Ce II,,-1.73,
CS 22873-166,59.1,Pr II,,-2.3,
CS 22873-166,60.1,Nd II,,-1.72,
CS 22873-166,62.1,Sm II,<,-2.0,
CS 22873-166,63.1,Eu II,,-2.76,
CS 22873-166,64.1,Gd II,<,-2.4,
CS 22873-166,66.1,Dy II,<,-2.7,
CS 22873-166,67.1,Ho II,<,-3.4,
CS 22873-166,68.1,Er II,,-2.4,
CS 22878-101,38.1,Sr II,,-0.55,
CS 22878-101,39.1,Y II,,-1.29,
CS 22878-101,40.1,Zr II,,-0.6,
CS 22878-101,56.1,Ba II,,-1.7,
CS 22878-101,57.1,La II,,-2.5,
CS 22878-101,58.1,Ce II,<,-1.5,
CS 22878-101,59.1,Pr II,<,-2.45,
CS 22878-101,60.1,Nd II,<,-2.2,
CS 22878-101,62.1,Sm II,<,-1.9,
CS 22878-101,63.1,Eu II,,-2.8,
CS 22878-101,64.1,Gd II,<,-2.2,
CS 22878-101,66.1,Dy II,,-2.4,
CS 22878-101,67.1,Ho II,<,-2.8,
CS 22878-101,68.1,Er II,<,-2.3,
CS 22885-096,38.1,Sr II,,-2.2,
CS 22885-096,39.1,Y II,<,-2.4,
CS 22885-096,40.1,Zr II,,-1.6,
CS 22885-096,56.1,Ba II,,-2.75,
CS 22885-096,57.1,La II,<,-2.7,
CS 22885-096,58.1,Ce II,<,-1.3,
CS 22885-096,59.1,Pr II,<,-2.45,
CS 22885-096,60.1,Nd II,<,-1.7,
CS 22885-096,62.1,Sm II,<,-1.5,
CS 22885-096,63.1,Eu II,<,-2.8,
CS 22885-096,64.1,Gd II,<,-1.8,
CS 22885-096,66.1,Dy II,<,-2.4,
CS 22885-096,67.1,Ho II,<,-2.7,
CS 22885-096,68.1,Er II,<,-2.3,
CS 22891-209,38.1,Sr II,,-0.24,
CS 22891-209,39.1,Y II,,-1.15,
CS 22891-209,40.1,Zr II,,-0.43,
CS 22891-209,56.1,Ba II,,-1.71,
CS 22891-209,57.1,La II,,-2.4,
CS 22891-209,58.1,Ce II,<,-1.9,
CS 22891-209,59.1,Pr II,,-2.45,
CS 22891-209,60.1,Nd II,,-2.15,
CS 22891-209,62.1,Sm II,<,-2.0,
CS 22891-209,63.1,Eu II,,-2.87,
CS 22891-209,64.1,Gd II,,-2.3,
CS 22891-209,66.1,Dy II,,-2.77,
CS 22891-209,67.1,Ho II,<,-3.2,
CS 22891-209,68.1,Er II,,-2.6,
CS 22891-209,70.1,Yb II,,-2.81,
CS 22892-052,38.1,Sr II,,0.47,
CS 22892-052,39.1,Y II,,-0.46,
CS 22892-052,40.1,Zr II,,0.15,
CS 22892-052,56.1,Ba II,,0.11,
CS 22892-052,57.1,La II,,-0.75,
CS 22892-052,58.1,Ce II,,-0.43,
CS 22892-052,59.1,Pr II,,-1.4,
CS 22892-052,60.1,Nd II,,-0.38,
CS 22892-052,62.1,Sm II,,-0.52,
CS 22892-052,63.1,Eu II,,-1.03,
CS 22892-052,64.1,Gd II,,-0.46,
CS 22892-052,66.1,Dy II,,-0.35,
CS 22892-052,67.1,Ho II,,-1.18,
CS 22892-052,68.1,Er II,,-0.61,
CS 22892-052,69.1,Tm II,,-1.44,
CS 22896-154,38.1,Sr II,,0.82,
CS 22896-154,39.1,Y II,,-0.3,
CS 22896-154,40.1,Zr II,,0.68,
CS 22896-154,56.1,Ba II,,-0.05,
CS 22896-154,57.1,La II,,-1.1,
CS 22896-154,58.1,Ce II,,-0.4,
CS 22896-154,59.1,Pr II,,-1.25,
CS 22896-154,60.1,Nd II,,-0.52,
CS 22896-154,62.1,Sm II,,-0.9,
CS 22896-154,63.1,Eu II,,-1.32,
CS 22896-154,64.1,Gd II,,-0.7,
CS 22896-154,66.1,Dy II,,-0.58,
CS 22896-154,67.1,Ho II,,-1.55,
CS 22896-154,68.1,Er II,,-0.75,
CS 22897-008,38.1,Sr II,,0.0,
CS 22897-008,39.1,Y II,,-1.05,
CS 22897-008,40.1,Zr II,,-0.31,
CS 22897-008,56.1,Ba II,,-2.28,
CS 22897-008,57.1,La II,<,-2.7,
CS 22897-008,58.1,Ce II,<,-1.5,
CS 22897-008,59.1,Pr II,<,-2.2,
CS 22897-008,60.1,Nd II,,-1.9,
CS 22897-008,62.1,Sm II,<,-1.9,
CS 22897-008,63.1,Eu II,<,-3.1,
CS 22897-008,64.1,Gd II,<,-2.0,
CS 22897-008,66.1,Dy II,<,-2.9,
CS 22897-008,67.1,Ho II,<,-2.7,
CS 22897-008,68.1,Er II,<,-2.3,
CS 22948-066,38.1,Sr II,,-0.63,
CS 22948-066,39.1,Y II,,-1.95,
CS 22948-066,40.1,Zr II,,-0.63,
CS 22948-066,56.1,Ba II,,-1.95,
CS 22948-066,57.1,La II,<,-2.7,
CS 22948-066,58.1,Ce II,<,-1.6,
CS 22948-066,59.1,Pr II,<,-2.45,
CS 22948-066,60.1,Nd II,<,-2.2,
CS 22948-066,62.1,Sm II,<,-2.39,
CS 22948-066,63.1,Eu II,<,-3.2,
CS 22948-066,64.1,Gd II,<,-2.1,
CS 22948-066,66.1,Dy II,<,-2.8,
CS 22948-066,67.1,Ho II,<,-2.9,
CS 22948-066,68.1,Er II,<,-2.3,
CS 22952-015,38.1,Sr II,,-1.45,
