Name,Species,lambda,ExPot,loggf,l_EW,EW,f_EW,l_logepsX,logepsX
UMa II-S1,C-H,4313.,,,,,s,,6.01
UMa II-S1,C-H,4322.,,,,,s,,6.10
UMa II-S1,O I,6300.31,0.00,-9.75,<,15.0,,<,7.30
UMa II-S1,O I,6363.79,0.02,-10.25,,,,,
UMa II-S1,Na I,5889.95,0.00,0.10,,124.0,,,3.12
UMa II-S1,Na I,5895.92,0.00,-0.20,,102.8,,,3.06
UMa II-S1,Mg I,4571.10,0.00,-5.67,,32.3,,,4.96
UMa II-S1,Mg I,4702.99,4.35,-0.52,,33.3,,,4.80
UMa II-S1,Mg I,5172.69,2.71,-0.38,,148.9,,,4.76
UMa II-S1,Mg I,5183.60,2.72,-0.16,,167.4,,,4.82
UMa II-S1,Mg I,5528.40,4.35,-0.49,,50.3,,,5.01
UMa II-S1,Mg I,5711.09,4.35,-1.72,,,,,
UMa II-S1,Al I,6696.03,3.14,-1.57,<,8.0,,<,5.23
UMa II-S1,Si I,5684.52,4.93,-1.65,<,9.0,,<,5.77
UMa II-S1,Ca I,4283.01,1.89,-0.22,,46.8,,,3.81
UMa II-S1,Ca I,4318.65,1.90,-0.21,,34.3,,,3.58
UMa II-S1,Ca I,4425.44,1.88,-0.36,,30.6,,,3.62
UMa II-S1,Ca I,4435.69,1.89,-0.52,,,,,
UMa II-S1,Ca I,4455.89,1.90,-0.53,,,,,
UMa II-S1,Ca I,5262.24,2.52,-0.47,,,,,
UMa II-S1,Ca I,5581.97,2.52,-0.555,,,,,
UMa II-S1,Ca I,5588.76,2.53,0.358,,15.6,,,3.18
UMa II-S1,Ca I,5590.12,2.52,-0.571,,,,,
UMa II-S1,Ca I,5594.47,2.52,0.097,,,,,
UMa II-S1,Ca I,5598.49,2.52,-0.087,,,,,
UMa II-S1,Ca I,5601.28,2.53,-0.523,,,,,
UMa II-S1,Ca I,5857.45,2.93,0.240,,14.2,,,3.69
UMa II-S1,Ca I,6102.72,1.88,-0.770,,,,,
UMa II-S1,Ca I,6122.22,1.89,-0.320,,19.5,,,3.21
UMa II-S1,Ca I,6169.06,2.52,-0.797,,,,,
UMa II-S1,Ca I,6169.56,2.53,-0.478,,,,,
UMa II-S1,Ca I,6439.07,2.53,0.390,,28.8,,,3.44
UMa II-S1,Ca I,6449.81,2.52,-0.502,,,,,
UMa II-S1,Ca I,6499.65,2.52,-0.818,,,,,
UMa II-S1,Ca I,6717.69,2.71,-0.524,,,,,
UMa II-S1,Sc II,4246.82,0.32,0.320,,,s,,0.40
UMa II-S1,Sc II,4415.54,0.60,-0.640,,,s,,0.10
UMa II-S1,Sc II,5031.01,1.36,-0.260,,,,,
UMa II-S1,Sc II,5239.81,1.46,-0.770,,,,,
UMa II-S1,Sc II,5526.78,1.77,0.130,,,s,,0.10
UMa II-S1,Ti I,4512.73,0.84,-0.424,,,,,
UMa II-S1,Ti I,4533.24,0.85,0.532,,37.8,,,2.22
UMa II-S1,Ti I,4534.77,0.84,0.336,,,,,
UMa II-S1,Ti I,4535.57,0.83,0.120,,,,,
