Name,Species,e_stat,D_Teff,D_logg,D_Vmic,e_tot
300S-1,C-H,0.21,0.30,-0.05,-0.02,0.37
300S-1,Na I,0.08,0.16,-0.10,-0.04,0.21
300S-1,Mg I,0.07,0.16,-0.11,-0.05,0.21
300S-1,Ca I,0.06,0.13,-0.05,-0.10,0.18
300S-1,Sc II,0.05,0.02,+0.16,-0.02,0.17
300S-1,Ti I,0.07,0.20,-0.02,-0.09,0.23
300S-1,Ti II,0.06,0.03,+0.15,-0.09,0.19
300S-1,Cr I,0.05,0.19,-0.01,-0.08,0.21
300S-1,Mn I,0.07,0.15,-0.03,-0.10,0.20
300S-1,Fe I,0.05,0.18,-0.04,-0.13,0.23
300S-1,Fe II,0.05,-0.02,+0.16,-0.09,0.19
300S-1,Co I,0.12,0.25,+0.00,-0.20,0.34
300S-1,Ni I,0.06,0.14,+0.00,-0.06,0.16
300S-1,Zn I,0.25,0.04,+0.10,-0.05,0.28
300S-1,Sr II,0.40,0.10,+0.02,-0.10,0.42
300S-1,Ba II,0.21,0.09,+0.08,-0.18,0.30
300S-1,La II,0.30,0.05,+0.15,-0.05,0.34
300S-1,Eu II,0.40,0.05,+0.15,-0.05,0.43

