Species,lambda,chi,loggf,EW-J100714,f_EW-J100714,logepsX-J100714,EW-J100710,f_EW-J100710,l_logepsX-J100710,logepsX-J100710,EW-J100702,f_EW-J100702,l_logepsX-J100702,logepsX-J100702,EW-J100742,f_EW-J100742,l_logepsX-J100742,logepsX-J100742,EW-J100652,f_EW-J100652,l_logepsX-J100652,logepsX-J100652,EW-J100639,f_EW-J100639,l_logepsX-J100639,logepsX-J100639
C-H,4313.,,,,s,,,s,,6.86,,s,,6.19,,s,,5.83,,s,,5.98,,s,,5.45
C-H,4325.,,,,s,8.45,,s,,6.96,,s,,6.19,,s,,6.03,,s,,6.08,,s,,5.67
Na I,5889.950,0.00,0.108,240.13,,4.67,190.82,,,4.26,148.77,,,3.86,118.78,,,3.59,59.86,,,2.71,78.14,,,2.79
Na I,5895.924,0.00,-0.194,228.99,,4.90,171.68,,,4.36,146.43,,,4.13,104.38,,,3.63,49.00,,,2.80,57.83,,,2.69
Mg I,3829.355,2.71,-0.208,,,,,,,,,,,,,,,,105.97,,,4.49,,,,
Mg I,3832.304,2.71,0.270,,,,,,,,,,,,,,,,149.84,,,4.53,136.37,,,4.37
Mg I,3986.753,4.35,-1.030,136.44,,6.79,,,,,41.40,,,5.57,45.98,,,5.71,,,,,,,,
Mg I,4057.505,4.35,-0.890,115.68,,6.52,102.39,,,6.39,52.37,,,5.61,58.80,,,5.79,,,,,,,,
Mg I,4167.271,4.35,-0.710,147.70,,6.72,113.51,,,6.41,66.83,,,5.66,,,,,,,,,,,,
Mg I,4351.906,4.34,-0.525,,,,,,,,,,,,,,,,16.32,,,4.66,,,,
Mg I,4571.096,0.00,-5.688,97.38,,6.76,107.88,,,6.50,73.71,,,5.97,60.04,,,5.91,,,,,,,,
Mg I,4702.990,4.33,-0.380,164.91,,6.33,138.89,,,6.22,101.58,,,5.76,90.03,,,5.70,19.85,,,4.59,19.53,,,4.44
Mg I,5172.684,2.71,-0.450,,,,,,,,232.36,,,5.62,234.66,,,5.74,107.33,,,4.58,99.91,,,4.31
Mg I,5183.604,2.72,-0.239,,,,,,,,278.54,,,5.64,265.44,,,5.68,129.87,,,4.67,120.62,,,4.46
Mg I,5528.405,4.34,-0.498,134.62,,6.37,136.80,,,6.44,98.01,,,5.91,75.26,,,5.66,,,,,,,,
Mg I,5711.090,4.34,-1.724,43.80,,6.42,,,,,,,,,,,,,,,,,,,,
Al I,3944.006,0.00,-0.620,,s,4.32,,s,,,,s,,3.23,,s,,3.25,,s,,2.25,,s,,1.87
