Species,lambda,chi,loggf,EW33,loge33,EW41,loge41,EW94,loge94,EW117,loge117,EW119,loge119,EW127,loge127,EW130,loge130
Na I,5895.924,0.000,-0.184,177.6,4.04,,,154.6,3.68,177.2,4.14,167.8,3.55,,,,
Mg I,5528.405,4.346,-0.620,93.1,5.66,,,75.4,5.36,101.9,5.85,74.6,5.30,113.5,5.92,91.0,5.64
Mg I,5711.088,4.346,-1.833,,,49.5,6.27,10.2,5.28,,,,,28.4,5.84,,
Si I,5948.541,5.082,-0.780,,,26.0,5.58,,,25.8,5.56,,,35.4,5.72,,
Ca I,5261.704,2.521,-0.579,27.8,4.34,,,,,,,,,45.5,4.62,,
Ca I,5265.556,2.523,-0.113,53.7,4.33,,,,,74.9,4.75,,,,,,
Ca I,5581.965,2.523,-0.555,19.4,4.11,50.8,4.75,,,30.8,4.38,,,46.2,4.60,,
Ca I,5588.749,2.526,0.358,69.2,4.10,,,55.3,3.81,69.5,4.16,,,90.9,4.43,72.5,4.18
Ca I,5590.114,2.521,-0.571,,,43.4,4.64,,,32.8,4.43,,,32.1,4.36,,
Ca I,5594.462,2.523,0.097,,,,,26.5,3.54,72.3,4.47,,,91.7,4.70,61.3,4.26
Ca I,5598.480,2.521,-0.087,45.8,4.16,,,22.6,3.63,70.2,4.61,,,,,66.3,4.52
Ca I,5601.277,2.526,-0.523,38.2,4.47,,,,,,,,,50.7,4.64,39.7,4.53
Ca I,5857.451,2.933,0.240,42.1,4.24,,,18.6,3.68,66.1,4.67,,,65.3,4.57,38.1,4.20
Ca I,6102.723,1.879,-0.793,53.9,4.21,,,34.7,3.79,67.2,4.45,,,86.0,4.65,55.1,4.27
Ca I,6122.217,1.886,-0.316,69.3,3.97,,,64.3,3.81,,,,,,,95.9,4.42
Ca I,6162.173,1.899,-0.090,96.9,4.21,,,73.4,3.74,,,61.9,3.57,,,,
Ca I,6166.439,2.521,-1.142,,,,,,,,,,,21.1,4.67,15.0,4.57
Ca I,6169.563,2.526,-0.478,,,61.0,4.80,,,31.7,4.30,,,,,25.6,4.20
Ca I,6439.075,2.526,0.390,82.3,4.24,,,51.9,3.67,86.3,4.38,,,,,82.5,4.26
Ca I,6449.808,2.521,-0.502,17.5,3.96,64.1,4.86,17.4,3.87,29.9,4.27,,,41.9,4.43,,
Ca I,6471.662,2.526,-0.686,18.9,4.19,,,,,,,,,30.6,4.41,,
Ca I,6493.781,2.521,-0.109,,,,,,,,,,,,,74.9,4.63
Ca I,6499.650,2.523,-0.818,,,,,,,,,,,23.1,4.38,,
Ca I,6717.681,2.709,-0.524,,,,,14.2,4.00,,,,,27.4,4.39,,
Sc II,5031.021,1.357,-0.400,40.3,0.62,58.1,0.90,44.9,0.37,66.5,1.09,,,90.4,1.43,50.5,0.79
Sc II,5239.813,1.455,-0.765,,,26.6,0.84,18.4,0.31,39.2,1.09,,,46.0,1.17,25.1,0.81
Sc II,5526.790,1.768,0.024,41.5,0.67,,,45.0,0.42,59.4,0.99,,,72.8,1.15,60.1,0.95
Sc II,5641.001,1.500,-1.131,,,,,12.5,0.50,21.9,1.13,,,,,,
Sc II,5657.896,1.507,-0.603,37.3,0.91,49.2,1.10,,,48.6,1.12,,,55.7,1.19,41.5,0.98
Sc II,5669.042,1.500,-1.200,,,28.8,1.35,,,,,,,,,,
Sc II,5684.202,1.507,-1.074,,,,,10.6,0.37,,,,,,,16.9,0.94
Sc II,6604.601,1.357,-1.309,,,33.5,1.32,,,,,,,39.0,1.39,,
Ti I,4840.874,0.900,-0.509,
Ti I,4981.731,0.848,0.504,70.9,2.5,8,,56.,3  2.2,0,,,,,,62.,1  2.50
Ti I,4991.065,0.836,0.380,57.2,2.47,,,53.0,2.25,96.5,3.28,,,,,64.6,2.65
Ti I,4997.096,0.000,-2.118,,,46.0,3.86,,,,,,,,,,
Ti I,4999.503,0.826,0.250,58.0,2.60,,,58.6,2.46,,,,,94.2,3.15,55.4,2.62
Ti I,5007.210,0.818,0.112,,,,,45.3,2.37,,,26.6,2.19,,,,
Ti I,5016.161,0.848,-0.574,,,,,,,51.9,3.39,,,65.7,3.49,,
Ti I,5020.026,0.836,-0.414,,,,,24.0,2.51,28.2,2.78,,,71.5,3.41,43.3,3.11
Ti I,5022.868,0.826,-0.434,,,84.1,3.76,18.8,2.38,,,,,54.1,3.14,,
Ti I,5024.844,0.818,-0.602,,,,,,,,,,,29.3,2.88,,
Ti I,5035.903,1.460,0.243,,,,,,,,,,,47.0,3.12,,
Ti I,5036.464,1.443,0.130,,,,,,,29.3,2.98,,,,,,
Ti I,5038.397,1.430,0.013,,,,,,,30.2,3.10,,,,,,
Ti I,5039.957,0.021,-1.130,,,,,,,53.9,2.97,,,94.9,3.54,,
Ti I,5064.653,0.048,-0.991,,,97.8,3.63,32.1,2.27,53.3,2.86,,,,,,
Ti I,5147.478,0.000,-2.012,,,60.5,3.96,,,,,,,,,,
Ti I,5173.743,0.000,-1.118,,,,,36.0,2.41,72.4,3.24,,,99.6,3.57,44.0,2.81
Ti I,5192.969,0.021,-1.006,27.9,2.36,,,34.2,2.28,56.5,2.88,,,84.1,3.19,49.5,2.81
Ti I,5210.385,0.048,-0.884,56.5,2.75,,,47.3,2.42,,,,,89.9,3.20,70.6,3.04
Ti I,5866.451,1.067,-0.840,,,52.2,3.88,,,,,,,,,,
Ti I,6258.706,1.460,-0.240,,,48.5,3.67,,,,,,,,,,
Ti II,4865.611,1.116,-2.790,,,91.2,3.95,,,38.4,3.11,,,65.5,3.52,,
Ti II,5129.152,1.892,-1.240,68.8,2.94,,,43.2,2.23,79.4,3.19,,,89.8,3.30,67.8,2.91
Ti II,5154.068,1.566,-1.750,59.0,2.90,,,39.8,2.28,69.1,3.12,39.0,2.43,79.4,3.22,62.8,2.95
Ti II,5185.902,1.893,-1.490,30.1,2.54,,,34.3,2.32,58.5,3.06,,,65.5,3.13,49.4,2.87
Ti II,5336.771,1.582,-1.590,,,,,52.9,2.34,73.1,3.03,,,78.0,3.04,63.3,2.80
Ti II,5381.015,1.566,-1.920,36.2,2.68,102.5,3.75,33.5,2.31,,,,,75.1,3.30,52.8,2.95
Ti II,5418.751,1.582,-2.000,26.2,2.59,103.6,3.86,26.9,2.28,52.9,3.08,,,55.2,3.08,39.3,2.84
Cr I,5208.425,0.941,0.158,,,,,,,,,84.8,2.26,,,,
Cr I,5247.565,0.961,-1.640,,,81.7,4.25,,,,,,,48.1,3.58,,
Cr I,5296.691,0.983,-1.400,37.1,3.25,,,,,36.5,3.26,,,72.0,3.74,,
Cr I,5298.272,0.983,-1.150,48.9,3.20,,,14.2,2.30,61.4,3.44,,,67.8,3.42,60.8,3.44
Cr I,5300.745,0.983,-2.120,,,,,,,,,,,,,19.2,3.66
Cr I,5345.796,1.004,-0.980,49.0,3.05,111.7,4.18,27.4,2.51,70.8,3.46,,,93.5,3.72,71.0,3.45
Cr I,5348.315,1.004,-1.290,33.5,3.10,100.4,4.27,12.8,2.42,48.3,3.38,,,87.6,3.92,59.9,3.59
Cr I,5409.784,1.030,-0.720,63.5,3.05,,,32.0,2.37,93.5,3.68,,,100.3,3.61,77.5,3.32
Fe I,4859.741,2.875,-0.764,66.2,4.84,,,54.1,4.52,91.4,5.41,,,,,85.5,5.21
Fe I,4871.317,2.865,-0.363,94.4,4.95,,,70.8,4.41,,,,,,,,
