Name,Species,lambda,chi,loggf,EW,e_EW,logepsX
J220409,Fe I,3876.04,1.010,-2.89,80.1,13.4,5.01
J220409,Fe I,4001.66,2.174,-1.90,51.4,13.3,4.95
J220409,Fe I,4009.71,2.221,-1.25,64.5,12.1,4.53
J220409,Fe I,4084.49,3.329,-0.54,55.7,12.8,4.97
J220409,Fe I,4132.90,2.840,-0.92,41.6,10.7,4.54
J220409,Fe I,4147.67,1.484,-2.07,84.6,13.7,4.78
J220409,Fe I,4152.17,0.957,-3.16,53.2,10.8,4.72
J220409,Fe I,4153.90,3.397,-0.28,37.6,9.2,4.48
J220409,Fe I,4156.80,2.830,-0.81,46.2,11.5,4.49
J220409,Fe I,4174.91,0.914,-2.94,83.8,17.4,4.94
J220409,Fe I,4191.43,2.470,-0.67,83.0,14.8,4.52
J220409,Fe I,4195.33,3.330,-0.49,41.5,11.1,4.68
J220409,Fe I,4206.70,0.052,-3.96,95.1,13.7,5.12
J220409,Fe I,4222.21,2.450,-0.97,87.0,14.7,4.86
J220409,Fe I,4227.43,3.330,+0.27,79.3,13.8,4.54
J220409,Fe I,4233.60,2.482,-0.60,81.6,13.4,4.43
J220409,Fe I,4238.81,3.400,-0.23,52.2,13.3,4.67
J220409,Fe I,4337.05,1.556,-1.70,84.1,14.9,4.45
J220409,Fe I,4408.41,2.196,-1.77,52.8,14.4,4.77
J220409,Fe I,4430.61,2.221,-1.73,65.3,15.6,4.95
J220409,Fe I,4447.72,2.221,-1.34,89.0,14.9,4.95
J220409,Fe I,4459.12,2.174,-1.33,99.7,14.9,5.07
J220409,Fe I,4466.55,2.830,-0.60,85.0,14.0,4.88
J220409,Fe I,4489.74,0.121,-3.90,89.9,13.9,4.98
J220409,Fe I,4494.56,2.196,-1.14,98.1,16.2,4.87
J220409,Fe I,4528.61,2.174,-0.89,98.4,16.0,4.60
J220409,Fe I,4531.15,1.484,-2.10,94.9,14.8,4.93
J220409,Fe I,4592.65,1.556,-2.46,64.3,14.5,4.85
J220409,Fe I,4602.00,1.607,-3.13,23.7,14.0,4.91
J220409,Fe I,4602.94,1.484,-2.21,73.4,14.2,4.65
J220409,Fe I,4647.43,2.950,-1.35,34.6,12.4,4.94
J220409,Fe I,4707.27,3.241,-0.96,43.1,16.0,5.03
J220409,Fe I,4733.59,1.484,-2.99,52.1,15.6,5.10
J220409,Fe I,4872.14,2.880,-0.57,73.9,17.6,4.67
J220409,Fe I,4903.31,2.882,-0.89,58.5,16.0,4.75
J220409,Fe I,4939.69,0.858,-3.25,70.8,23.0,4.85
J220409,Fe I,5041.07,0.957,-3.09,63.9,7.5,4.70
J220409,Fe I,5049.82,2.277,-1.35,87.9,11.1,4.93
J220409,Fe I,5079.74,0.989,-3.25,49.9,11.1,4.69
J220409,Fe I,5083.34,0.957,-2.84,91.1,9.8,4.87
J220409,Fe I,5110.41,0.000,-3.76,99.0,11.4,4.74
J220409,Fe I,5150.84,0.989,-3.04,74.3,9.7,4.83
J220409,Fe I,5151.91,1.010,-3.32,67.3,9.4,5.03
J220409,Fe I,5171.60,1.484,-1.72,110.3,11.2,4.73
J220409,Fe I,5191.45,3.040,-0.55,70.4,11.5,4.76
J220409,Fe I,5192.34,3.000,-0.42,84.5,9.7,4.79
J220409,Fe I,5194.94,1.556,-2.02,95.3,11.0,4.84
J220409,Fe I,5202.34,2.174,-1.87,79.0,12.7,5.16
J220409,Fe I,5216.27,1.607,-2.08,89.9,10.8,4.87
J220409,Fe I,5232.94,2.940,-0.06,100.0,11.7,4.62
