Name,Species,D_Teff,D_logg,D_Vmic,D_[M/H],e_sys
J220423,C-H,0.27,0.12,0.04,0.04,0.43
J220423,Na I,0.15,0.03,0.10,0.00,0.22
J220423,Mg I,0.14,0.04,0.07,0.01,0.21
J220423,Al I,0.22,0.13,0.07,0.14,0.45
J220423,Si I,0.25,0.05,0.15,0.02,0.38
J220423,K I,0.17,0.02,0.06,0.01,0.22
J220423,Ca I,0.13,0.03,0.05,0.01,0.18
J220423,Sc I,0.08,0.04,0.17,0.00,0.22
J220423,Ti I,0.25,0.03,0.05,0.01,0.30
J220423,Ti II,0.04,0.09,0.06,0.01,0.14
J220423,V II,0.05,0.10,0.02,0.02,0.16
J220423,Cr I,0.22,0.02,0.02,0.01,0.25
J220423,Mn I,0.30,0.05,0.10,0.12,0.47
J220423,Fe I,0.21,0.03,0.10,0.02,0.29
J220423,Fe II,0.02,0.10,0.05,0.01,0.13
J220423,Co I,0.25,0.03,0.07,0.04,0.33
J220423,Ni I,0.16,0.01,0.02,0.01,0.18
J220423,Zn I,0.10,0.10,0.00,0.00,0.21
J220423,Sr II,0.02,0.02,0.20,0.05,0.21
J220423,Y II,0.07,0.03,0.03,0.00,0.11
J220423,Zr II,0.09,0.13,0.04,0.00,0.23
J220423,Ba II,0.13,0.16,0.08,0.05,0.33
J220423,La II,0.20,0.22,0.11,0.10,0.49
J220423,Pr II,0.16,0.07,0.03,0.04,0.26
J220423,Nd II,0.12,0.08,0.00,0.04,0.22
J220423,Eu II,0.09,0.08,0.01,0.02,0.18


