Table 10 
Abundance Results for BD+44deg493


Element	Ion	N_lines	log epsilon(X)	[X/H]	[X/Fe]	Note	
Li	I	Syn	1.00	 ... 	 ... 	6708 Aring	
Be	II	Syn	< - 1.8	 ... 	 ... 	3130 Aring	
C	CH	Syn	5.95	-2.48	+1.35		
N	NH	Syn	4.40	-3.43	+0.40		
O	OH	Syn	6.50	-2.19	+1.64		
O	I	1	<7.20	< - 1.49	< + 2.34	6300 Aring	
O	I	1	<7.00	< - 1.19	< + 2.14	7772 Aring	
Na	I	2	2.71	-3.53	+0.30	Na D lines	
Mg	I	8	4.23	-3.37	+0.46		
Al	I	1	2.06	-4.39	-0.56	3962 Aring	
Si	I	1	4.17	-3.34	+0.49	3906 Aring	
S	I	1	<4.35	< - 2.77	< + 1.06	9213 Aring	
K	I	1	<1.95	< - 3.08	< + 0.75	7699 Aring	
Ca	I	12	2.82	-3.52	+0.31		
Ca	II	1	2.98	-3.36	+0.47	3181 Aring	
Ca	II	3	3.42	-2.92	+0.91	Ca triplet	
Sc	II	12	-0.39	-3.54	+0.29		
Ti	I	7	1.48	-3.47	+0.36		
Ti	II	55	1.48	-3.47	+0.36		
V	I	1	<0.30	< - 3.63	< + 0.20	4379 Aring	
V	II	2	0.08	-3.85	-0.02		
Cr	I	6	1.44	-4.20	-0.37		
Cr	II	2	1.59	-4.05	-0.22		
Mn	I	2	0.49	-4.94	-1.11	4030 Aring	
Mn	II	3	0.81	-4.62	-0.79		
Fe	I	158	3.67	-3.83	+0.00		
Fe	II	11	3.68	-3.82	+0.01		
Co	I	20	1.70	-3.29	+0.54		
Ni	I	30	2.47	-3.75	+0.08		
Cu	I	2	-0.55	-4.74	-0.91		
Zn	I	1	<0.90	< - 3.66	< + 0.17	3345 Aring	
Sr	II	2	-1.19	-4.06	-0.23		
Y	II	1	-1.86	-4.07	-0.24	3601 Aring	
Zr	II	2	-1.21	-3.79	+0.04		
Ba	II	2	-2.25	-4.43	-0.60		
Eu	I	1	< - 2.90	< - 3.42	< + 0.41	3820 Aring	
Pb	I	1	< - 0.10	< - 1.85	< + 1.98	4058 Aring	
