ID,f_ID,RAh,RAm,RAs,DE-,DEd,DEm,DEs,gmag,g-i,Obs.Y,Obs.M,Obs.D,Texp,Slit,RVel,S/N45,S/N60
SMSS~J000113.96-363337.9,,0,1,13.96,-,36,33,37.9,14.375,1.014,2013,Jan,8,1200,0.7,243.3,49,51
SMSS~J001039.86-525851.4,,0,10,39.86,-,52,58,51.4,14.628,1.137,2013,Jan,8,1500,0.7,110.0,32,64
SMSS~J001952.15-525803.0,,0,19,52.15,-,52,58,3.0,15.378,1.176,2013,Jan,7,2720,0.7,154.8,28,52
SMSS~J002148.06-471132.1,,0,21,48.06,-,47,11,32.1,15.072,0.932,2013,Jan,7,1200,0.7,204.5,20,33
SMSS~J003055.81-482011.3,,0,30,55.81,-,48,20,11.3,13.98,1.119,2013,Jan,8,900,0.7,109.3,38,63
SMSS~J003327.36-491037.9,,0,33,27.36,-,49,10,37.9,15.656,0.974,2013,Jan,7,2400,0.7,84.7,40,49
SMSS~J004037.56-515025.2,,0,40,37.56,-,51,50,25.2,14.617,0.939,2013,Jan,7,2700,0.7,72.9,19,33
SMSS~J005953.98-594329.9,,0,59,53.98,-,59,43,29.9,14.925,0.381,2013,Nov,17,10140,0.7,376.7,78,105
SMSS~J010332.63-534654.3,,1,3,32.63,-,53,46,54.3,14.689,0.847,2013,Jan,8,1200,1.0,96.6,51,50
SMSS~J010651.91-524410.5,,1,6,51.91,-,52,44,10.5,14.134,1.025,2013,Jan,6,1800,1.0,189.5,67,83
SMSS~J010839.58-285701.5,,1,8,39.58,-,28,57,1.5,12.97,0.883,2013,Jan,8,600,1.0,137.7,42,56
SMSS~J012147.80-495328.2,,1,21,47.8,-,49,53,28.2,14.667,1.338,2013,Jan,7,3600,0.7,252.1,38,60
SMSS~J014624.60-352457.7,,1,46,24.6,-,35,24,57.7,13.397,0.889,2013,Jan,6,900,1.0,104.1,35,79
SMSS~J015350.94-775525.6,,1,53,50.94,-,77,55,25.6,14.589,1.255,2013,Jan,6,1800,1.0,235.4,29,54
SMSS~J015941.53-781408.7,,1,59,41.53,-,78,14,8.7,15.11,0.854,2013,Jan,6,1800,1.0,1.4,38,76
2MASS~J02031860-7930291,,2,3,18.6,-,79,30,29.1,,,2013,Jan,7,2000,0.7,23.3,40,86
SMSS~J020748.93-465616.4,,2,7,48.93,-,46,56,16.4,14.281,0.791,2013,Jan,8,1800,1.0,42.6,45,56
SMSS~J021323.26-495936.5,,2,13,23.26,-,49,59,36.5,14.456,0.851,2013,Jan,8,1500,1.0,56.7,32,70
SMSS~J021323.26-495936.5,,2,13,23.26,-,49,59,36.5,14.456,0.851,2013,Oct,26,1800,1.0,55.5,47,75
SMSS~J022410.38-534659.9,b,2,24,10.38,-,53,46,59.9,14.017,1.023,2012,Sep,8,1800,1.0,333.9,35,65
SMSS~J022410.38-534659.9,b,2,24,10.38,-,53,46,59.9,14.017,1.023,2013,Jan,6,1200,1.0,347.8,53,92
SMSS~J022423.27-573705.1,,2,24,23.27,-,57,37,5.1,13.777,0.864,2012,Sep,8,2700,1.0,289.9,18,38
SMSS~J022423.27-573705.1,,2,24,23.27,-,57,37,5.1,13.777,0.864,2013,Jan,6,1200,1.0,292.5,40,68
SMSS~J022423.27-573705.1,,2,24,23.27,-,57,37,5.1,13.777,0.864,2013,Oct,26,3600,1.0,290.0,60,72
SMSS~J022452.58-731051.8,,2,24,52.58,-,73,10,51.8,14.211,0.86,2012,Sep,8,1800,1.0,285.8,16,27
SMSS~J022545.31-774119.9,,2,25,45.31,-,77,41,19.9,15.543,0.775,2012,Sep,9,1800,1.0,262.9,19,33
SMSS~J022545.31-774119.9,,2,25,45.31,-,77,41,19.9,15.543,0.775,2013,Jan,7,1800,0.7,264.8,20,52
SMSS~J022756.48-684256.6,,2,27,56.48,-,68,42,56.6,15.582,0.883,2012,Sep,9,2400,1.0,356.9,35,36
SMSS~J023139.43-523957.4,,2,31,39.43,-,52,39,57.4,13.541,0.88,2013,Jan,8,600,1.0,146.1,38,49
SMSS~J023147.96-575341.7,,2,31,47.96,-,57,53,41.7,15.336,0.858,2013,Jan,6,1800,1.0,219.2,32,50
SMSS~J024643.28-352502.4,,2,46,43.28,-,35,25,2.4,15.69,0.916,2013,Jan,6,1800,1.0,-7.2,26,46
SMSS~J024858.41-684306.4,,2,48,58.41,-,68,43,6.4,13.861,0.42,2013,Jan,25,3600,1.0,-239.2,67,98
2MASS~J03084611-4747083,,3,8,46.11,-,47,47,8.3,,,2013,Jan,8,1800,1.0,2.9,31,67
SMSS~J031556.09-473442.1,,3,15,56.09,-,47,34,42.1,15.315,0.79,2013,Jan,6,1800,1.0,192.3,19,30
SMSS~J032132.29-363123.6,,3,21,32.29,-,36,31,23.6,15.721,0.958,2011,Nov,2,3600,0.7,88.0,48,73
SMSS~J032132.29-363123.6,,3,21,32.29,-,36,31,23.6,15.721,0.958,2012,Sep,9,2400,1.0,88.6,28,43
SMSS~J032132.29-363123.6,,3,21,32.29,-,36,31,23.6,15.721,0.958,2013,Jan,8,2000,0.7,89.4,28,49
SMSS~J033005.90-681352.5,,3,30,5.9,-,68,13,52.5,13.987,0.541,2013,Jan,23,1800,1.0,-315.2,21,50
SMSS~J034249.53-284216.0,,3,42,49.53,-,28,42,16.0,14.881,0.94,2013,Jan,7,2000,0.7,159.7,23,39
SMSS~J040148.04-743537.3,,4,1,48.04,-,74,35,37.3,13.488,0.545,2013,Jan,24,1800,1.0,-205.5,3,72
SMSS~J041957.56-493818.3,,4,19,57.56,-,49,38,18.3,13.795,1.098,2013,Jan,8,900,0.7,113.6,37,55
SMSS~J051008.62-372019.8,,5,10,8.62,-,37,20,19.8,13.271,0.71,2013,Jan,6,1200,1.0,372.8,82,111
SMSS~J055746.51-575057.4,,5,57,46.51,-,57,50,57.4,13.904,0.387,2013,Nov,17,900,0.7,-143.6,35,46
SMSS~J061725.30-600740.6,,6,17,25.3,-,60,7,40.6,14.003,0.541,2013,Nov,17,1353,0.7,-220.2,38,57
SMSS~J062609.83-590503.2,,6,26,9.83,-,59,5,3.2,14.179,0.475,2013,Nov,19,2169,0.7,-110.0,49,66
SMSS~J063447.15-622355.0,,6,34,47.15,-,62,23,55.0,13.306,0.884,2013,Nov,18,1951,0.7,-239.7,58,111
SMSS~J064349.43-653038.6,,6,43,49.43,-,65,30,38.6,13.383,0.7,2013,Nov,18,900,0.7,-220.9,52,78
SMSS~J065014.40-614328.0,,6,50,14.4,-,61,43,28.0,13.706,0.853,2013,Nov,18,900,0.7,-41.2,42,68
SMSS~J070257.95-600422.4,,7,2,57.95,-,60,4,22.4,14.032,0.599,2013,Nov,17,2100,0.7,-108.6,40,70
SMSS~J080050.54-724620.6,,8,0,50.54,-,72,46,20.6,13.864,0.894,2013,Jan,23,1800,1.0,-308.8,28,54
SMSS~J085924.06-120104.9,,8,59,24.06,-,12,1,4.9,13.92,0.741,2013,Jan,23,1800,1.0,-187.6,50,76
