# choosing to use the weighted values... (see paper)
Name,Species,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
DES J033523-540407,C-H,2,,5.97,,-2.46,,0.58
DES J033523-540407,C-N,1,,6.23,,-1.60,,1.44
DES J033523-540407,O I,2,,7.14,,-1.55,,1.49
DES J033523-540407,Na I,2,,3.52,,-2.72,,0.33
DES J033523-540407,Mg I,10,,5.03,,-2.57,,0.47
DES J033523-540407,Al I,2,,2.94,,-3.51,,-0.47
DES J033523-540407,Si I,2,,4.92,,-2.59,,0.46
DES J033523-540407,K I,1,,2.40,,-2.63,,0.41
DES J033523-540407,Ca I,21,,3.57,,-2.77,,0.27
DES J033523-540407,Sc II,9,,0.10,,-3.05,,-0.19
DES J033523-540407,Ti I,23,,2.04,,-2.91,,0.13
DES J033523-540407,Ti II,44,,2.36,,-2.59,,0.27
DES J033523-540407,V I,1,,0.70,,-3.23,,-0.19
DES J033523-540407,V II,1,,1.14,,-2.79,,0.07
DES J033523-540407,Cr I,17,,2.42,,-3.22,,-0.18
DES J033523-540407,Cr II,1,,2.99,,-2.65,,0.21
DES J033523-540407,Mn I,7,,1.96,,-3.47,,-0.43
DES J033523-540407,Fe I,222,,4.46,,-3.04,,0.00
DES J033523-540407,Fe II,25,,4.64,,-2.86,,0.00
DES J033523-540407,Co I,6,,1.88,,-3.11,,-0.07
DES J033523-540407,Ni I,19,,3.19,,-3.03,,0.01
DES J033523-540407,Cu I,1,<,1.08,<,-3.11,<,-0.06
DES J033523-540407,Zn I,2,,1.96,,-2.60,,0.44
DES J033523-540407,Rb I,1,<,1.39,<,-1.13,<,-1.92
DES J033523-540407,Sr II,2,,0.45,,-2.42,,0.44
DES J033523-540407,Y II,6,,-0.27,,-2.48,,0.38
DES J033523-540407,Zr II,6,,0.39,,-2.19,,0.67
DES J033523-540407,Mo I,1,,-0.12,,-2.00,,1.04
DES J033523-540407,Ru I,1,,-0.12,,-1.88,,1.17
DES J033523-540407,Rh I,1,<,0.11,<,-0.80,<,-2.25
DES J033523-540407,Ba II,5,,0.12,,-2.06,,0.80
DES J033523-540407,La II,6,,-0.61,,-1.71,,1.15
DES J033523-540407,Ce II,26,,-0.34,,-1.92,,0.94
DES J033523-540407,Pr II,9,,-0.92,,-1.64,,1.22
DES J033523-540407,Nd II,58,,-0.24,,-1.66,,1.19
DES J033523-540407,Sm II,29,,-0.49,,-1.45,,1.41
DES J033523-540407,Eu II,9,,-0.79,,-1.31,,1.55
DES J033523-540407,Gd II,10,,-0.28,,-1.35,,1.51
DES J033523-540407,Tb II,4,,-1.12,,-1.42,,1.44
DES J033523-540407,Dy II,4,,-0.07,,-1.17,,1.69
DES J033523-540407,Ho II,4,,-0.84,,-1.32,,1.54
DES J033523-540407,Er II,7,,-0.20,,-1.12,,1.74
DES J033523-540407,Tm II,2,,-1.29,,-1.39,,1.47
DES J033523-540407,Yb II,1,,-0.67,,-1.51,,1.35
DES J033523-540407,Hf II,1,,-0.85,,-1.70,,1.16
DES J033523-540407,Os I,2,,0.07,,-1.33,,1.72
DES J033523-540407,Ir I,1,,0.12,,-1.26,,1.78
DES J033523-540407,Pb I,1,<,0.29,<,-1.46,<,1.59
DES J033523-540407,Th II,1,,-1.63,,-1.65,,1.21
DES J033523-540407,U II,1,<,-1.50,<,-0.96,<,1.91
