Name,Ion,N,logepsX_sun,l_logepsX,logepsX
J0715-7334_LTE,Li I,1,3.30,<,0.33
J0715-7334_LTE,C-H,1,8.51,<,3.88
J0715-7334_LTE,N-H,1,7.94,<,4.56
J0715-7334_LTE,O I,1,8.76,<,6.91
J0715-7334_LTE,Na I,2,6.30,,1.86
J0715-7334_LTE,Mg I,6,7.57,,3.23
J0715-7334_LTE,Al I,2,6.46,,1.12
J0715-7334_LTE,Si I,1,7.55,,3.04
J0715-7334_LTE,K I,1,5.12,<,2.18
J0715-7334_LTE,Ca I,2,6.33,,1.87
J0715-7334_LTE,Ca II,2,6.33,,2.05
J0715-7334_LTE,Sc II,3,3.08,,-1.43
J0715-7334_LTE,Ti II,13,4.94,,0.29
J0715-7334_LTE,Cr I,2,5.67,,0.57
J0715-7334_LTE,Mn I,1,5.52,,-0.12
J0715-7334_LTE,Fe I,58,7.49,,2.97
J0715-7334_LTE,Fe II,6,7.49,,2.76
J0715-7334_LTE,Co I,2,4.91,,0.51
J0715-7334_LTE,Ni I,6,6.25,,1.28
J0715-7334_LTE,Zn I,1,4.65,<,1.49
J0715-7334_LTE,Sr II,1,2.93,<,-3.35
J0715-7334_LTE,Ba II,1,2.22,<,-3.31
J0715-7334_NLTE,Li I,1,3.30,<,0.33
J0715-7334_NLTE,C-H,1,8.51,<,3.99
J0715-7334_NLTE,N-H,1,7.94,<,4.56
J0715-7334_NLTE,O I,1,8.76,<,6.91
J0715-7334_NLTE,Na I,2,6.30,,1.92
J0715-7334_NLTE,Mg I,6,7.57,,3.49
J0715-7334_NLTE,Al I,2,6.46,,1.43
J0715-7334_NLTE,Si I,1,7.55,,3.28
J0715-7334_NLTE,K I,1,5.12,<,2.18
J0715-7334_NLTE,Ca I,2,6.33,,2.08
J0715-7334_NLTE,Ca II,2,6.33,,2.07
J0715-7334_NLTE,Sc II,3,3.08,,-1.43
J0715-7334_NLTE,Ti II,13,4.94,,0.62
J0715-7334_NLTE,Cr I,2,5.67,,0.60
J0715-7334_NLTE,Mn I,1,5.52,,0.56
J0715-7334_NLTE,Fe I,58,7.49,,3.19
J0715-7334_NLTE,Fe II,6,7.49,,2.76
J0715-7334_NLTE,Co I,2,4.91,,1.39
J0715-7334_NLTE,Ni I,6,6.25,,1.28
J0715-7334_NLTE,Zn I,1,4.65,<,1.49
J0715-7334_NLTE,Sr II,1,2.93,<,-3.35
J0715-7334_NLTE,Ba II,1,2.22,<,-3.31
