Name,Other Name,Simbad_Identifier,System,RA_hms,DEC_dms,V_0,(b-y)_0,Teff,logg,M/H,Vmic
12175,,[AFK2009] 12175,Hercules,16:31:15.82,+12:34:56.57,18.53,0.78,4370,0.78,-3.17,2.17
12729,,[AFK2009] 12729,Hercules,16:31:07.50,+12:31:33.82,19.65,0.63,4640,1.40,-2.35,1.94
40789,,[AFK2009] 40789,Hercules,16:31:29.77,+12:44:25.08,19.33,0.63,4600,1.24,-2.88,2.00
40993,,[AFK2009] 40993,Hercules,16:31:25.04,+12:45:29.20,19.53,0.63,4600,1.33,-2.38,1.97
41460,,[AFK2009] 41460,Hercules,16:31:14.06,+12:45:26.68,19.40,0.64,4590,1.27,-3.10,1.99
41743,,[AFK2009] 41743,Hercules,16:31:08.13,+12:48:06.12,19.25,0.66,4520,1.19,-2.42,2.02
42096,,[AFK2009] 42096,Hercules,16:31:00.63,+12:49:31.80,19.40,0.62,4620,1.27,-2.60,1.99
42149,,[AFK2009] 42149,Hercules,16:30:59.32,+12:47:25.62,19.01,0.66,4540,1.06,-2.95,2.07
42241,Her-2,[AFK2009] 42241,Hercules,16:30:57.24,+12:47:20.33,18.53,0.78,4270,0.78,-2.03,2.17
42324,,[AFK2009] 42324,Hercules,16:30:55.47,+12:46:10.85,19.53,0.57,4740,1.33,-2.70,1.97
42795,,[AFK2009] 42795,Hercules,16:30:44.50,+12:49:47.86,19.32,0.63,4620,1.22,-3.17,2.01
