Name,Ion,l_[X/H],[X/H],l_[X/Fe],[X/Fe]
BooI-01,Fe I,,-2.34,,
BooI-01,C-H,,,,-0.50
BooI-02,Fe I,,-2.37,,
BooI-02,C-H,,,,0.36
BooI-03,Fe I,,-3.09,,
BooI-03,C-H,,,,0.79
BooI-04,Fe I,,-2.39,,
BooI-04,C-H,,,,0.34
BooI-05,Fe I,,-2.89,,
BooI-05,C-H,<,,<,0.00
BooI-06,Fe I,,-2.20,,
BooI-06,C-H,,,,0.64
BooI-07,Fe I,,-2.49,,
BooI-07,C-H,,,,0.39
BooI-08,Fe I,,-2.48,,
BooI-08,C-H,,,,0.32
BooI-09,Fe I,,-2.65,,
BooI-09,C-H,,,,0.90
BooI-10,Fe I,,-2.59,,
BooI-10,C-H,<,,<,0.00
BooI-11,Fe I,,-2.43,,
BooI-11,C-H,,,,-0.05
BooI-12,Fe I,,-2.48,,
BooI-12,C-H,,,,0.24
BooI-13,Fe I,,-2.49,,
BooI-13,C-H,<,,<,0.00
BooI-14,Fe I,,-2.57,,
BooI-14,C-H,<,,<,0.00
BooI-15,Fe I,,-2.89,,
BooI-15,C-H,<,,<,0.00
BooI-18,Fe I,,-2.51,,
BooI-18,C-H,,,,0.44
BooI-19,Fe I,,-3.29,,
BooI-19,C-H,,,,0.40
BooI-20,Fe I,,-2.42,,
BooI-20,C-H,,,,-0.35
BooI-21,Fe I,,-3.79,,
BooI-21,C-H,,,,2.20
BooI-22,Fe I,,-2.87,,
BooI-22,C-H,,,,-0.16
BooI-23,Fe I,,-2.90,,
BooI-23,C-H,,,,1.86
BooI-24,Fe I,,-1.65,,
BooI-24,C-H,,,,-0.80
BooI-25,Fe I,,-2.76,,
BooI-25,C-H,,,,1.34
BooI-28,Fe I,,-2.31,,
BooI-28,C-H,,,,0.27
BooI-30,Fe I,,-1.86,,
BooI-30,C-H,,,,0.38
