Star,SNR5280,Teff,logg,[Fe/H],[alpha/Fe],l_[C/Fe],[C/Fe],Teff_lit,logg_lit,[Fe/H]_lit,[alpha/Fe]_lit
M5 I-2,30,4359,2.06,-1.36,,,<0.00,4540,1.52,-1.15,0.31
M5 I-4,35,4638,2.22,-1.19,0.33,,-0.27,,,,
M5 I-50,29,4581,2.39,-1.25,0.29,,-0.66,4590,1.55,-1.18,0.28
M5 I-58,37,4571,2.10,-1.01,0.09,,-0.72,4400,1.60,-1.10,0.28
M5 I-61,35,4567,1.89,-1.36,0.23,,-0.39,4425,1.27,-1.17,0.28
M5 I-68,50,4000,1.81,-1.04,,,<0.00,4066,0.63,-1.17,0.29
M5 I-71,41,4373,2.05,-1.01,,,-0.52,4360,1.12,-1.08,0.26
M5 II-50,29,4980,2.23,-0.88,0.06,,-0.15,4590,1.57,-1.18,0.24
M5 II-59,37,4541,2.06,-1.27,0.11,,-0.71,4450,1.27,-1.08,0.27
M15 K144,138,4706,1.15,-2.20,0.11,,-0.52,4425,0.75,-2.26,0.29
M15 K169,92,4527,1.42,-2.29,0.21,,-0.90,4400,0.65,-2.37,0.32
M15 K255,31,4571,1.43,-2.38,0.19,,0.74,4640,1.40,-2.30,0.18
M15 K341,37,4333,1.35,-2.04,,,-0.98,4275,0.45,-2.28,0.51
M15 K431,45,4939,1.89,-2.05,0.29,,-0.48,4375,0.50,-2.36,0.43
M15 K553,53,4925,2.35,-2.43,0.21,,<0.00,4855,2.00,-2.30,0.27
M15 K64,39,4764,1.77,-2.67,0.30,,<0.00,5100,2.25,-2.30,
M15 K875,20,5268,2.28,-2.09,0.05,,<0.00,4775,1.65,-2.30,0.40
