Name,Teff,e_Teff,logg,e_logg,M/H,e_M/H,Vmic,e_Vmic
# Stellar parameters of C-19 stars observed with Gemini/GRACES spectra
C19-01984,4928,100,1.83,0.10,-3.21,0.17,2.13,0.10
C19-99008,4881,100,1.64,0.10,-3.30,0.15,2.20,0.10
C19-00352,4958,100,1.89,0.10,-3.15,0.17,2.12,0.10
# Stellar parameters of C-19 stars observed with GTC/OSIRIS
C19-92544,5230,100,2.73,0.10,-3.51,0.15,,
C19-41344,5280,100,2.71,0.10,-3.49,0.17,,
# C19-99008,4881,100,1.64,0.10,-3.37,0.14,,
C19-38656,5248,100,2.76,0.10,-3.45,0.16,,
C19-71392,4570,100,1.07,0.10,-3.23,0.19,,
C19-28384,5193,100,2.60,0.10,-3.45,0.15,,
