Name,Species,lambda,chi,loggf,f_loggf,EW,logepsX
Boo-1137,Na I,5889.951,0.00,0.11,,93.9,2.42
Boo-1137,Na I,5895.924,0.00,-0.19,,77.8,2.48
Boo-1137,Mg I,3829.355,2.71,-0.21,,115.7,4.03
Boo-1137,Mg I,3832.304,2.71,0.15,,153.1,4.42
Boo-1137,Mg I,3838.290,2.72,0.41,,152.1,4.15
Boo-1137,Mg I,4351.906,4.34,-0.52,,44.6,4.89
Boo-1137,Mg I,4702.991,4.35,-0.67,a,23.4,4.64
Boo-1137,Mg I,5172.684,2.71,-0.38,,130.2,4.17
Boo-1137,Mg I,5183.604,2.72,-0.16,,142.1,4.19
Boo-1137,Mg I,5528.405,4.34,-0.34,,22.2,4.24
Boo-1137,Al I,3944.006,0.00,-0.64,,79.4,2.18
Boo-1137,Al I,3961.520,0.01,-0.34,,86.2,2.01
Boo-1137,Si I,3905.523,1.91,-1.09,,147.6,4.62
Boo-1137,Ca I,4226.728,0.00,0.24,,135.6,2.74
Boo-1137,Ca I,4283.011,1.89,-0.22,,22.8,3.17
Boo-1137,Ca I,4454.779,1.90,0.26,,52.5,3.24
Boo-1137,Ca I,5588.749,2.52,0.21,,12.7,3.11
Boo-1137,Ca I,6102.723,1.88,-0.79,,8.4,3.14
Boo-1137,Ca I,6122.217,1.89,-0.32,,24.1,3.21
Boo-1137,Ca I,6162.173,1.90,-0.09,,33.1,3.17
Boo-1137,Ca I,6439.075,2.52,0.47,,19.2,3.03
Boo-1137,Ca I,6493.781,2.52,-0.11,a,22.5,3.69
Boo-1137,Sc II,4246.822,0.31,0.24,,74.1,-0.93
Boo-1137,Sc II,4314.083,0.62,-0.10,,35.3,-0.78
Boo-1137,Sc II,4400.389,0.61,-0.54,,22.9,-0.59
Boo-1137,Ti I,3998.636,0.05,-0.06,,48.5,1.88
Boo-1137,Ti I,4981.731,0.84,0.50,,27.4,1.80
Boo-1137,Ti I,4991.065,0.84,0.38,,21.5,1.79
Boo-1137,Ti I,4999.503,0.83,0.25,,22.7,1.93
Boo-1137,Ti I,5210.385,0.05,-0.88,,12.4,1.81
Boo-1137,Ti I,3759.296,0.61,0.27,,141.2,1.55
Boo-1137,Ti I,3761.323,0.57,0.17,,156.3,1.89
Boo-1137,Ti I,3913.468,1.12,-0.41,,100.6,1.78
Boo-1137,Ti I,4012.385,0.57,-1.75,,73.3,1.85
Boo-1137,Ti I,4290.219,1.16,-0.93,,68.8,1.62
Boo-1137,Ti I,4300.049,1.18,-0.49,,82.2,1.44
