ID,Name,Teff,logg,M/H,Vmic,Reference
7,BooI-7,4800,1.6,-2.32,,Norris+2010c
8,BooI-8,5090,2.3,-2.75,,Norris+2010c
9,BooI-9,4630,1.1,-2.67,,Norris+2010c
34,BooI-34,4840,1.6,-3.10,,Norris+2010c
78,BooI-78,4950,1.9,-2.46,,Norris+2010c
121,BooI-121,4630,1.1,-2.37,,Norris+2010c
911,BooI-911,4540,1.1,-1.98,,Norris+2010c
980,BooI-980,4890,1.7,-3.09,,Norris+2010c
1069,BooI-1069,5050,2.2,-2.51,,Norris+2010c
7,Seg1-7,4960,1.9,-3.5,,Norris+2010c
31,Seg1-31,5420,3.3,-1.9,,Norris+2010c
42,Seg1-42,5570,3.7,-1.5,,Norris+2010c
71,Seg1-71,5200,2.6,-2.2,,Norris+2010c
98,Seg1-98,5150,2.4,,,Norris+2010c
# 1137,BooI-1137,4710,1.2,-3.66,,Norris+2010a
# 33,BooI-33,4730,1.4,-2.29,,Gilmore+2013
# 41,BooI-41,4750,1.6,-1.93,,Gilmore+2013
# 94,BooI-94,4570,0.8,-2.90,,Gilmore+2013
# 117,BooI-117,4700,1.4,-2.25,,Gilmore+2013
# 127,BooI-127,4670,1.4,-2.08,,Gilmore+2013
# 130,BooI-130,4750,1.4,-2.29,,Gilmore+2013
# 3451364,Seg1-3451364,5190,2.8,-3.3,,Geha+2009
