Name,Simbad_Identifier,System,sgr_position,RA_hms,DEC_dms,RA_deg,DEC_deg,lambda,beta,comp,Vel,vhel,vhelcorr,Teff,e_Teff,logg,e_logg,M/H,e_M/H,Vmic,e_Vmic,UT-DATE,UT-TIME,BINNING,EXPTIME,SLITSIZE
srg421,Gaia DR3 620763790933951488,Sagittarius,stream,09:36:00.01,+17:07:21.40,144.000042,17.12261,216.9,11.58,stream,169.7,141.0,-28.68,4655,122,1.14,0.2,-2.8,0.21,2.23,0.27,2023-05-24,84175,2x2,1320,1 arcsec
srg422,Gaia DR3 626434144197068160,Sagittarius,stream,09:57:30.02,+18:30:17.42,149.375083,18.50484,221.71,9.19,stream,-32.0,-60.9,-28.91,5026,123,2.06,0.2,-2.02,0.23,1.9,0.35,2023-05-25,82094,2x2,4163,1 arcsec
srg423,Gaia DR3 722010223233565952,Sagittarius,stream,10:21:32.33,+21:46:38.75,155.384708,21.77743,226.41,4.64,stream,-13.9,-42.7,-28.76,4722,122,1.29,0.2,-2.51,0.21,2.1,0.29,2023-05-24,85846,2x2,2100,1 arcsec
srg424,Gaia DR3 720678611573056384,Sagittarius,stream,10:28:03.83,+20:16:15.92,157.015958,20.27109,228.3,5.67,stream,-12.0,-40.9,-28.88,4814,122,1.5,0.2,-2.49,0.21,1.9,0.31,2023-05-25,85434,2x2,1500,1 arcsec
srg426,Gaia DR3 3987367858589682432,Sagittarius,stream,10:35:36.77,+20:33:51.44,158.903208,20.56429,229.92,4.88,stream,-21.5,-50.2,-28.75,4750,122,1.36,0.2,-2.94,0.22,2.23,0.28,2023-05-25,1760,2x2,2100,1 arcsec
srg428,Gaia DR3 3897736907644138368,Sagittarius,stream,11:49:35.97,+06:15:31.86,177.399875,6.25885,252.04,11.78,stream,219.9,193.0,-26.92,4790,123,1.48,0.2,-2.4,0.22,2.15,0.3,2023-05-25,4156,2x2,1200,1 arcsec
srg430,Gaia DR3 3918753557013284608,Sagittarius,stream,12:05:57.78,+11:26:28.07,181.49075,11.44113,253.52,5.37,stream,7.0,-19.2,-26.15,4280,122,0.4,0.2,-2.42,0.21,2.15,0.25,2023-05-25,5531,2x2,2106,1 arcsec
sgr431,Gaia DR3 3707325064494295552,Sagittarius,stream,12:36:03.09,+04:22:23.34,189.012875,4.37315,263.42,8.34,stream,39.4,10.4,-28.97,4659,123,1.15,0.2,-2.82,0.23,2.12,0.39,2023-06-25,81879,2x2,4794,1 arcsec
sgr434,Gaia DR3 3708871630677912320,Sagittarius,stream,12:48:19.63,+05:44:47.26,192.081792,5.74646,265.49,5.69,stream,19.9,-8.8,-28.69,4846,123,1.57,0.2,-2.68,0.22,1.89,0.32,2023-06-25,83246,2x2,2754,1 arcsec
srg438,Gaia DR3 3742595885684658560,Sagittarius,stream,13:17:16.33,+12:51:15.12,199.318042,12.8542,268.31,-3.98,stream,-79.6,-100.8,-21.25,5274,123,2.6,0.2,-2.52,0.22,1.38,0.3,2023-05-26,10681,2x2,3990,1 arcsec
