Name,[Eu II/Mg I],e_[Eu II/Mg I],[Eu II/Fe II],e_[Eu II/Fe II],[Sr II/Ba II],e_[Sr II/Ba II],[Sr II/Mg I],e_[Sr II/Mg I],[Eu II/Ba II],e_[Eu II/Ba II],[Eu II/Sr II],e_[Eu II/Sr II]
srg421,0.56,0.14,1.14,0.06,-0.22,0.1,-0.32,0.21,0.66,0.14,0.88,0.23
srg422,0.53,0.2,0.43,0.16,-0.22,0.15,-0.01,0.16,0.31,0.23,0.54,0.16
srg423,-0.06,0.13,0.24,0.08,0.34,0.16,-0.38,0.19,0.67,0.08,0.33,0.22
srg424,-0.32,0.2,0.03,0.13,0.44,0.29,-0.66,0.3,0.78,0.12,0.34,0.33
srg426,-0.16,0.14,0.08,0.06,0.18,0.25,-0.75,0.26,0.77,0.06,0.59,0.27
srg428,0.43,0.18,0.64,0.11,-0.28,0.15,-0.43,0.25,0.58,0.17,0.86,0.29
srg430,-0.3,0.24,-0.07,0.13,0.48,0.06,-0.31,0.18,0.49,0.11,0.01,0.12
sgr431,0.52,0.26,0.47,0.14,1.19,0.08,1.08,0.18,0.63,0.14,-0.56,0.13
sgr434,,,,,0.91,0.18,0.18,0.19,,,,
srg438,,,,,0.28,0.25,-0.4,0.26,,,,
srg441,-0.72,0.27,-0.58,0.11,0.13,0.12,-0.85,0.26,0.25,0.09,0.12,0.18
srg442,,,,,1.66,0.25,0.59,0.16,,,,
srg449,,,,,0.99,0.36,-0.08,0.26,,,,
srg452,,,,,0.72,0.23,-1.09,0.23,,,,
sgr453,0.06,0.25,0.18,0.19,-0.36,0.21,-0.71,0.29,0.4,0.19,0.76,0.27
sgr459,-0.74,0.26,-0.44,0.15,0.49,0.12,-0.63,0.25,0.38,0.12,-0.11,0.2
srg460,,,,,1.08,0.3,-0.3,0.24,,,,
srg462,0.16,0.17,0.57,0.13,0.21,0.11,-0.17,0.2,0.54,0.13,0.33,0.23
srg463,-0.61,0.19,-0.35,0.1,0.82,0.08,-0.03,0.14,0.24,0.09,-0.58,0.14
srg468,-0.04,0.19,0.35,0.1,0.01,0.19,-0.66,0.25,0.63,0.12,0.62,0.28
sgr2,,,,,0.85,0.14,0.08,0.15,,,,
sgr471,,,,,-0.82,0.26,-1.7,0.3,,,,
sgr476,,,,,1.24,0.1,0.04,0.18,,,,
sgr69,-0.43,0.29,-0.13,0.14,0.45,0.16,-0.32,0.27,0.34,0.15,-0.11,0.22
srg482,,,,,0.16,0.05,-0.07,0.14,,,,
sgr4,,,,,1.04,0.29,-0.51,0.28,,,,
sgr38,,,,,1.57,0.16,0.34,0.18,,,,
srg484,,,,,0.83,0.33,-0.48,0.27,,,,
sgr488,,,,,0.66,0.31,-0.57,0.26,,,,
sgr492,,,,,0.46,0.4,-0.75,0.31,,,,
srg495,-0.57,0.22,-0.12,0.11,0.63,0.17,-0.53,0.21,0.59,0.08,-0.04,0.24
srg496,,,,,1.25,0.27,-0.24,0.22,,,,
sgr9,0.64,0.25,0.57,0.16,-0.16,0.15,0.09,0.18,0.39,0.2,0.55,0.15
sgr504_2,-0.3,0.21,-0.02,0.11,0.7,0.14,-0.1,0.19,0.51,0.11,-0.19,0.22
sgr505,,,,,0.76,0.38,-0.56,0.34,,,,
srg509,,,,,1.02,0.33,-0.25,0.28,,,,
srg512,,,,,0.86,0.35,-0.51,0.31,,,,
