Name,Simbad_Identifier,System,Species,N,l_logepsX,logepsX,[X/Fe],e_[X/Fe]
J002518,J00251849-7140074,SMC,Na I,2,,4.187,0.300,0.264
#J002518,J00251849-7140074,SMC,Na I_NLTE,2,,4.072,0.166,
J002518,J00251849-7140074,SMC,Mg I,2,,5.710,0.493,0.287
J002518,J00251849-7140074,SMC,Si I,3,,5.864,0.687,0.174
J002518,J00251849-7140074,SMC,K I,1,,3.569,0.832,0.192
#J002518,J00251849-7140074,SMC,K I_NLTE,1,,2.854,0.157,
J002518,J00251849-7140074,SMC,Ca I,14,,4.581,0.614,0.132
J002518,J00251849-7140074,SMC,Sc II,5,,0.736,-0.071,0.079
J002518,J00251849-7140074,SMC,Ti I,13,,3.265,0.628,0.164
J002518,J00251849-7140074,SMC,Ti II,5,,3.307,0.670,0.125
J002518,J00251849-7140074,SMC,Cr I,6,,3.632,0.345,0.289
J002518,J00251849-7140074,SMC,MN I,2,,3.032,-0.055,0.143
J002518,J00251849-7140074,SMC,Fe I,31,,5.294,,
J002518,J00251849-7140074,SMC,Fe II,24,,5.163,,
J002518,J00251849-7140074,SMC,Co I,3,,3.321,0.714,0.214
J002518,J00251849-7140074,SMC,Ni I,14,,4.172,0.305,0.144
J002518,J00251849-7140074,SMC,Cu I,1,,2.073,0.226,0.144
J002518,J00251849-7140074,SMC,ZN I,,,,,
J002518,J00251849-7140074,SMC,Y II,2,,-0.215,-0.092,0.205
J002518,J00251849-7140074,SMC,Ba II,3,,-0.205,-0.142,0.264
J002518,J00251849-7140074,SMC,La II,,,,,
J002518,J00251849-7140074,SMC,Ce II,2,,-0.664,0.089,0.062
J002518,J00251849-7140074,SMC,Nd II,2,,-1.009,-0.096,0.188
J002518,J00251849-7140074,SMC,Sm II,1,,-0.865,0.518,0.056
J002518,J00251849-7140074,SMC,Gd II,1,,0.005,1.258,0.133
J002518,J00251849-7140074,SMC,Eu II,1,,-0.960,0.853,0.300
J002623,J00262394-7128549,SMC,Na I,3,,3.974,-0.222,0.210
#J002623,J00262394-7128549,SMC,Na I_NLTE,3,,3.877,-0.339,
J002623,J00262394-7128549,SMC,Mg I,2,,5.662,0.136,0.211
