Name,Ion,N,l_logepsX,logepsX,e_logepsX_stat,e_logepsX
HD 2454,Fe I,69,,+6.78,0.10,0.21
HD 2454,Fe II,7,,+7.06,0.21,0.36
HD 2454,Zn I,3,,+3.97,0.07,0.20
HD 2454,Zn II,0,,,,
HD 2454,Ge I,1,,+2.70,0.14,0.24
HD 2454,As I,2,<,+2.9,,
HD 2454,Se I,1,<,+3.3,,
HD 2454,Sr II,0,,,,
HD 2454,Zr II,3,,+2.66,0.06,0.30
HD 2454,Ba II,2,,+2.58,0.12,0.31
HD 2454,La II,4,,+1.11,0.09,0.30
HD 2454,Eu II,1,,+0.04,0.10,0.31
HD 2454,Pt I,0,,,,
HD 2454,Pb I,1,,+2.08,0.10,0.21
HD 16220,Fe I,51,,+6.94,0.14,0.24
HD 16220,Fe II,7,,+7.09,0.22,0.36
HD 16220,Zn I,3,,+4.11,0.06,0.20
HD 16220,Zn II,0,,,,
HD 16220,Ge I,1,,+3.11,0.32,0.37
HD 16220,As I,1,<,+3.1,,
HD 16220,Se I,1,,+2.83,0.30,0.36
HD 16220,Sr II,0,,,,
HD 16220,Zr II,6,,+2.33,0.05,0.29
HD 16220,Ba II,3,,+1.99,0.33,0.44
HD 16220,La II,4,,+0.82,0.06,0.30
HD 16220,Eu II,1,,+0.14,0.10,0.31
HD 16220,Pt I,0,,,,
HD 16220,Pb I,0,,,,
HD 76932,Fe I,112,,+6.32,0.12,0.22
HD 76932,Fe II,11,,+6.58,0.12,0.31
HD 76932,Zn I,4,,+3.71,0.06,0.20
HD 76932,Zn II,0,,,,
HD 76932,Ge I,1,,+2.40,0.14,0.24
HD 76932,As I,1,,+1.70,0.31,0.36
HD 76932,Se I,2,,+2.41,0.16,0.25
HD 76932,Sr II,0,,,,
HD 76932,Zr II,11,,+1.95,0.06,0.30
HD 76932,Ba II,2,,+1.12,0.31,0.42
HD 76932,La II,4,,+0.24,0.09,0.30
HD 76932,Eu II,3,,-0.13,0.07,0.30
HD 76932,Pt I,0,,,,
HD 76932,Pb I,1,,+1.28,0.10,0.21
HD 94028,Fe I,44,,+5.75,0.09,0.21
HD 94028,Fe II,6,,+5.88,0.05,0.29
HD 94028,Zn I,3,,+3.09,0.06,0.20
HD 94028,Zn II,1,,+3.26,0.10,0.31
HD 94028,Ge I,3,,+1.56,0.17,0.26
HD 94028,As I,1,,+1.21,0.21,0.28
HD 94028,Se I,3,,+2.06,0.17,0.25
HD 94028,Sr II,2,,+1.51,0.07,0.30
HD 94028,Zr II,6,,+1.46,0.07,0.30
HD 94028,Ba II,2,,+0.68,0.13,0.32
HD 94028,La II,4,,-0.28,0.05,0.29
HD 94028,Eu II,1,,-0.88,0.10,0.31
HD 94028,Pt I,1,,+0.20,0.10,0.21
HD 94028,Pb I,1,<,+1.3,,
HD 107113,Fe I,58,,+6.71,0.08,0.21
HD 107113,Fe II,5,,+6.97,0.07,0.30
HD 107113,Zn I,3,,+3.83,0.06,0.20
HD 107113,Zn II,0,,,,
HD 107113,Ge I,1,,+2.54,0.22,0.29
HD 107113,As I,1,,+1.87,0.31,0.36
HD 107113,Se I,1,,+2.77,0.21,0.28
HD 107113,Sr II,0,,,,
HD 107113,Zr II,1,,+2.06,0.10,0.31
HD 107113,Ba II,2,,+1.82,0.14,0.32
HD 107113,La II,4,,+0.67,0.05,0.29
HD 107113,Eu II,1,<,+0.4,,
HD 107113,Pt I,0,,,,
HD 107113,Pb I,0,,,,
HD 140283,Fe I,109,,+4.79,0.05,0.20
HD 140283,Fe II,28,,+4.88,0.06,0.30
HD 140283,Zn I,2,,+2.13,0.07,0.20
HD 140283,Zn II,1,,+2.27,0.10,0.31
HD 140283,Ge I,4,<,+0.6,,
HD 140283,As I,1,,+0.09,0.21,0.28
HD 140283,Se I,3,,+0.60,0.24,0.31
HD 140283,Sr II,2,,+0.09,0.07,0.30
HD 140283,Zr II,3,,-0.15,0.08,0.30
HD 140283,Ba II,3,,-1.37,0.10,0.31
HD 140283,La II,4,<,-1.4,,
HD 140283,Eu II,3,<,-1.7,,
HD 140283,Pt I,1,<,-0.6,,
HD 140283,Pb I,1,<,+0.7,,
