Name,Simbad_Identifier,Loc,System,RA_hms,DEC_dms,RA_deg,DEC_deg,t_exp,N_exp,SNR_3950,SNR_4550,SNR_5200,SNR_6750
BD+44 493,BD+44   493,,,02:26:49.7390,+44:57:46.524,36.70724598067999,44.96292326976,10800,2,85,170,220,285
CS 22877-001,BPS CS 22877-0001,,,13:13:55.3727,-12:11:41.666,198.48071948989997,-12.194907237329998,5600,4,150,230,265,405
CS 22878-101,BPS CS 22878-0101,,,16:45:31.4513,+08:14:45.470,251.38104727257,8.24596396275,2400,1,60,95,75,115
CS 22891-200,BPS CS 22891-0200,,,19:35:19.0776,-61:42:24.374,293.82949019686,-61.70677057784,4100,1,65,105,85,130
CS 22893-010,BPS CS 22893-0010,,,22:58:11.7253,-11:56:45.432,344.54885554653,-11.94595331839,3600,1,45,75,65,115
CS 22943-201,BPS CS 22943-0201,,,20:36:28.7985,-43:49:30.138,309.11999367747,-43.825038201249995,10600,4,85,120,85,120
CS 22948-066,HE 2141-3741,,,21:44:51.1648,-37:27:55.017,326.21318658642,-37.46528259892,2400,2,60,95,80,130
CS 22949-037,HE 2323-0256,,,23:26:29.8074,-02:39:58.036,351.6241973912,-2.6661212175499998,6350,2,65,100,85,135
CS 22957-027,HE 2356-0410,,,23:59:13.1420,-03:53:48.220,359.8047582672,-3.8967278371000003,1000,1,40,55,60,95
CS 22958-042,BPS CS 22958-0042,,,02:01:07.4298,-57:16:58.851,30.28095749011,-57.283014114400004,9600,3,60,90,110,155
CS 22960-064,BPS CS 22960-0064,DW,Atari,22:24:00.1430,-42:35:16.026,336.00059571235,-42.5877850099,3000,1,75,110,80,110
CS 29498-043,BPS CS 29498-0043,,,21:03:52.1198,-29:42:50.344,315.9671656881,-29.713984494920002,9300,2,70,140,135,280
CS 29502-092,BPS CS 29502-0092,,,22:22:35.9982,-01:38:27.621,335.64999255766,-1.6410056968200002,1800,1,50,85,90,165
CS 30314-067,BPS CS 30314-0067,,,20:52:50.9879,-34:19:40.547,313.2124495137,-34.32792979538999,1800,1,85,165,165,350
CS 30492-001,BPS CS 30492-0001,,,21:05:55.2354,-42:10:10.087,316.48014765864,-42.16946874587,1650,1,55,75,70,115
HE 1012-1540,HE 1012-1540,,,10:14:53.4754,-15:55:53.172,153.72281396536,-15.931436788180001,7200,2,60,95,85,150























