# Mean Abundances gathered from Table 5 through Table 20 (16 stars)
Name,Ion,N_lines,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_stat,e_logepsX,e_neutrals,e_ions
BD+44 493,Al I,1,,1.73,,,,-0.44,0.09,0.16,0.12,0.22
BD+44 493,Ba II,1,,-2.98,,,,-0.90,0.10,0.17,0.21,0.16
BD+44 493,C-H,1,,5.35,,,,1.18,0.15,0.25,0.20,0.22
BD+44 493,Ca I,6,,2.57,,,,0.52,0.15,0.20,0.17,0.25
BD+44 493,Ce II,5,<,-1.66,,,<,1.02,,,,
BD+44 493,Co I,3,,1.00,,,,0.29,0.15,0.20,0.17,0.25
BD+44 493,Cr I,2,,1.04,,,,-0.31,0.10,0.17,0.14,0.22
BD+44 493,Cr II,0,,,,,,,,,,
BD+44 493,Cu I,0,,,,,,,,,,
BD+44 493,Dy II,3,<,-2.01,,,<,1.15,,,,
BD+44 493,Er II,3,<,-1.74,,,<,1.60,,,,
BD+44 493,Eu II,4,<,-2.83,,,<,0.91,,,,
BD+44 493,Fe I,61,,3.22,,-4.28,,,0.09,0.16,0.00,0.00
BD+44 493,Fe II,2,,3.24,,-4.26,,,0.12,0.18,0.00,0.00
BD+44 493,Ga I,1,<,0.35,,,<,1.59,,,,
BD+44 493,Gd II,2,<,-1.31,,,<,1.88,,,,
BD+44 493,Hf II,2,<,-1.08,,,<,2.33,,,,
BD+44 493,Ho II,2,<,-2.21,,,<,1.57,,,,
BD+44 493,Ir I,0,,,,,,,,,,
BD+44 493,K I,0,,,,,,,,,,
BD+44 493,La II,0,,,,,,,,,,
BD+44 493,Li I,1,,0.64,,,,,0.12,0.18,0.15,0.23
BD+44 493,Mg I,7,,4.21,,,,0.90,0.09,0.16,0.12,0.22
BD+44 493,Mn I,2,,0.10,,,,-1.05,0.16,0.20,0.18,0.25
BD+44 493,Mn II,0,,,,,,,,,,
BD+44 493,Mo I,1,<,-0.47,,,<,1.93,,,,
BD+44 493,C-N,1,<,5.75,,,<,2.18,,,,
BD+44 493,Na I,0,,,,,,,,,,
BD+44 493,Nb II,1,<,0.34,,,<,3.14,,,,
