RG CS 22166-016   12.75 0.025 0.63 1.92 4900 1.75 1.50 -3.09 37 0.14 0.06 0.06
SG CS 22169-008   14.99 0.057 0.37 1.27 5810 3.60 1.30 -2.59 54 0.16 0.06 0.06
RG CS 22169-035   12.88 0.043 0.89 2.41 4480 0.50 1.70 -3.12 34 0.14 0.06 0.06
SG CS 22171-031   13.93 0.023 0.37 1.22 6010 3.70 1.35 -2.42 53 0.21 0.06 0.06
SG CS 22171-037   14.93 0.020 0.33 1.11 6110 3.65 1.60 -3.35 40 0.15 0.06 0.09
RG CS 22172-029   14.36 0.056      1.81 4960 1.90 1.30 -2.70 37 0.16 0.06 0.06
SG CS 22174-020   15.06 0.040 0.36 1.18 5840 3.55 1.40 -3.02 58 0.16 0.06 0.06
SG CS 22177-009   14.27 0.044 0.36 1.20 5940 3.55 1.25 -3.37 38 0.16 0.06 0.08
SG CS 22177-010   14.31 0.050 0.35 1.25 6050 3.70 1.50 -2.88 46 0.18 0.06 0.07
SG CS 22180-014   13.58 0.021 0.41 1.38 5780 3.55 1.50 -2.90 43 0.16 0.06 0.07
SG CS 22182-033   14.67 0.033 0.41 1.41 5810 3.60 1.30 -2.47 47 0.16 0.06 0.06
SG CS 22182-047   13.24 0.047 0.43 1.43 5640 3.60 1.05 -1.99 48 0.17 0.06 0.06
RG CS 22183-031   13.62 0.039 0.63 1.93 4850 1.60 1.55 -3.50 36 0.14 0.06 0.06
RG CS 22185-007   13.34 0.047 0.64 2.08 4730 1.30 1.55 -3.02 38 0.15 0.06 0.06
SG CS 22186-002   13.77 0.014 0.40 1.33 5500 3.35 1.15 -2.50 38 0.18 0.06 0.06
SG CS 22186-017   13.53 0.021 0.41 1.35 5770 3.55 1.30 -2.90 50 0.15 0.06 0.07
RG CS 22186-023   12.84 0.022 0.66 1.96 4820 1.55 1.60 -2.89 34 0.12 0.06 0.06
RG CS 22189-009   14.06 0.025 0.73 2.19 4540 0.60 1.65 -3.85 34 0.14 0.06 0.06
HB CS 22191-029   14.05 0.019 0.39 1.39 5810 1.55 2.80 -2.94 44 0.36 0.06 0.06
SG CS 22871-104   14.91 0.116 0.31 1.04 6370 4.00 1.40 -2.06 48 0.48 0.06 0.06
SG CS 22872-102   13.65 0.231 0.36 1.40 6020 3.65 1.40 -2.82 49 0.16 0.06 0.07
SG CS 22873-072   14.64 0.066 0.34 1.14 6030 3.70 1.40 -2.86 42 0.15 0.06 0.06
RG CS 22873-128   13.05 0.036 0.66 2.08 4710 1.20 1.65 -3.24 34 0.14 0.06 0.06
SG CS 22874-123   14.70 0.105 0.34 1.24 6240 3.80 1.65 -2.61 40 0.20 0.06 0.06
HB CS 22875-029   13.69 0.013 0.39 1.39 5990 1.85 2.80 -2.69 44 0.27 0.06 0.06
SG CS 22876-040   15.09 0.015 0.39 1.20 6090 3.80 1.45 -2.21 50 0.18 0.06 0.06
RG CS 22877-001   12.16 0.057 0.71 2.01 4790 1.45 1.55 -3.24 34 0.14 0.06 0.06
RG CS 22877-011   13.86 0.038 0.56 1.88 4950 1.90 1.45 -3.12 37 0.14 0.06 0.06
SG CS 22877-015   13.23 0.040 0.36 1.23 6150 3.85 1.30 -2.00 43 0.22 0.06 0.06
SG CS 22877-051   14.26 0.051 0.29 1.19 6050 3.70 1.50 -2.77 46 0.17 0.06 0.07
SG CS 22878-002   14.36 0.076 0.37 1.24 5850 3.55 1.30 -3.10 41 0.18 0.06 0.07
SG CS 22878-027   14.41 0.067 0.37 1.26 5820 3.55 1.20 -2.97 51 0.15 0.06 0.07
RG CS 22878-101   13.73 0.100 0.75 2.21 4650 1.05 1.90 -3.30 35 0.14 0.06 0.06
SG CS 22879-012   14.72 0.035 0.35 1.22 6020 3.65 1.25 -2.81 49 0.14 0.06 0.07
SG CS 22879-029   14.43 0.042 0.38 1.19 5920 3.70 1.30 -2.35 41 0.17 0.06 0.06
SG CS 22879-051   13.89 0.039 0.35 1.16 6190 3.75 1.50 -2.85 51 0.22 0.06 0.07
SG CS 22879-094   15.20 0.046 0.37 1.33 5820 3.60 1.35 -2.81 51 0.14 0.06 0.06
HB CS 22879-097   14.22 0.048 0.41 1.47 5640 1.55 2.55 -2.64 56 0.36 0.06 0.06
HB CS 22879-103   14.30 0.045 0.44 1.52 5720 1.60 2.55 -2.15 44 0.22 0.06 0.05
SG CS 22880-067   15.08 0.083 0.43 1.36 5570 3.35 1.05 -3.37 57 0.20 0.08 0.07
RG CS 22880-086   14.41 0.067 0.57 1.94 4960 1.90 1.40 -3.25 39 0.15 0.06 0.06
SG CS 22881-032   15.23 0.015 0.36 1.25 5430 3.20 1.25 -3.10 36 0.18 0.06 0.06
SG CS 22881-036   13.93 0.014 0.44 1.21 5940 3.70 1.10 -2.37 45 0.16 0.06 0.06
HB CS 22881-039   15.14 0.014 0.38 1.46 6170 2.05 2.80 -2.79 40 0.29 0.06 0.06
SG CS 22881-070   14.39 0.011 0.36 1.19 6020 3.70 1.35 -2.73 49 0.19 0.06 0.07
HB CS 22882-001   14.82 0.018 0.38 1.46 5930 1.90 3.00 -2.62 52 0.32 0.06 0.05
SG CS 22882-006   14.14 0.023 0.39 1.35 5800 3.60 1.35 -2.66 44 0.18 0.06 0.07
SG CS 22882-012   15.26 0.015 0.46 1.18 6290 3.80 1.40 -2.75 48 0.17 0.06 0.07
SG CS 22882-030   14.83 0.017 0.36 1.34 5580 3.40 1.10 -3.14 45 0.14 0.06 0.06
HB CS 22883-037   14.73 0.028 0.52 1.28 5800 1.50 3.15 -1.97 44 0.25 0.06 0.05
SG CS 22884-020   14.95 0.110 0.35 1.12 6040 3.75 1.45 -2.27 49 0.19 0.06 0.06
SG CS 22884-108   14.24 0.135 0.37 1.28 6320 3.75 1.20 -3.21 52 0.17 0.06 0.10
SG CS 22885-040   15.24 0.056 0.34 1.29 6160 3.75 1.45 -2.60 47 0.17 0.06 0.06
RG CS 22885-096   13.33 0.056 0.63 2.09 4580 0.75 1.75 -4.21 34 0.15 0.06 0.07
SG CS 22885-203   14.23 0.046 0.36 1.27 5820 3.60 1.30 -2.57 44 0.16 0.06 0.06
SG CS 22886-003   14.60 0.043 0.37 1.18 5970 3.65 1.40 -2.87 38 0.16 0.06 0.09
SG CS 22886-012   14.52 0.049 0.42 1.37 5650 3.50 1.45 -2.61 42 0.15 0.06 0.06
HB CS 22886-013   13.65 0.050 0.19 0.73 6200 1.75 2.95 -2.60 40 0.22 0.06 0.06
SG CS 22886-044   14.23 0.050 0.46 1.45 5730 3.75 1.20 -1.65 43 0.19 0.06 0.06
SG CS 22888-002   14.70 0.018 0.40 1.36 5700 3.50 1.30 -2.91 46 0.15 0.06 0.07
SG CS 22888-014   14.44 0.021 0.38 1.21 6020 3.70 1.35 -2.69 45 0.19 0.06 0.06
SG CS 22888-031   14.90 0.014 0.40 1.28 5810 3.50 1.25 -3.41 44 0.20 0.06 0.08
HB CS 22888-047   14.61 0.019 0.38 1.44 5950 1.90 3.00 -2.54 46 0.27 0.06 0.05
SG CS 22889-050   14.28 0.055 0.32 1.19 5920 3.60 1.40 -2.84 50 0.19 0.06 0.06
SG CS 22890-011   14.61 0.045 0.33 1.15 6010 3.70 1.25 -2.47 57 0.18 0.06 0.06
RG CS 22890-024   13.41 0.054 0.52 1.82 5320 2.95 1.25 -2.58 37 0.17 0.06 0.06
SG CS 22890-064   14.70 0.043 0.35 1.16 5960 3.60 1.30 -3.20 52 0.16 0.06 0.06
HB CS 22891-184   13.83 0.071 0.43 1.45 5530 1.60 2.05 -2.67 65 0.45 0.06 0.05
RG CS 22891-200   13.93 0.079 0.78 2.30 4490 0.50 1.70 -3.88 33 0.12 0.06 0.06
RG CS 22891-209   12.17 0.078 0.75 2.33 4620 0.95 1.80 -3.26 34 0.13 0.06 0.05
RG CS 22891-221   14.43 0.076 0.48 1.62 5290 2.80 1.85 -3.48 42 0.25 0.06 0.07
SG CS 22892-025   14.03 0.032 0.36 1.21 6140 3.75 1.45 -2.66 43 0.19 0.06 0.06
RG CS 22892-052   13.21 0.031 0.77 2.19 4690 1.15 1.50 -3.16 37 0.15 0.06 0.07
RG CS 22893-005   14.22 0.041 0.49 1.66 5260 2.75 1.30 -2.93 44 0.22 0.06 0.07
RG CS 22893-010   14.74 0.038 0.55      5150 2.45 1.35 -2.93 44 0.20 0.06 0.07
SG CS 22893-011   14.54 0.041 0.39 1.29 6010 3.75 1.40 -2.27 49 0.19 0.06 0.07
SG CS 22894-004   14.17 0.043 0.37 1.25 5920 3.65 1.50 -2.65 41 0.19 0.06 0.07
SG CS 22894-019   13.92 0.035 0.41 1.32 5930 3.60 1.25 -3.04 48 0.19 0.06 0.10
SG CS 22894-023   13.75 0.035 0.37 1.27 5980 3.65 1.40 -2.82 42 0.17 0.06 0.07
MS CS 22894-049   14.46 0.030 0.42 1.35 5870 3.90 1.15 -2.83 36 0.22 0.09 0.08
RG CS 22896-015   14.85 0.058 0.35      5080 2.25 1.25 -2.84 38 0.16 0.06 0.07
HB CS 22896-055   13.53 0.050 0.38 1.44 5970 1.85 3.15 -2.51 48 0.28 0.06 0.06
HB CS 22896-110   13.56 0.060 0.47 1.62 5380 1.15 2.25 -2.86 48 0.39 0.06 0.06
SG CS 22896-115   14.13 0.058 0.36 1.27 5910 3.65 1.20 -2.72 45 0.14 0.06 0.08
SG CS 22896-136   14.71 0.059 0.35 1.14 6190 3.85 1.40 -2.19 47 0.21 0.06 0.07
RG CS 22897-008   13.33 0.033 0.66 2.24 4550 0.70 1.70 -3.73 36 0.14 0.06 0.07
