Table 5 
Comparison of [X/Fe] Ratios of Heavy Elements Derived from Neutral and Ionized Species


Species	HD 108317	HD 128279	
Cu I	-0.96 +or- 0.16	-0.92 +or- 0.16	
Cu II	-0.40 +or- 0.28	-0.37 +or- 0.29	
			
Zn I	+0.23 +or- 0.15	+0.10 +or- 0.15	
Zn II	+0.31 +or- 0.52	+0.28 +or- 0.44	
			
Mo I	+0.42 +or- 0.19	-0.07 +or- 0.18	
Mo II	+0.44 +or- 0.33	+0.02 +or- 0.28	
			
Cd I	-0.39 +or- 0.46	-0.57 +or- 0.36	
Cd II	-0.42 +or- 0.52	-0.55 +or- 0.43	
			
Os I	+0.63 +or- 0.23	< +0.69	
Os II	+0.29 +or- 0.36	< -0.22	
			
Pb I	< +0.23	< +0.35	
Pb II	< +0.42	< +0.54	
