Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
BD+44 493,11.0,Na I,,2.71,0.19,
BD+44 493,12.0,Mg I,,4.23,0.1,
BD+44 493,13.0,Al I,,2.06,0.08,
BD+44 493,14.0,Si I,,4.17,0.14,
BD+44 493,20.0,Ca I,,2.82,0.14,
BD+44 493,26.0,Fe I,,3.67,,0.19
G64-12,11.0,Na I,,2.91,0.09,
G64-12,12.0,Mg I,,4.69,0.13,
G64-12,13.0,Al I,,2.59,0.11,
G64-12,14.0,Si I,,4.42,0.18,
G64-12,20.0,Ca I,,3.54,0.22,
G64-12,26.0,Fe I,,4.22,,0.09
HD 107113,11.0,Na I,,5.96,0.11,
HD 107113,12.0,Mg I,,7.21,0.15,
HD 107113,14.0,Si I,,6.95,,
HD 107113,20.0,Ca I,,5.97,0.22,
HD 107113,26.0,Fe I,,6.91,,0.11
HD 108317,11.0,Na I,,4.42,0.11,
HD 108317,12.0,Mg I,,5.6,0.15,
HD 108317,13.0,Al I,,2.91,0.13,
HD 108317,14.0,Si I,,5.66,0.2,
HD 108317,20.0,Ca I,,4.34,0.23,
HD 108317,26.0,Fe I,,5.06,,0.11
HD 128279,11.0,Na I,,4.13,0.12,
HD 128279,12.0,Mg I,,5.64,0.15,
HD 128279,13.0,Al I,,3.15,0.14,
HD 128279,14.0,Si I,,5.6,0.21,
HD 128279,20.0,Ca I,,4.39,0.22,
HD 128279,26.0,Fe I,,5.13,,0.12
HD 140283,11.0,Na I,,3.83,0.08,
HD 140283,12.0,Mg I,,5.25,0.12,
HD 140283,13.0,Al I,,2.91,0.1,
HD 140283,14.0,Si I,,5.28,0.17,
HD 140283,20.0,Ca I,,4.02,0.21,
HD 140283,26.0,Fe I,,4.85,,0.08
HD 155646,11.0,Na I,,6.28,0.07,
HD 155646,12.0,Mg I,,7.43,0.11,
HD 155646,13.0,Al I,,6.08,0.11,
HD 155646,14.0,Si I,,7.56,0.15,
HD 155646,20.0,Ca I,,6.28,0.19,
HD 155646,26.0,Fe I,,7.34,,0.07
HD 160617,11.0,Na I,,4.85,0.08,
HD 160617,12.0,Mg I,,5.95,0.11,
HD 160617,14.0,Si I,,5.96,,
HD 160617,20.0,Ca I,,4.84,0.21,
HD 160617,26.0,Fe I,,5.58,,0.08
HD 16220,11.0,Na I,,6.14,0.11,
HD 16220,12.0,Mg I,,7.41,0.15,
HD 16220,14.0,Si I,,7.24,,
HD 16220,20.0,Ca I,,6.22,0.22,
HD 16220,26.0,Fe I,,7.19,,0.11
HD 211998,11.0,Na I,,4.63,0.11,
HD 211998,12.0,Mg I,,6.4,0.15,
HD 211998,14.0,Si I,,6.15,,
HD 211998,20.0,Ca I,,5.23,0.22,
HD 211998,26.0,Fe I,,6.0,,0.11
HD 2454,11.0,Na I,,5.87,0.12,
HD 2454,12.0,Mg I,,7.25,0.15,
HD 2454,13.0,Al I,,6.18,0.15,
HD 2454,14.0,Si I,,7.33,0.21,
HD 2454,20.0,Ca I,,5.99,0.22,
HD 2454,26.0,Fe I,,7.08,,0.12
HD 43318,11.0,Na I,,6.24,0.11,
HD 43318,12.0,Mg I,,7.35,0.15,
HD 43318,13.0,Al I,,5.98,0.13,
HD 43318,14.0,Si I,,7.15,0.18,
HD 43318,20.0,Ca I,,6.28,0.22,
HD 43318,26.0,Fe I,,7.26,,0.11
HD 76932,11.0,Na I,,5.46,0.12,
HD 76932,12.0,Mg I,,6.92,0.16,
HD 76932,14.0,Si I,,6.64,,
HD 76932,20.0,Ca I,,5.74,0.22,
HD 76932,26.0,Fe I,,6.58,,0.12
HD 94028,11.0,Na I,,4.88,0.13,
HD 94028,12.0,Mg I,,6.3,0.17,
HD 94028,13.0,Al I,,4.04,0.15,
HD 94028,14.0,Si I,,6.17,0.22,
HD 94028,20.0,Ca I,,5.13,0.24,
HD 94028,26.0,Fe I,,5.89,,0.13
