Name,Ion,Wave,ExPot,loggf,e_loggf,r_loggf,EW,l_logepsX,logepsX,NLTEcorr
J1008+0001,Li I,6707.80,0.00,0.17,0.01,1,,<,0.10,0.15
J1008+0001,O I,6300.30,0.00,-9.82,0.03,2,,,8.07,
J1008+0001,O I,6363.78,0.02,-10.26,0.03,2,,,8.08,
J1008+0001,Na I,5682.63,2.10,-0.71,0.01,2,52.2,,4.96,-0.13
J1008+0001,Na I,5688.19,2.10,-0.41,0.01,2,69.9,,4.91,-0.16
J1008+0001,Na I,5889.95,0.00,0.11,0.01,2,,,,
J1008+0001,Na I,5895.92,0.00,-0.19,0.01,2,,,,
J1008+0001,Na I,6154.23,2.10,-1.55,0.01,2,14.0,,5.02,-0.08
J1008+0001,Na I,6160.75,2.10,-1.25,0.01,2,24.0,,5.00,-0.08
J1008+0001,Na I,8183.26,2.10,0.24,0.01,2,,,,
J1008+0001,Mg I,4057.51,4.35,-0.90,0.09,2,119.4,,6.38,
J1008+0001,Mg I,4702.99,4.33,-0.44,0.03,2,190.4,,6.41,-0.01
J1008+0001,Mg I,5528.40,4.35,-0.55,0.05,3,211.9,,6.70,-0.07
J1008+0001,Mg I,5711.09,4.35,-1.84,0.05,3,,,,
J1008+0001,Mg I,8806.76,4.35,-0.14,0.05,3,,,,
J1008+0001,Al I,3961.52,0.01,-0.33,0.03,4,,,,
J1008+0001,Al I,6696.02,3.14,-1.57,0.09,2,,<,5.20,
J1008+0001,Si I,4102.94,1.91,-3.03,0.09,5,146.1,,5.95,
J1008+0001,Si I,5665.55,4.92,-2.04,0.30,2,11.7,,6.04,
J1008+0001,Si I,5690.43,4.93,-1.87,0.22,2,27.6,,6.33,
J1008+0001,Si I,5701.10,4.93,-2.05,0.30,2,22.9,,6.40,
J1008+0001,Si I,5708.40,4.95,-1.47,0.22,2,55.4,,6.43,
J1008+0001,Si I,5772.15,5.08,-1.75,0.22,2,34.2,,6.52,
J1008+0001,Si I,5793.07,4.93,-2.02,0.30,2,30.5,,6.53,
J1008+0001,Si I,5948.54,5.08,-1.23,0.12,2,59.2,,6.39,
J1008+0001,Si I,6721.85,5.86,-0.94,0.30,2,17.3,,6.25,
J1008+0001,Si I,7003.57,5.96,-0.75,0.22,2,14.0,,6.07,
J1008+0001,Si I,7680.27,5.86,-0.69,0.09,2,26.1,,6.19,
J1008+0001,Si I,7742.72,6.21,-0.28,0.12,2,19.2,,6.04,
J1008+0001,Si I,7944.00,5.98,-0.31,0.05,2,60.3,,6.51,
J1008+0001,K I,7664.90,0.00,0.12,0.01,2,,,,
J1008+0001,K I,7698.96,0.00,-0.18,0.01,2,,,3.68,-0.34
J1008+0001,Ca I,4283.01,1.89,-0.22,0.02,6,,,,
J1008+0001,Ca I,4318.65,1.90,-0.21,0.02,6,,,,
J1008+0001,Ca I,4425.44,1.88,-0.39,0.02,6,,,,
J1008+0001,Ca I,4435.69,1.89,-0.53,0.02,6,55.0,,3.80,
J1008+0001,Ca I,4454.78,1.90,0.23,0.02,6,102.5,,3.93,
J1008+0001,Ca I,4455.89,1.90,-0.54,0.02,6,64.8,,3.99,
J1008+0001,Ca I,4456.61,1.90,-1.72,0.02,6,,,,
J1008+0001,Ca I,5581.97,2.52,-0.56,0.02,6,,,,
J1008+0001,Ca I,5588.76,2.52,0.36,0.02,6,68.6,,3.83,
J1008+0001,Ca I,5590.12,2.52,-0.57,0.02,6,17.9,,3.84,
J1008+0001,Ca I,5857.45,2.93,0.24,0.02,6,32.2,,3.85,
J1008+0001,Ca I,6102.72,1.88,-0.82,0.02,6,52.3,,3.91,
J1008+0001,Ca I,6122.22,1.89,-0.34,0.02,6,88.4,,3.97,
J1008+0001,Ca I,6162.17,1.90,-0.12,0.02,6,99.6,,3.94,
J1008+0001,Ca I,6169.06,2.52,-0.80,0.02,6,12.3,,3.85,
J1008+0001,Ca I,6169.56,2.53,-0.48,0.02,6,17.2,,3.71,
J1008+0001,Ca I,6439.07,2.52,0.39,0.02,6,67.2,,3.72,
J1008+0001,Ca I,6449.81,2.52,-0.50,0.02,6,26.6,,3.94,
J1008+0001,Ca I,6717.69,2.71,-0.52,0.02,6,15.3,,3.89,
J1008+0001,Sc II,4246.82,0.32,0.24,0.02,7,,,,
J1008+0001,Sc II,4324.98,0.59,-0.44,0.02,7,,,,
J1008+0001,Sc II,4374.45,0.62,-0.42,0.02,7,,,,
J1008+0001,Sc II,4400.39,0.60,-0.54,0.02,7,,,-0.53,
J1008+0001,Sc II,4415.54,0.59,-0.67,0.02,7,,,-0.14,
J1008+0001,Sc II,4670.41,1.36,-0.58,0.02,7,,,-0.12,
J1008+0001,Sc II,5031.01,1.36,-0.40,0.02,7,,,,
J1008+0001,Sc II,5526.79,1.77,0.02,0.02,7,,,-0.14,
J1008+0001,Sc II,5657.91,1.51,-0.60,0.02,7,,,,
J1008+0001,Ti I,4512.73,0.84,-0.40,0.02,8,45.9,,2.64,
J1008+0001,Ti I,4518.02,0.83,-0.25,0.02,8,29.1,,2.18,
J1008+0001,Ti I,4533.24,0.85,0.54,0.02,8,74.1,,2.18,
J1008+0001,Ti I,4534.78,0.84,0.35,0.02,8,72.9,,2.34,
J1008+0001,Ti I,4548.76,0.83,-0.28,0.02,8,26.9,,2.16,
J1008+0001,Ti I,4555.48,0.85,-0.40,0.02,8,22.0,,2.19,
J1008+0001,Ti I,4656.47,0.00,-1.28,0.02,2,46.2,,2.43,
J1008+0001,Ti I,4681.91,0.05,-1.01,0.02,2,75.0,,2.69,
J1008+0001,Ti I,4840.87,0.90,-0.43,0.02,8,,,,
J1008+0001,Ti I,4981.73,0.84,0.57,0.02,8,105.3,,2.66,
J1008+0001,Ti I,4991.07,0.84,0.45,0.02,8,,,,
J1008+0001,Ti I,4999.50,0.83,0.32,0.02,8,,,,
J1008+0001,Ti I,5016.16,0.85,-0.48,0.02,8,,,,
J1008+0001,Ti I,5064.65,0.05,-0.94,0.02,8,66.7,,2.43,
J1008+0001,Ti I,5173.74,0.00,-1.06,0.02,8,,,,
J1008+0001,Ti I,5192.97,0.02,-0.95,0.02,8,76.2,,2.54,
