Name,Ion,Z,logepsX_sun,N,l_logepsX,logepsX,l_[X/H],[X/H],l_[X/Fe],[X/Fe],e_logepsX,e_[X/H],e_[X/Fe]
J1008+0001,Li I,3,,1,<,0.25,,,,,,,
J1008+0001,C-H,6,8.43,1,,7.00,,,,1.54,0.20,,0.20
J1008+0001,C-N,7,7.83,1,,6.70,,,,1.84,0.30,,0.30
J1008+0001,O I,8,8.69,2,,8.08,,,,2.36,0.15,,0.18
J1008+0001,Na I,11,6.24,4,,4.86,,,,1.59,0.13,,0.14
J1008+0001,Mg I,12,7.60,3,,6.47,,,,1.84,0.21,,0.13
J1008+0001,Al I,13,6.45,2,<,5.20,,,<,1.72,,,
J1008+0001,Si I,14,7.51,13,,6.28,,,,1.74,0.10,,0.18
J1008+0001,K I,19,5.03,1,,3.34,,,,1.28,0.26,,0.13
J1008+0001,Ca I,20,6.34,14,,3.87,,,,0.50,0.16,,0.09
J1008+0001,Sc II,21,3.15,4,,-0.23,,,,-0.41,0.13,,0.16
J1008+0001,Ti I,22,4.95,11,,2.40,,,,0.42,0.27,,0.07
J1008+0001,Ti II,22,4.95,9,,1.81,,,,-0.17,0.11,,0.14
J1008+0001,V I,23,3.93,0,,,,,,,,,
J1008+0001,V II,23,3.93,0,,,,,,,,,
J1008+0001,Cr I,24,5.64,9,,2.64,,,,-0.04,0.25,,0.06
J1008+0001,Cr II,24,5.64,0,,,,,,,,,
J1008+0001,Mn I,25,5.43,3,,2.46,,,,0.00,0.22,,0.09
J1008+0001,Fe I,26,7.50,70,,4.53,,-2.97,,,0.22,0.22,
J1008+0001,Fe II,26,7.50,2,,4.07,,-3.43,,,0.14,0.14,
J1008+0001,Co I,27,4.99,0,,,,,,,,,
J1008+0001,Ni I,28,6.22,6,,3.40,,,,0.15,0.21,,0.09
J1008+0001,Zn I,30,4.56,2,,2.26,,,,0.67,0.10,,0.23
J1008+0001,Sr II,38,2.87,1,,-2.47,,,,-2.37,0.21,,0.25
J1008+0001,Y II,39,2.21,0,,,,,,,,,
J1008+0001,Zr II,40,2.58,0,,,,,,,,,
J1008+0001,Ba II,56,2.18,3,,-2.24,,,,-1.45,0.17,,0.20
J1008+0001,La II,57,1.10,0,,,,,,,,,
J1008+0001,Ce II,58,1.58,0,,,,,,,,,
J1008+0001,Pr II,59,0.72,0,,,,,,,,,
J1008+0001,Nd II,60,1.42,0,,,,,,,,,
J1008+0001,Sm II,62,0.96,0,,,,,,,,,
J1008+0001,Eu II,63,0.52,2,<,-2.40,,,<,0.05,,,
J1008+0001,Dy II,66,1.10,0,,,,,,,,,
J1008+0001,Pb I,82,2.04,1,<,0.60,,,<,1.53,,,
J1010-0220,Li I,3,,1,<,0.55,,,,,,,
J1010-0220,C-H,6,8.43,1,,4.70,,,,-0.39,0.20,,0.20
J1010-0220,C-N,7,7.83,0,,,,,,,,,
J1010-0220,O I,8,8.69,1,<,6.70,,,<,1.35,,,
J1010-0220,Na I,11,6.24,2,,2.61,,,,-0.29,0.29,,0.11
J1010-0220,Mg I,12,7.60,2,,4.47,,,,0.21,0.14,,0.17
J1010-0220,Al I,13,6.45,1,,3.07,,,,-0.04,0.39,,0.28
J1010-0220,Si I,14,7.51,1,,4.27,,,,0.10,0.38,,0.36
J1010-0220,K I,19,5.03,2,,2.13,,,,0.44,0.22,,0.13
J1010-0220,Ca I,20,6.34,6,,3.15,,,,0.15,0.18,,0.12
J1010-0220,Sc II,21,3.15,5,,-0.30,,,,-0.11,0.14,,0.14
J1010-0220,Ti I,22,4.95,5,,1.58,,,,-0.03,0.31,,0.13
