Table 2 
Log of MIKE Observations


Star name	ObsDate	UT	${t}_{\exp }$	v _los	S/N@3950 Aring	S/N@4550 Aring	S/N@5200 Aring	S/N@6700 Aring	
			(hr)	(km s^-1)	(pix^-1)	(pix^-1)	(pix^-1)	(pix^-1)	
Stars with high-S/N observations									
									
J1008+0001	2022/03/03	04:42	5.56	+223.6	13	30	26	61	
J1010-0220	2021/01/12	08:22	1.11	+209.0	17	34	30	67	
	2021/01/13	04:58	2.56	+209.8					
J1015-0238	2021/01/12	06:18	2.89	+224.5	15	31	28	64	
J1018-0155	2021/01/13	07:34	2.47	+222.5	16	33	30	70	
J1018-0209	2021/12/05	07:23	1.61	+224.7	13	30	27	66	
	2021/12/06	07:24	1.67	+224.8					
									
Stars with low-S/N observations									
									
J1013-0211	2021/01/12	03:59	0.19	+242.1	3	8	8	19	
J1014-0054	2021/01/12	04:27	0.19	+234.1	3	8	7	18	
