Name,RA_hms,DEC_dms,RA_deg,DEC_deg,Imag,Date,Obs,S/N
C0023306-163143,00:23:30.7200,-16:31:44.400,5.878,-16.529,11.2,20081015,LCO,160
C0315358-094743,03:15:35.7600,-09:47:45.600,48.899,-9.796,9.9,20081016,LCO,170
C0408404-462531,04:08:40.5600,-46:25:30.000,62.169,-46.425,11.9,20081016,LCO,190
C0549576-334007,05:49:57.5900,-33:40:08.400,87.49,-33.669,11.0,20081015,LCO,170
C1141088-453528,11:41:08.8800,-45:35:27.600,175.287,-45.591,10.3,20070506,LCO,100
C1620512-091257,16:20:51.1200,-09:12:57.600,245.213,-9.216,11.1,20080611,APO,100
C1947015-235335,19:47:01.6800,-23:53:34.800,296.757,-23.893,11.1,20081016,LCO,190
J001858.8-280036,00:18:58.8000,-28:00:36.000,4.745,-28.01,10.1,20080911,AAT,200
J003314.2-104342,00:33:14.4000,-10:43:44.400,8.31,-10.729,9.1,20080908,AAT,190
J004733.4-450942,00:47:33.3600,-45:09:43.200,11.889,-45.162,10.8,20081016,LCO,190
J010700.3-160223,01:07:00.2400,-16:02:24.000,16.751,-16.04,10.5,20070924,AAT,140
J010839.5-285701,01:08:39.5900,-28:56:60.000,17.165,-28.95,11.8,20081015,LCO,180
J012415.6-102832,01:24:15.5900,-10:28:33.600,21.065,-10.476,10.2,20080910,AAT,230
J013153.5-502702,01:31:53.5200,-50:27:03.600,22.973,-50.451,9.5,20080911,AAT,140
J013758.9-433020,01:37:59.0400,-43:30:21.600,24.496,-43.506,9.9,20080912,AAT,190
J014254.2-503248,01:42:54.2400,-50:32:49.200,25.726,-50.547,10.6,20081016,LCO,160
J014821.1-532145,01:48:21.1200,-53:21:46.800,27.088,-53.363,10.1,20081015,LCO,190
J014907.9-491142,01:49:07.9200,-49:11:42.000,27.283,-49.195,10.2,20081015,LCO,200
J015300.2-341736,01:53:00.2400,-34:17:34.800,28.251,-34.293,9.0,20080911,AAT,190
J015401.6-220240,01:54:01.6800,-22:02:38.400,28.507,-22.044,10.7,20081015,LCO,180
J015522.5-582242,01:55:22.5600,-58:22:44.400,28.844,-58.379,9.6,20080909,AAT,200
J020025.5-061101,02:00:25.6800,-06:11:02.400,30.107,-6.184,10.6,20081016,LCO,190
J020706.4-500916,02:07:06.4800,-50:09:18.000,31.777,-50.155,10.0,20081015,LCO,230
J021110.1-191124,02:11:10.0800,-19:11:24.000,32.792,-19.19,10.4,20081016,LCO,220
J021634.8-394034,02:16:34.8000,-39:40:33.600,34.145,-39.676,9.7,20080910,AAT,230
J021742.0-492344,02:17:42.0000,-49:23:45.600,34.425,-49.396,9.2,20080912,AAT,250
J022308.0-312953,02:23:07.9200,-31:29:52.800,35.783,-31.498,10.5,20081015,LCO,190
J022310.5-362823,02:23:10.5600,-36:28:22.800,35.794,-36.473,10.9,20081015,LCO,230
J022658.3-074959,02:26:58.3200,-07:49:58.800,36.743,-7.833,9.6,20081015,LCO,230
J023042.1-504643,02:30:42.2400,-50:46:44.400,37.676,-50.779,9.9,20080908,AAT,230
J023557.6-174856,02:35:57.5900,-17:48:57.600,38.99,-17.816,10.7,20081016,LCO,230
J025500.9-232029,02:55:00.9600,-23:20:27.600,43.754,-23.341,9.1,20080908,AAT,190
J031005.5-401003,03:10:05.5200,-40:10:04.800,47.523,-40.168,9.8,20090212,ESO,171
J031459.1-371513,03:14:59.2800,-37:15:14.400,48.747,-37.254,9.4,20080908,AAT,230
J031459.2-481045,03:14:59.2800,-48:10:44.400,48.747,-48.179,11.7,20090213,ESO,100
J031540.6-190322,03:15:40.5600,-19:03:21.600,48.919,-19.056,9.0,20080911,AAT,200
J032559.4-372358,03:25:59.5200,-37:23:60.000,51.498,-37.4,10.0,20081016,LCO,250
J033655.9-292252,03:36:55.9200,-29:22:51.600,54.233,-29.381,10.0,20080910,AAT,250
J034220.6-270736,03:42:20.6400,-27:07:37.200,55.586,-27.127,10.2,20081016,LCO,230
J034516.4-075922,03:45:16.5600,-07:59:24.000,56.319,-7.99,10.4,20071219,APO,150
J040148.9-375753,04:01:48.9600,-37:57:54.000,60.454,-37.965,10.7,20081015,LCO,200
J040647.0-214611,04:06:47.0400,-21:46:12.000,61.696,-21.77,10.1,20090212,ESO,190
J042314.5+013048,04:23:14.6400,+01:30:46.800,65.811,1.513,10.4,20081016,LCO,260
J042445.6-150150,04:24:45.5900,-15:01:51.600,66.19,-15.031,9.4,2009combo,APO,230
J042917.8-342050,04:29:17.7600,-34:20:49.200,67.324,-34.347,10.5,20090213,ESO,170
J044106.6-350735,04:41:06.7200,-35:07:37.200,70.278,-35.127,10.0,20081016,LCO,260
J050332.7-625716,05:03:32.8800,-62:57:18.000,75.887,-62.955,10.2,20090212,ESO,120
J050453.7-135037,05:04:53.7600,-13:50:38.400,76.224,-13.844,10.6,20090217,ESO,120
J050620.1-134421,05:06:20.1600,-13:44:20.400,76.584,-13.739,10.6,20081015,LCO,250
J051111.7-363540,05:11:11.7600,-36:35:42.000,77.799,-36.595,9.5,20081016,LCO,250
