Found, JINA_ID, Query_ID        , RA_input     , DEC_input    , main_id                    , ra                  , dec                , coo_err_maj, coo_err_min, coo_err_angle, coo_wavelength, coo_bibcode        , B                 , J                  , V                 , H                  , R                 , I                 , U, K                  , pmra    , pmdec   , plx_value, rvz_nature, rvz_qual, otype, sp_type    , sp_qual, sp_bibcode
True ,        , C0023306-163143 , 00:23:30.7200, -16:31:44.400, DENIS J002330.6-163142     ,   5.8778305475599995, -16.52864406186    ,      0.0179,      0.013 ,            90, O             , 2020yCat.1350....0G, 12.854999542236328, 11.017999649047852 , 12.281999588012695, 10.635000228881836 , 12.40999984741211 , 11.49899959564209 ,  , 10.586000442504883 , 61.333  , -75.593 ,    1.4005, s         , A       , Pe*  , CEMP       , C      , 2018AJ....155..256P
True ,        , C0315358-094743 , 03:15:35.7600, -09:47:45.600, UCAC4 402-003840           ,  48.89928478956001  , -9.79549859478     ,      0.0146,      0.0158,            90, O             , 2020yCat.1350....0G, 13.248000144958496,  9.9399995803833   , 12.128999710083008,  9.357000350952148 , 11.890999794006348, 10.840999603271484,  ,  9.232000350952148 , 14.174  , -12.492 ,    0.3804, s         , A       , *    ,            ,        , 
True ,        , C0408404-462531 , 04:08:40.5600, -46:25:30.000, UCAC4 218-004207           ,  62.16862345226999  , -46.42537951786001 ,      0.0083,      0.0103,            90, O             , 2020yCat.1350....0G, 14.562999725341797, 11.732000350952148 , 13.595999717712402, 11.190999984741211 , 13.418000221252441, 12.4399995803833  ,  , 11.081000328063965 , 4.437   , -1.562  ,    0.0698, s         , B       , Pe*  ,            ,        , 
True ,        , C0549576-334007 , 05:49:57.6000, -33:40:08.400, UCAC4 282-007984           ,  87.49001659045     , -33.66878806788    ,      0.0092,      0.011 ,            90, O             , 2020yCat.1350....0G, 12.869000434875488, 10.944999694824219 , 12.291000366210938, 10.531999588012695 , 12.159000396728516,                   ,  , 10.491999626159668 , 2.044   , -10.107 ,    0.9689, s         , B       , SB*  ,            ,        , 
True ,        , C1141088-453528 , 11:41:08.8800, -45:35:27.600, UCAC4 223-060458           , 175.28688624712     , -45.59120968672    ,      0.0112,      0.0102,            90, O             , 2020yCat.1350....0G, 13.003999710083008,  9.909000396728516 , 11.963000297546387,  9.388999938964844 , 11.694000244140625, 10.77400016784668 ,  ,  9.236000061035156 , -1.012  , -3.996  ,    0.2638, s         , A       , Pe*  ,            ,        , 
True ,        , C1620512-091257 , 16:20:51.1200, -09:12:57.600, 2MASS J16205121-0912579    , 245.2134010698      , -9.216094317530002 ,      0.0133,      0.0097,            90, O             , 2020yCat.1350....0G, 13.732000350952148, 10.333999633789062 , 12.661999702453613,  9.756999969482422 , 12.4399995803833  , 11.324000358581543,  ,  9.619000434875488 , -2.944  , -20.646 ,    0.3531, s         , A       , Pe*  , CEMP       , C      , 2018AJ....155..256P
True ,        , C1947015-235335 , 19:47:01.6800, -23:53:34.800, UCAC4 331-201857           , 296.75662209200993  , -23.89330915342    ,      0.0207,      0.0176,            90, O             , 2020yCat.1350....0G, 13.277999877929688, 10.258999824523926 , 12.309000015258789,  9.664999961853027 , 12.010000228881836, 11.013999938964844,  ,  9.562000274658203 , 4.427   , -4.16   ,    0.151 , s         , B       , *    ,            ,        , 
True ,        , J001858.8-280036, 00:18:58.8000, -28:00:36.000, CD-28    81                ,   4.74538841598     , -28.01029962007    ,      0.0182,      0.0171,            90, O             , 2020yCat.1350....0G, 11.088000297546387,  9.597999572753906 , 10.609999656677246,  9.312999725341797 ,                   ,                   ,  ,  9.270000457763672 , 0.196   , -8.533  ,    3.2404, s         , A       , *    ,            ,        , 
True ,        , J003314.2-104342, 00:33:14.4000, -10:43:44.400, V* CM Cet                  ,   8.309628575779998 , -10.72853567329    ,      0.0151,      0.0151,            90, O             , 2020yCat.1350....0G, 10.65999984741211 ,  7.181000232696533 ,  9.479999542236328,  6.603000164031982 ,  8.84000015258789 ,  9.0600004196167  ,  ,  6.416999816894531 , 15.153  , -8.08   ,    0.4421, s         , A       , LP?  , G3/5V      , D      , 1999MSS...C05....0H
True ,        , J004733.4-450942, 00:47:33.3600, -45:09:43.200, TYC 8031-670-1             ,  11.889475387640001 , -45.1618078912     ,      0.0109,      0.0141,            90, O             , 2020yCat.1350....0G, 12.541000366210938, 10.144000053405762 , 11.755999565124512,  9.687999725341797 ,                   ,                   ,  ,  9.574000358581543 , 6.783   , -17.32  ,    0.473 , s         , A       , *    ,            ,        , 
True ,        , J010700.3-160223, 01:07:00.2400, -16:02:24.000, BD-16   179                ,  16.751179215269996 , -16.040072466310004,      0.0119,      0.0112,            90, O             , 2020yCat.1350....0G, 11.541999816894531,  9.843000411987305 , 10.994000434875488,  9.515999794006348 ,                   ,                   ,  ,  9.458000183105469 , -109.936, -208.005,    6.3409, s         , A       , PM*  ,            ,        , 
True ,        , J010839.5-285701, 01:08:39.6000, -28:56:60.000, Bok    I  98B              ,  17.16495013211     , -28.950420009020004,      0.0127,      0.0078,            90, O             , 2020yCat.1350....0G, 13.277999877929688, 10.979000091552734 , 12.598999977111816, 10.53499984741211  , 12.449999809265137,                   ,  , 10.454000473022461 , -1.937  , -8.115  ,    0.4963, s         , A       , Pe*  , CEMP-r     , C      , 2022ApJ...927...13Z
True ,        , J012415.6-102832, 01:24:15.6000, -10:28:33.600, TYC 5274-1114-1            ,  21.06509670991     , -10.47587042536    ,      0.0174,      0.0105,            90, O             , 2020yCat.1350....0G, 11.208000183105469,  9.77299976348877  , 10.744000434875488,  9.529999732971191 ,                   ,                   ,  ,  9.442000389099121 , 47.204  , -57.142 ,    3.0011, s         , A       , PM*  ,            ,        , 
True ,        , J013153.5-502702, 01:31:53.5200, -50:27:03.600, TYC 8046-895-1             ,  22.97334090073     , -50.450672608990004,      0.0089,      0.0096,            90, O             , 2020yCat.1350....0G, 11.859999656677246,  8.454999923706055 , 10.600000381469727,  7.741000175476074 ,                   ,                   ,  ,  7.59499979019165  , 11.836  , 1.526   ,    0.3896, s         , A       , *    ,            ,        , 
True ,        , J013758.9-433020, 01:37:59.0400, -43:30:21.600, CD-44   465                ,  24.49582045629     , -43.50577120129    ,      0.0091,      0.0108,            90, O             , 2020yCat.1350....0G, 10.87399959564209 ,  9.482000350952148 , 10.380000114440918,  9.20300006866455  ,                   ,                   ,  ,  9.144000053405762 , 2.814   , 29.546  ,    6.1153, s         , A       , *    , F5         , E      , 2014yCat....1.2023S
True ,        , J014254.2-503248, 01:42:54.2400, -50:32:49.200, TYC 8046-39-1              ,  25.72587369122     , -50.54688163184    ,      0.0095,      0.011 ,            90, O             , 2020yCat.1350....0G, 11.970000267028809,  9.918999671936035 , 11.33899974822998 ,  9.484999656677246 ,                   ,                   ,  ,  9.4399995803833   , 60.727  , -100.996,    1.4823, s         , A       , Pe*  ,            ,        , 
True ,        , J014821.1-532145, 01:48:21.1200, -53:21:46.800, TYC 8482-861-1             ,  27.088147554790005 , -53.36254552091    ,      0.0092,      0.009 ,            90, O             , 2020yCat.1350....0G, 12.07800006866455 ,  9.35200023651123  , 11.168000221252441,  8.800000190734863 ,                   ,                   ,  ,  8.697999954223633 , 11.872  , 0.376   ,    0.3617, s         , A       , *    ,            ,        , 
True ,        , J014907.9-491142, 01:49:07.9200, -49:11:42.000, CD-49   506                ,  27.28310199517     , -49.19525664126999 ,      0.0096,      0.0107,            90, O             , 2020yCat.1350....0G, 11.944000244140625,  9.524999618530273 , 11.17199993133545 ,  9.097000122070312 ,                   ,                   ,  ,  8.960000038146973 , 10.853  , 0.66    ,    0.404 , s         , A       , Pe*  , CEMP-r     , C      , 2022ApJ...927...13Z
True ,        , J015300.2-341736, 01:53:00.2400, -34:17:34.800, HD  11582                  ,  28.25101555866     , -34.29344266158    ,      0.0083,      0.0082,            90, O             , 2020yCat.1350....0G, 10.270000457763672,  8.12399959564209  ,  9.579999923706055,  7.689000129699707 ,                   ,                   ,  ,  7.6519999504089355, 22.317  , -212.037,    3.3313, s         , A       , Pe*  , G5/6(V)w   , E      , 1982MSS...C03....0H
True ,        , J015401.6-220240, 01:54:01.6800, -22:02:38.400, TYC 5858-420-1             ,  28.50687489901     , -22.0444400822     ,      0.0134,      0.0118,            90, O             , 2020yCat.1350....0G, 12.708999633789062, 10.017000198364258 , 11.79699993133545 ,  9.4399995803833   ,                   ,                   ,  ,  9.342000007629395 , 13.275  , -3.37   ,    0.3359, s         , A       , Pe*  ,            ,        , 
True ,        , J015522.5-582242, 01:55:22.5600, -58:22:44.400, CD-59   371                ,  28.8439237874      , -58.37859957189999 ,      0.011 ,      0.0107,            90, O             , 2020yCat.1350....0G, 11.5              ,  8.713000297546387 , 10.513999938964844,  8.12600040435791  , 10.029999732971191,  9.576000213623047,  ,  8.034000396728516 , 28.197  , 0.541   ,    0.6785, s         , A       , *    ,            ,        , 
True ,        , J020025.5-061101, 02:00:25.6800, -06:11:02.400, TYC 4695-199-1             ,  30.10658564745     , -6.1839616481699995,      0.0237,      0.0219,            90, O             , 2020yCat.1350....0G, 13.239999771118164,  9.789999961853027 , 11.34000015258789 ,  9.229999542236328 ,                   ,                   ,  ,  9.13700008392334  , 9.11    , -8.494  ,    0.3576, s         , B       , *    ,            ,        , 
True ,        , J020706.4-500916, 02:07:06.4800, -50:09:18.000, TYC 8048-292-1             ,  31.77669621454     , -50.15462251588    ,      0.0082,      0.01  ,            90, O             , 2020yCat.1350....0G, 12.420000076293945,  9.08899974822998  , 11.329999923706055,  8.442000389099121 ,                   ,                   ,  ,  8.359000205993652 , 10.228  , 3.838   ,    0.2017, s         , A       , SB*  ,            ,        , 
True ,        , J021110.1-191124, 02:11:10.0800, -19:11:24.000, TYC 5861-1732-1            ,  32.79245425927     , -19.18994922978    ,      0.0155,      0.0158,            90, O             , 2020yCat.1350....0G, 12.029999732971191,  9.835000038146973 , 11.430000305175781,  9.461999893188477 ,                   ,                   ,  ,  9.366000175476074 , 84.721  , -68.909 ,    1.4553, s         , A       , Pe*  ,            ,        , 
True ,        , J021634.8-394034, 02:16:34.8000, -39:40:33.600, CD-40   581                ,  34.145308942110006 , -39.67617132327    ,      0.0086,      0.011 ,            90, O             , 2020yCat.1350....0G, 11.62399959564209 ,  8.515000343322754 , 10.543999671936035,  7.89900016784668  ,                   ,                   ,  ,  7.738999843597412 , 12.506  , 0.741   ,    0.3949, s         , A       , *    ,            ,        , 
