Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
C0023306-163143,12.0,Mg I,,5.6,,
C0023306-163143,14.0,Si I,,5.71,,
C0023306-163143,20.0,Ca I,,4.4,,
C0023306-163143,22.0,Ti I,,2.83,,
C0023306-163143,22.1,Ti II,,2.87,,
C0023306-163143,26.0,Fe I,,5.2,,
C0023306-163143,26.1,Fe II,,5.2,,
C0315358-094743,12.0,Mg I,,6.53,,
C0315358-094743,14.0,Si I,,6.65,,
C0315358-094743,20.0,Ca I,,5.29,,
C0315358-094743,22.0,Ti I,,3.78,,
C0315358-094743,22.1,Ti II,,3.91,,
C0315358-094743,26.0,Fe I,,6.15,,
C0315358-094743,26.1,Fe II,,6.15,,
C0408404-462531,12.0,Mg I,,5.87,,
C0408404-462531,14.0,Si I,,5.86,,
C0408404-462531,20.0,Ca I,,4.55,,
C0408404-462531,22.0,Ti I,,2.98,,
C0408404-462531,22.1,Ti II,,3.07,,
C0408404-462531,26.0,Fe I,,5.37,,
C0408404-462531,26.1,Fe II,,5.37,,
C0549576-334007,12.0,Mg I,,6.06,,
C0549576-334007,14.0,Si I,,6.01,,
C0549576-334007,20.0,Ca I,,4.91,,
C0549576-334007,22.0,Ti I,,3.41,,
C0549576-334007,22.1,Ti II,,3.47,,
C0549576-334007,26.0,Fe I,,5.74,,
C0549576-334007,26.1,Fe II,,5.74,,
C1141088-453528,12.0,Mg I,,5.61,,
C1141088-453528,14.0,Si I,,5.6,,
C1141088-453528,20.0,Ca I,,4.32,,
C1141088-453528,22.0,Ti I,,2.72,,
C1141088-453528,22.1,Ti II,,2.9,,
C1141088-453528,26.0,Fe I,,5.18,,
C1141088-453528,26.1,Fe II,,5.18,,
C1620512-091257,12.0,Mg I,,5.36,,
C1620512-091257,20.0,Ca I,,4.01,,
C1620512-091257,22.0,Ti I,,2.69,,
C1620512-091257,22.1,Ti II,,2.88,,
C1620512-091257,26.0,Fe I,,4.96,,
C1620512-091257,26.1,Fe II,,4.96,,
C1947015-235335,12.0,Mg I,,6.09,,
C1947015-235335,14.0,Si I,,6.1,,
C1947015-235335,20.0,Ca I,,4.84,,
C1947015-235335,22.0,Ti I,,3.34,,
C1947015-235335,22.1,Ti II,,3.53,,
C1947015-235335,26.0,Fe I,,5.7,,
C1947015-235335,26.1,Fe II,,5.7,,
J001858.8-280036,12.0,Mg I,,7.09,,
J001858.8-280036,14.0,Si I,,7.16,,
J001858.8-280036,20.0,Ca I,,5.95,,
J001858.8-280036,22.0,Ti I,,4.41,,
J001858.8-280036,22.1,Ti II,,4.46,,
J001858.8-280036,26.0,Fe I,,6.92,,
J001858.8-280036,26.1,Fe II,,6.92,,
J003314.2-104342,12.0,Mg I,,6.18,,
J003314.2-104342,14.0,Si I,,6.22,,
J003314.2-104342,20.0,Ca I,,4.87,,
J003314.2-104342,22.0,Ti I,,3.33,,
J003314.2-104342,22.1,Ti II,,3.63,,
J003314.2-104342,26.0,Fe I,,5.74,,
J003314.2-104342,26.1,Fe II,,5.74,,
J004733.4-450942,12.0,Mg I,,6.15,,
J004733.4-450942,14.0,Si I,,6.21,,
J004733.4-450942,20.0,Ca I,,4.86,,
J004733.4-450942,22.0,Ti I,,3.32,,
J004733.4-450942,22.1,Ti II,,3.51,,
J004733.4-450942,26.0,Fe I,,5.7,,
J004733.4-450942,26.1,Fe II,,5.7,,
J010700.3-160223,12.0,Mg I,,7.06,,
J010700.3-160223,14.0,Si I,,7.03,,
J010700.3-160223,20.0,Ca I,,5.79,,
J010700.3-160223,22.0,Ti I,,4.32,,
J010700.3-160223,22.1,Ti II,,4.32,,
J010700.3-160223,26.0,Fe I,,6.66,,
J010700.3-160223,26.1,Fe II,,6.66,,
J010839.5-285701,12.0,Mg I,,5.21,,
J010839.5-285701,14.0,Si I,,5.29,,
J010839.5-285701,20.0,Ca I,,4.05,,
J010839.5-285701,22.0,Ti I,,2.62,,
J010839.5-285701,22.1,Ti II,,2.62,,
J010839.5-285701,26.0,Fe I,,4.86,,
J010839.5-285701,26.1,Fe II,,4.86,,
J012415.6-102832,12.0,Mg I,,7.07,,
J012415.6-102832,14.0,Si I,,7.13,,
J012415.6-102832,20.0,Ca I,,5.88,,
J012415.6-102832,22.0,Ti I,,4.41,,
J012415.6-102832,22.1,Ti II,,4.45,,
J012415.6-102832,26.0,Fe I,,6.68,,
J012415.6-102832,26.1,Fe II,,6.68,,
J013153.5-502702,12.0,Mg I,,6.79,,
J013153.5-502702,14.0,Si I,,6.71,,
J013153.5-502702,20.0,Ca I,,5.55,,
J013153.5-502702,22.0,Ti I,,4.11,,
J013153.5-502702,22.1,Ti II,,4.07,,
J013153.5-502702,26.0,Fe I,,6.3,,
J013153.5-502702,26.1,Fe II,,6.3,,
J013758.9-433020,12.0,Mg I,,7.1,,
J013758.9-433020,14.0,Si I,,7.16,,
J013758.9-433020,20.0,Ca I,,5.92,,
J013758.9-433020,22.0,Ti I,,4.42,,
J013758.9-433020,22.1,Ti II,,4.46,,
J013758.9-433020,26.0,Fe I,,6.97,,
J013758.9-433020,26.1,Fe II,,6.97,,
J014254.2-503248,12.0,Mg I,,5.98,,
J014254.2-503248,14.0,Si I,,6.0,,
J014254.2-503248,20.0,Ca I,,4.76,,
J014254.2-503248,22.0,Ti I,,3.23,,
J014254.2-503248,22.1,Ti II,,3.39,,
