Name,LongName,N_[FeI/H],[FeI/H],e_[FeI/H],N_[FeII/H],[FeII/H],e_[FeII/H],N_[C/Fe],[C/Fe],e_[C/Fe],N_[Sr/Fe],[Sr/Fe],e_[Sr/Fe],N_[Ba/Fe],[Ba/Fe],e_[Ba/Fe],N_[Eu/Fe],[Eu/Fe],e_[Eu/Fe],N_[O/Fe],[O/Fe],e_[O/Fe],N_[Na/Fe],[Na/Fe],e_[Na/Fe],N_[Mg/Fe],[Mg/Fe],e_[Mg/Fe],N_[Si/Fe],[Si/Fe],e_[Si/Fe],N_[K/Fe],[K/Fe],e_[K/Fe],N_[Ca/Fe],[Ca/Fe],e_[Ca/Fe],N_[Sc/Fe],[Sc/Fe],e_[Sc/Fe],N_[TiI/Fe],[TiI/Fe],e_[TiI/Fe],N_[TiII/Fe],[TiII/Fe],e_[TiII/Fe],N_[V/Fe],[V/Fe],e_[V/Fe],N_[Cr/Fe],[Cr/Fe],e_[Cr/Fe],N_[Mn/Fe],[Mn/Fe],e_[Mn/Fe],N_[Co/Fe],[Co/Fe],e_[Co/Fe],N_[Ni/Fe],[Ni/Fe],e_[Ni/Fe],N_[Cu/Fe],[Cu/Fe],e_[Cu/Fe],N_[Zn/Fe],[Zn/Fe],e_[Zn/Fe],N_[Y/Fe],[Y/Fe],e_[Y/Fe],N_[Zr/Fe],[Zr/Fe],e_[Zr/Fe],N_[La/Fe],[La/Fe],e_[La/Fe],N_[Ce/Fe],[Ce/Fe],e_[Ce/Fe],N_[Pr/Fe],[Pr/Fe],e_[Pr/Fe],N_[Nd/Fe],[Nd/Fe],e_[Nd/Fe],N_[Sm/Fe],[Sm/Fe],e_[Sm/Fe],N_[Dy/Fe],[Dy/Fe],e_[Dy/Fe],N_[Os/Fe],[Os/Fe],e_[Os/Fe],N_[Th/Fe],[Th/Fe],e_[Th/Fe]
2MJ0213-0005,2MJ02134021-0005183,38.0,-1.88,0.02,5.0,-1.93,0.08,,-0.38,0.07,2.0,-0.54,0.06,2,0.05,0.07,,<0.16,,0,,0.0,1,-0.06,0.0,2,0.23,0.02,2,0.67,0.0,1,0.64,0.1,12,0.23,0.01,5,0.16,0.06,2,0.57,0.02,14,0.37,0.03,0,,0.0,1,0.26,0.02,0,,0.0,2,0.39,0.2,1,0.19,0.1,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0
2MJ1144-1128,2MJ11444480-1128167,88.0,-2.42,0.01,13.0,-2.45,0.02,,-0.34,0.1,2.0,0.03,0.07,3,-0.29,0.06,2.0,0.35,0.07,0,,0.0,0,,0.0,4,0.34,0.03,0,,0.0,1,0.38,0.1,21,0.29,0.01,7,-0.09,0.03,14,0.28,0.01,32,0.27,0.01,2,0.91,0.82,2,0.14,0.04,2,-0.59,0.0,4,-0.06,0.03,6,-0.06,0.02,0,,0.0,1,0.05,0.1,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0
2MJ1209-1415,2MJ12091322-1415313,98.0,-2.11,0.01,23.0,-2.1,0.02,,0.2,0.15,1.0,-0.01,0.2,2,0.11,0.13,3.0,0.81,0.06,0,,0.0,0,,0.0,1,0.36,0.1,5,0.31,0.03,1,0.48,0.1,22,0.35,0.0,13,0.0,0.02,17,0.2,0.01,23,0.25,0.0,2,0.87,0.14,4,0.11,0.09,5,-0.39,0.03,2,-0.07,0.01,18,-0.07,0.01,1,-1.05,0.1,2,-0.01,0.07,5,-0.29,0.02,1,0.29,0.07,3,0.31,0.06,3,0.11,0.06,0,,0.0,11,0.33,0.02,0,,0.0,1,0.64,0.1,1,0.8,0.1,0,,0.0
2MJ1307-0931,2MJ13072823-0931148,86.0,-1.98,0.02,27.0,-2.0,0.03,,0.38,0.16,1.0,0.02,0.2,3,-0.38,0.05,3.0,0.1,0.06,0,,0.0,1,-0.1,0.05,1,0.4,0.1,7,0.36,0.03,1,0.54,0.1,23,0.31,0.01,11,0.01,0.02,18,0.26,0.01,29,0.19,0.01,3,0.67,0.54,4,0.14,0.05,4,-0.42,0.04,3,-0.11,0.06,12,-0.07,0.01,1,-0.95,0.05,2,0.04,0.07,6,-0.38,0.02,2,0.07,0.11,2,-0.08,0.14,2,0.07,0.11,1,0.47,0.1,1,-0.18,0.1,0,,0.0,2,0.34,0.07,0,,0.0,0,,0.0
2MJ1325-1747,2MJ13254554-1747547,94.0,-2.32,0.01,22.0,-2.3,0.06,,0.18,0.1,1.0,-0.02,0.2,2,-0.44,0.07,3.0,0.4,0.06,0,,0.0,0,,0.0,1,0.42,0.1,4,0.61,0.04,1,0.47,0.1,21,0.3,0.01,12,0.05,0.02,21,0.22,0.01,28,0.2,0.01,3,0.73,0.52,5,0.07,0.06,3,-0.47,0.02,2,0.22,0.07,13,-0.05,0.01,1,-0.9,0.1,2,-0.06,0.07,7,-0.33,0.02,1,-0.07,0.1,2,-0.02,0.07,1,-0.02,0.1,1,0.48,0.1,3,0.08,0.06,0,,0.0,0,,0.0,0,,0.0,0,,0.0
2MJ1340-0016,2MJ13402720-0016031,90.0,-2.43,0.02,22.0,-2.48,0.05,,0.0,0.16,1.0,0.05,0.2,3,-0.3,0.06,2.0,0.29,0.11,0,,0.0,1,0.15,0.1,1,0.4,0.1,2,0.55,0.06,1,0.74,0.1,21,0.4,0.01,11,0.19,0.02,21,0.35,0.01,27,0.35,0.01,1,-0.14,0.0,5,0.18,0.04,4,-0.38,0.03,2,0.21,0.12,12,0.0,0.01,0,,0.0,1,0.25,0.1,8,0.02,0.02,1,0.25,0.1,1,0.15,0.1,2,0.0,0.07,0,,0.0,2,0.2,0.07,0,,0.0,0,,0.0,0,,0.0,0,,0.0
2MJ1343-2358,2MJ13431929-2358139,73.0,-2.47,0.02,10.0,-2.49,0.06,,0.72,0.12,2.0,-0.37,0.2,2,-0.77,0.07,,<0.15,,0,,0.0,0,,0.0,1,0.56,0.1,2,0.11,0.28,1,0.08,0.1,21,0.23,0.01,7,-0.17,0.03,15,0.23,0.01,24,0.09,0.02,2,2.25,0.13,2,-0.01,0.08,5,-0.2,0.08,1,-0.46,0.0,10,-0.05,0.02,0,,0.0,1,0.01,0.1,2,-0.47,0.14,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,,0.0
2MJ1404+0011,2MJ14043762+0011117,86.0,-1.87,0.01,21.0,-1.89,0.05,,0.96,0.2,1.0,0.43,0.2,2,0.38,0.07,3.0,0.58,0.06,0,,0.0,0,,0.0,1,0.33,0.1,9,0.47,0.03,1,0.43,0.1,16,0.37,0.01,11,0.06,0.02,17,0.14,0.01,18,0.19,0.01,7,-0.15,0.03,3,0.11,0.23,4,-0.59,0.06,2,-0.09,0.01,18,-0.03,0.01,0,,0.0,2,-0.07,0.07,6,-0.01,0.02,2,0.28,0.11,4,0.5,0.05,5,0.46,0.04,3,0.48,0.09,8,0.5,0.02,2,0.66,0.07,2,0.77,0.07,1,0.45,0.1,0,,0.0
2MJ1521-0607,2MJ15211026-0607566,92.0,-2.0,0.01,24.0,-2.02,0.03,,0.34,0.1,1.0,-0.18,0.2,2,0.1,0.07,2.0,0.93,0.07,0,,0.0,2,-0.06,0.07,1,0.3,0.1,6,0.43,0.02,1,0.56,0.1,21,0.31,0.01,12,0.02,0.01,19,0.27,0.01,30,0.24,0.01,4,1.24,0.49,4,0.12,0.06,4,-0.39,0.05,2,0.15,0.08,12,-0.06,0.01,1,-0.95,0.1,2,0.13,0.07,6,-0.07,0.04,3,0.29,0.06,3,0.29,0.06,6,0.29,0.04,3,0.56,0.06,11,0.54,0.02,1,0.67,0.09,1,0.94,0.1,1,1.1,0.1,1,0.62,0.15
2MJ2256-0719,2MJ22562536-0719562,88.0,-2.26,0.01,23.0,-2.24,0.04,,0.18,0.16,1.0,0.08,0.2,3,0.26,0.04,2.0,1.1,0.07,0,,0.0,0,,0.0,1,0.42,0.1,3,0.61,0.05,1,0.29,0.1,21,0.3,0.01,12,0.14,0.02,21,0.18,0.01,25,0.31,0.01,3,0.64,0.55,5,0.25,0.04,4,-0.28,0.02,2,0.17,0.05,14,0.0,0.01,1,-0.9,0.1,2,0.19,0.04,6,-0.02,0.09,2,0.33,0.07,5,0.57,0.05,3,0.39,0.06,2,0.84,0.04,10,0.75,0.03,2,0.86,0.07,2,1.03,0.07,1,1.0,0.1,1,0.58,0.2
