Name,Species,Ion,l_logepsX,logepsX,e_[X/Fe],e_[X/H]
2MJ0213-0005,11.0,Na I,,4.3,,
2MJ0213-0005,12.0,Mg I,,5.95,0.0,
2MJ0213-0005,14.0,Si I,,6.3,0.0,
2MJ0213-0005,19.0,K I,,3.79,0.02,
2MJ0213-0005,20.0,Ca I,,4.69,0.0,
2MJ0213-0005,21.1,Sc II,,1.43,0.1,
2MJ0213-0005,22.0,Ti I,,3.64,0.01,
2MJ0213-0005,22.1,Ti II,,3.44,0.06,
2MJ0213-0005,24.0,Cr I,,4.02,0.03,
2MJ0213-0005,26.0,Fe I,,5.62,,0.02
2MJ0213-0005,26.1,Fe II,,5.57,,0.08
2MJ0213-0005,27.0,Co I,,3.5,0.02,
2MJ0213-0005,28.0,Ni I,,4.53,0.0,
2MJ0213-0005,38.1,Sr II,,0.45,0.08,
2MJ0213-0005,56.1,Ba II,,0.35,0.07,
2MJ0213-0005,63.1,Eu II,<,-1.2,0.06,
2MJ0213-0005,106.0,C-H,,6.17,0.02,
2MJ1144-1128,12.0,Mg I,,5.52,0.0,
2MJ1144-1128,19.0,K I,,2.99,0.03,
2MJ1144-1128,20.0,Ca I,,4.21,0.0,
2MJ1144-1128,21.1,Sc II,,0.64,0.1,
2MJ1144-1128,22.0,Ti I,,2.81,0.01,
2MJ1144-1128,22.1,Ti II,,2.8,0.03,
2MJ1144-1128,23.0,V I,,2.42,0.01,
2MJ1144-1128,24.0,Cr I,,3.36,0.01,
2MJ1144-1128,25.0,Mn I,,2.42,0.82,
2MJ1144-1128,26.0,Fe I,,5.08,,0.01
2MJ1144-1128,26.1,Fe II,,5.05,,0.02
2MJ1144-1128,27.0,Co I,,2.51,0.04,
2MJ1144-1128,28.0,Ni I,,3.74,0.0,
2MJ1144-1128,30.0,Zn I,,2.19,0.02,
2MJ1144-1128,38.1,Sr II,,0.48,0.02,
2MJ1144-1128,56.1,Ba II,,-0.53,0.1,
2MJ1144-1128,63.1,Eu II,,-1.55,0.07,
2MJ1144-1128,106.0,C-H,,5.67,0.01,
2MJ1209-1415,12.0,Mg I,,5.85,0.0,
2MJ1209-1415,14.0,Si I,,5.71,0.0,
2MJ1209-1415,19.0,K I,,3.4,0.1,
2MJ1209-1415,20.0,Ca I,,4.58,0.03,
2MJ1209-1415,21.1,Sc II,,1.04,0.1,
2MJ1209-1415,22.0,Ti I,,3.04,0.0,
2MJ1209-1415,22.1,Ti II,,3.09,0.02,
2MJ1209-1415,23.0,V I,,2.69,0.01,
2MJ1209-1415,24.0,Cr I,,3.64,0.0,
2MJ1209-1415,25.0,Mn I,,2.93,0.14,
2MJ1209-1415,26.0,Fe I,,5.39,,0.01
2MJ1209-1415,26.1,Fe II,,5.4,,0.02
2MJ1209-1415,27.0,Co I,,2.81,0.09,
2MJ1209-1415,28.0,Ni I,,4.04,0.03,
2MJ1209-1415,29.0,Cu I,,1.03,0.01,
2MJ1209-1415,30.0,Zn I,,2.44,0.01,
2MJ1209-1415,38.1,Sr II,,0.75,0.02,
2MJ1209-1415,39.1,Y II,,-0.19,0.1,
2MJ1209-1415,40.1,Zr II,,0.76,0.07,
2MJ1209-1415,56.1,Ba II,,0.18,0.15,
2MJ1209-1415,57.1,La II,,-0.7,0.02,
2MJ1209-1415,58.1,Ce II,,-0.42,0.07,
2MJ1209-1415,60.1,Nd II,,-0.36,0.06,
2MJ1209-1415,63.1,Eu II,,-0.78,0.2,
2MJ1209-1415,66.1,Dy II,,-0.37,0.02,
2MJ1209-1415,76.0,Os I,,0.09,0.0,
2MJ1209-1415,106.0,C-H,,6.52,0.01,
2MJ1307-0931,11.0,Na I,,4.16,0.06,
2MJ1307-0931,12.0,Mg I,,6.02,0.0,
2MJ1307-0931,14.0,Si I,,5.89,0.05,
2MJ1307-0931,19.0,K I,,3.59,0.1,
2MJ1307-0931,20.0,Ca I,,4.67,0.03,
2MJ1307-0931,21.1,Sc II,,1.18,0.1,
2MJ1307-0931,22.0,Ti I,,3.23,0.01,
2MJ1307-0931,22.1,Ti II,,3.16,0.02,
2MJ1307-0931,23.0,V I,,2.62,0.01,
2MJ1307-0931,24.0,Cr I,,3.8,0.01,
2MJ1307-0931,25.0,Mn I,,3.03,0.54,
2MJ1307-0931,26.0,Fe I,,5.52,,0.02
2MJ1307-0931,26.1,Fe II,,5.5,,0.03
2MJ1307-0931,27.0,Co I,,2.9,0.05,
2MJ1307-0931,28.0,Ni I,,4.17,0.04,
