StarID,Species,lambda,References,EW,logepsX
432,O I,630.0304,-9.717,STZ,0.01,8.03
432,Na I,568.2633,-0.7,KP,0.0,0.0
432,Na I,615.4227,-1.560,KP,0.0,0.0
432,Na I,616.0747,-1.260,KP,0.0,0.0
432,Mg I,552.8405,-0.552,GC,0.0,0.0
432,Mg I,571.1087,-1.729,GC,7.98,6.63
432,Mg I,631.8716,-1.945,GC,2.08,6.65
432,Mg I,631.9237,-2.165,GC,0.0,0.0
432,Al I,669.8673,-1.647,NBS,0.0,0.0
432,Si I,577.2147,-1.750,GARZ,0.0,0.0
432,Si I,594.8541,-1.230,GARZ,6.16,6.81
432,Si I,612.5021,-1.540,ED,1.80,6.82
432,Si I,614.2482,-1.480,ED,0.0,0.0
432,Si I,614.5015,-1.430,ED,1.39,6.58
432,Si I,615.5134,-0.770,ED,3.27,6.42
432,Ca I,551.2980,-0.447,SR,0.0,0.0
432,Ca I,560.1277,-0.523,SR,0.0,0.0
432,Ca I,585.7451,0.240,SR,10.56,5.52
432,Ca I,586.7562,-1.490,GC,1.49,5.42
432,Ca I,612.2217,-0.315,NIST,14.17,5.45
432,Ca I,615.6022,-2.180,NIST,0.0,0.0
432,Ca I,616.1296,-1.266,SR,5.98,5.58
432,Ca I,616.2174,0.1,NBS,0.0,0.0
432,Ca I,616.6438,-1.142,SR,6.75,5.60
432,Ca I,616.9042,-0.797,SR,7.25,5.36
432,Ca I,616.9562,-0.270,NBS,0.0,0.0
432,Ca I,643.9075,0.390,SR,13.16,5.40
432,Ca I,645.5597,-1.290,SR,5.86,5.57
432,Ca I,649.3781,-0.109,SR,11.35,5.54
432,Ca I,649.9650,-0.818,SR,7.69,5.47
432,Ca I,650.8850,-2.110,NBS,1.38,5.38
432,Ca I,679.8479,-2.320,K88,0.0,0.0
432,Sc II,552.6790,0.130,MFW,8.28,2.04
432,Sc II,632.0852,-1.770,NBS,0.0,0.0
432,Ti I,488.5078,0.358,MFW,7.06,4.12
432,Ti I,491.5229,-1.019,MFW,0.0,0.0
432,Ti I,499.7097,-2.118,MFW,5.51,3.88
432,Ti I,508.7058,-0.780,MFW,0.0,0.0
432,Ti I,586.6450,-0.840,MFW,6.43,4.03
432,Ti I,612.6215,-1.425,MFW,3.45,4.01
432,V I,573.7059,-0.740,MFW,0.0,0.0
432,V I,613.5361,-0.746,MFW,0.0,0.0
432,V I,615.0157,-1.780,MFW,0.0,0.0
432,Cr II,488.4607,-2.080,MFW,0.0,0.0
432,Mn I,511.7900,-1.140,MFW,0.02,4.20
432,Fe I,489.2859,-1.290,FMW,4.42,6.65
432,Fe I,506.7151,-0.970,FMW,0.0,0.0
432,Fe I,510.4438,-1.690,FMW,2.46,6.46
432,Fe I,510.9652,-0.980,FMW,6.07,6.78
432,Fe I,552.5545,-1.330,FMW,3.51,6.46
432,Fe I,585.5076,-1.760,FMW,0.0,0.0
432,Fe I,585.6087,-1.640,FMW,2.38,6.57
432,Fe I,585.8779,-2.260,FMW,0.0,0.0
432,Fe I,586.1109,-2.450,FMW,0.0,0.0
432,Fe I,587.7794,-2.230,FMW,1.65,6.81
432,Fe I,588.3817,-1.360,FMW,5.80,6.64
432,Fe I,615.1616,-3.299,FMW,6.81,6.58
432,Fe I,616.5360,-1.550,FMW,4.19,6.70
432,Fe I,618.7990,-1.720,FMW,4.01,6.59
432,Fe I,649.6465,-0.570,FMW,3.56,6.35
432,Fe I,670.3565,-3.160,FMW,4.09,6.57
432,Fe II,483.3197,-4.780,FMW,1.20,6.67
432,Fe II,492.3927,-1.320,FMW,14.99,6.44
432,Fe II,499.3358,-3.650,FMW,4.10,6.53
432,Fe II,510.0664,-4.370,FMW,2.08,6.73
432,Fe II,513.2669,-4.180,FMW,2.57,6.68
432,Fe II,516.1184,-4.483,K88,0.0,0.0
432,Fe II,525.6937,-4.250,K88,2.57,6.85
432,Fe II,526.4812,-3.190,FMW,4.84,6.73
432,Fe II,614.9259,-2.724,K88,3.69,6.75
432,Co I,533.1700,-6.473,K88,0.02,3.79
432,Co I,553.0700,-2.060,FMW,0.02,3.58
432,Ni I,585.7747,-0.636,K88,0.0,0.0
432,Ni I,612.8963,-3.330,FMW,2.48,4.89
432,Ni I,613.0130,-0.960,FMW,0.0,0.0
432,Ni I,617.5360,-0.530,FMW,0.0,0.0
432,Ni I,617.6807,-0.260,LW,3.27,4.92
432,Ni I,617.7236,-3.5,FMW,0.0,0.0
432,Cu I,510.5500,-1.516,BIEL,0.02,2.29
432,Zn I,481.0528,-0.170,BG,5.72,3.45
432,YI I,488.3683,0.070,HL,6.17,0.86
432,YI I,498.2130,-1.290,HL,0.0,0.0
432,YI I,508.7417,-0.170,HL,4.93,0.76
432,YI I,511.9113,-1.360,HL,1.71,1.01
432,Ba II,649.6896,-0.377,NBS,13.06,1.49
432,La II,480.4039,-1.490,LA,0.0,0.0
432,La II,511.4558,-1.030,LA,3.91,0.64
432,La II,632.0377,-1.610,ABH,1.34,0.36
432,Ce II,518.7457,0.130,H,1.64,0.78
432,Ce II,533.0556,-0.360,H,0.0,0.0
